unit_id,ProductTiter,BrothTurbidity,DissolvedOxygen,Temperature,do_feed_flow_controller,do_chelator_dosing
0,68.84079217639693,-0.05775687774533633,70.86959496687474,32.18109215725408,0.0,50.0
1,61.7810593794183,0.20224790389126213,58.13808864593413,39.66957323544435,0.0,50.0
2,72.83310126812621,-6.8800246925832305,71.06138039576726,37.05355586125794,0.0,50.0
3,65.9125494104476,-19.588021464990526,54.94458780543747,42.33698197508077,0.0,50.0
4,64.59822698810184,23.088788037764683,56.800568582233595,41.45618934212599,0.0,50.0
5,55.8274234371504,18.41887545789753,37.69153898377499,52.88864656278281,0.0,50.0
6,54.75004282406256,24.906629552051,39.21294107759828,24.7286575973904,0.0,50.0
7,58.64599759577937,2.477742075749125,49.17408404848084,24.16788876052471,0.0,50.0
8,63.88154917674258,17.195491085613245,52.09451850749885,35.07134131789673,0.0,50.0
9,60.30521879679296,-3.8420736442558434,51.92781799224429,36.317718243480705,0.0,50.0
10,56.94186480397774,12.722834443547303,51.75011431522927,40.33628327610722,0.0,50.0
11,64.17833984142631,4.143898326364333,59.80308944988595,41.39953670567987,0.0,50.0
12,72.4742174734598,16.00572925688005,71.87842287652231,30.088328879772895,0.0,50.0
13,58.39178301881213,-13.873595779860254,39.64246190157559,38.440282347096804,0.0,50.0
14,68.61742110919658,15.29138078676822,55.4672061978033,25.222782436533457,0.0,50.0
15,75.35484800601436,-18.22997506439519,71.62392756884826,39.51039322524788,0.0,50.0
16,62.395574062120744,-7.335454397468012,57.53826790064958,34.834587046523815,0.0,50.0
17,62.43449338765917,5.815158452666418,52.03662497893909,40.520354871166695,0.0,50.0
18,72.50660506028578,14.203572498356607,63.23423331390033,34.98349738045191,0.0,50.0
19,68.46832971114854,-5.366482059672365,64.41000703252536,22.298455769448452,0.0,50.0
20,82.46790952458463,14.128046032420404,68.48335688063258,46.39980498917789,0.0,50.0
21,56.38331956725931,-12.982564164061396,47.1097809449141,43.460945907350926,0.0,50.0
22,74.38900002773306,14.371279680948978,77.47037320832813,44.43479547846717,0.0,50.0
23,60.72089507627758,37.50969737607361,53.57810614601674,30.188301357486196,0.0,50.0
24,73.09272194353647,-10.833504353591774,82.34489492098896,38.68108381365086,0.0,50.0
25,70.29710380599909,-22.49160986075531,66.99280504128484,36.42610695542946,0.0,50.0
26,66.52809815080667,-17.344075861060468,55.535854820052734,42.633028820650566,0.0,50.0
27,58.153052114647444,15.671527543988901,47.510023980321584,34.85940891149706,0.0,50.0
28,64.86996470641255,19.35037839953106,56.69663207808414,23.235421307490554,0.0,50.0
29,61.9356700735068,-1.5975720845167904,48.5726548853128,34.917677713058964,0.0,50.0
30,60.402316471953554,21.272755721166924,48.53244278705495,44.05998997139293,0.0,50.0
31,62.654788000660716,-1.8061204284999093,58.755802796965625,40.942633964515785,0.0,50.0
32,63.80105373796852,-16.561725817084888,51.11441378062786,45.412397821383074,0.0,50.0
33,66.07803671485877,-1.5098255174550257,39.46427282005808,35.97055210466837,0.0,50.0
34,70.36002627372592,10.160326540782915,63.098902286230576,23.65023027951583,0.0,50.0
35,68.0686093015586,8.812475424412016,64.8258357035307,26.906438293271826,0.0,50.0
36,75.31179949227698,-12.555144093859605,59.878412519978156,41.317917534243506,0.0,50.0
37,74.39642163285666,-6.059777199717321,79.82865903791136,30.458834430217337,0.0,50.0
38,63.58448877131332,21.531013671425832,51.57788003490132,40.09779137825214,0.0,50.0
39,67.26381696152156,-2.335789833912915,46.66380411481094,34.68247738819199,0.0,50.0
40,62.57772945225463,-4.480317727559578,48.05151183879543,40.14608544839051,0.0,50.0
41,69.64325922181246,11.236630262052412,78.08088598972064,34.720111676415264,0.0,50.0
42,56.9817655032774,-15.185832609509902,47.465897991548246,38.105014646150885,0.0,50.0
43,70.28769247865817,4.925475612625452,58.8050337792268,30.209689215317773,0.0,50.0
44,72.43910037436817,15.30983740838035,60.02890174421974,35.03738265499554,0.0,50.0
45,70.41680806375106,2.3922658297385118,67.8597521984721,32.515570071517644,0.0,50.0
46,71.4162469819266,15.034963253675539,63.143004739757764,20.033830250058273,0.0,50.0
47,63.084553853751174,-20.324054438622174,52.209691033727516,38.96130094937329,0.0,50.0
48,61.00621959698177,-6.333384187538251,46.27139814107407,28.16606561271856,0.0,50.0
49,58.374104738726594,-10.768766281374596,56.7796347258715,34.21717337132065,0.0,50.0
50,61.78349778902131,24.69195152430944,53.973843003620935,43.435546345955686,0.0,50.0
51,50.087417402806935,10.643797532043468,35.33884270202622,42.576082084396774,0.0,50.0
52,61.55080176682901,8.590997041654495,51.74565816321372,46.90264695055341,0.0,50.0
53,56.93297766734425,-43.64577375797399,41.08477436855139,34.69746691496251,0.0,50.0
54,65.4955051016778,-8.324376916959961,62.35066895946281,37.14395647802537,0.0,50.0
55,62.53253777439626,8.743183195831188,57.123235334721,41.83137453078802,0.0,50.0
56,62.366092869996415,-2.4219426123852905,56.18976184952186,30.02346675120652,0.0,50.0
57,58.33180037942178,16.20430262455325,35.89634570321515,40.65477377245506,0.0,50.0
58,56.91067018170153,26.777866693881094,37.26252386354042,33.360906764262076,0.0,50.0
59,64.77226410835102,15.820762166417044,56.88464278616944,39.49596108752619,0.0,50.0
60,70.66698125196999,10.381548214000574,58.49897983259605,35.03140741424895,0.0,50.0
61,70.55225107131729,15.689384782376386,55.42307220753644,41.31180133520558,0.0,50.0
62,66.6253066010951,2.490226112165053,51.45949775538216,48.52982794263115,0.0,50.0
63,67.74845834725059,5.406817000476592,69.02682413997557,41.36603915501189,0.0,50.0
64,75.70802349775416,-12.428521402567824,70.46802536935334,29.960527784280767,0.0,50.0
65,72.02789910492429,3.306869716337968,69.43172497808952,41.60179935951713,0.0,50.0
