unit_id,CropYield,IrrigationRate,do_IrrigationRate
0,13.8163032740119,3.9784086885497985,5.0
1,15.61372902100406,9.905116984645076,5.0
2,18.903197807924084,7.08173195691888,5.0
3,11.966675693582303,4.835901850702408,5.0
4,20.178598597724918,7.341765168983228,5.0
5,12.31844870944657,0.9875277546967087,5.0
6,15.60665515426707,5.012063700380281,5.0
7,10.303900983836813,6.162703453521549,5.0
8,10.945747099868242,7.552575964629642,5.0
9,13.202278263175181,10.834182953180031,5.0
10,8.070147355134143,8.331249659360978,5.0
11,14.54682990492611,0.7664089928722237,5.0
12,14.096026184266426,0.7285962972809124,5.0
13,9.004059847737308,0.4676079874328902,5.0
14,10.776029120636734,2.5195198739835307,5.0
15,17.66981628991695,7.510167039321606,5.0
16,18.83339760250316,6.08967659864588,5.0
17,22.431072696496386,4.7332968334392564,5.0
18,13.18131698091583,-2.9928301603123106,5.0
19,13.683198788896874,3.085203227758636,5.0
20,11.724522791952266,4.7607588370193,5.0
21,18.777434254452796,2.5072288837559302,5.0
22,12.549412915788821,3.0845126021135876,5.0
23,19.76247950225896,3.0123569164137116,5.0
24,20.053797094694904,5.147560177780107,5.0
25,18.14092333361805,7.744758411311211,5.0
26,18.866180096528126,8.145519171394977,5.0
27,13.128641720575047,4.3062930621317035,5.0
28,16.164776993781672,3.4437706159149553,5.0
29,18.796721406594514,4.333894533313667,5.0
30,17.942793807220056,5.052197187204073,5.0
31,19.61876254027287,5.421808896845103,5.0
32,19.28456381470541,4.408148793464349,5.0
33,13.373458934703539,8.56304856565147,5.0
34,18.913274263938725,5.524527909589329,5.0
35,14.746500832191426,-0.1782487574778644,5.0
36,19.885301881223135,2.7861183869122526,5.0
37,12.603442219534916,5.528724190806493,5.0
38,12.522998612176963,8.012006873449582,5.0
39,17.90766651591924,6.333391194201802,5.0
40,11.829322014924333,6.298507188584709,5.0
41,7.265514598250804,9.259053025796863,5.0
42,16.7741175317171,10.040786078782144,5.0
43,10.877753320277876,7.062815952872144,5.0
44,19.63009286281533,4.196631402361692,5.0
45,12.894753641600008,6.8371999372677985,5.0
46,11.193284384384244,4.281251512610843,5.0
47,13.023110649347412,3.9033642832371696,5.0
48,17.654616564186718,2.8851305404910015,5.0
49,22.862921763289783,-0.2756073706369735,5.0
50,19.726471306014822,3.0445169876725338,5.0
51,7.634427015617211,5.568448275633083,5.0
52,13.587871936416441,7.441880460984729,5.0
53,8.430288177880993,5.4930660937983085,5.0
54,9.380620135482575,5.363716820862476,5.0
55,25.188964847949418,8.6439497166179,5.0
56,16.63584255046762,1.9304423771047223,5.0
57,13.07353613866855,8.18523791219081,5.0
58,14.115689096054375,5.440168051527113,5.0
59,8.271377611799096,2.4895646586634768,5.0
60,11.529409017967962,7.149559128091947,5.0
61,16.00508681381561,6.79456549575428,5.0
62,12.60912733442317,4.97917566778899,5.0
63,10.747187756782264,4.078997363531983,5.0
64,14.556933818153748,4.122374860501714,5.0
65,18.698126671768946,-2.7545936395399213,5.0
66,20.100050252870435,3.331586449206166,5.0
67,11.297971455137013,6.34019366055929,5.0
68,13.363530263712118,4.067647674650525,5.0
69,11.16374915692833,2.3397569786821886,5.0
70,7.623784599477915,8.086313764069171,5.0
71,15.667632153588691,8.824929035088935,5.0
72,11.506741136378926,3.8190451639587346,5.0
73,12.619258849339946,3.3723507337520706,5.0
74,14.37581551401921,8.238255067061274,5.0
75,19.09400078645908,6.861701936622793,5.0
76,20.629476153676823,4.02803243530962,5.0
77,12.908911928567582,4.805284543990597,5.0
78,8.887157619247107,6.533380806255627,5.0
79,9.644588605760342,3.5812268622423034,5.0
80,23.41037711285128,4.563003543430539,5.0
81,19.198199607841076,1.4086133295626153,5.0
82,19.206671088354856,3.950521019363298,5.0
83,9.82408189487498,8.466512489832782,5.0
84,14.319041936694418,2.7283731881521054,5.0
85,17.18035273955141,6.369138190830564,5.0
86,9.694665692414361,5.521324919917058,5.0
87,10.990458862767925,2.8641466104007893,5.0
88,9.040124433674942,3.5212204676204157,5.0
89,14.379452929974072,7.459753297023118,5.0
90,9.46389627476712,-0.7128187513352868,5.0
91,17.545290547465655,8.301844309260396,5.0
92,20.680650339052928,5.79330671599771,5.0
93,12.868111769280597,1.1917645587393708,5.0
94,13.793676502745308,4.768225222687896,5.0
95,17.366731205312774,3.640724429293793,5.0
96,12.67558080722137,1.5376052603928718,5.0
97,10.303237977725054,-0.13754391281929124,5.0
98,10.377144590121631,10.517862889398147,5.0
99,14.34895255046617,7.802578873943414,5.0
100,15.393139969665553,-0.46536226059339914,5.0
101,16.934200873029333,8.085391494035793,5.0
102,13.009282080575193,10.226166168121313,5.0
103,19.353985186615947,1.9656509776376812,5.0
104,16.52066724505315,1.725167229424339,5.0
105,16.78614082040162,6.215996417676504,5.0
106,10.819030125342131,5.451723744368214,5.0
107,11.604236014363245,3.538472827576499,5.0
108,9.393509727987144,13.132770960064224,5.0
109,20.7186629904363,4.071261129379106,5.0
110,10.91224246694084,8.694292062741358,5.0
111,21.789445649660813,5.8408223048646875,5.0
112,17.398070060805818,4.6484441060083,5.0
113,11.423652983651007,5.973171815231055,5.0
114,18.366336274528816,5.021493611325693,5.0
115,15.988284971562006,4.456920104680292,5.0
116,21.416652746393385,7.6060143549020935,5.0
117,18.603500224259086,5.419998450927655,5.0
118,10.193974456376509,7.4334021910967465,5.0
119,7.083831933933828,1.1290943833382396,5.0
