unit_id,ReadmissionRate,Sodium,HbA1c,Creatinine,LengthOfStay,do_diuretic_titration
0,33.30590622094619,50.28090987183671,42.19598600047545,42.8351396964121,39.61711371463957,50.0
1,67.04086199266082,56.24081384904292,62.412884065605205,42.62626459257204,41.49168651697189,50.0
2,39.36970040864396,38.89202496054021,57.71645557154761,34.75287741528067,35.28265256294963,50.0
3,34.89076890671162,46.560405026675475,54.81735371735999,43.71306928826771,38.48496407825385,50.0
4,56.93470313789846,56.09633657965748,73.85147996309355,76.10363397757575,32.482578435229556,50.0
5,43.51119601213334,49.288263207831264,58.68236139555971,49.26422382105094,43.27954097242099,50.0
6,44.87975513149564,45.248424418857084,52.21164809152437,26.00728890736614,38.86401174317275,50.0
7,61.82230803647796,36.43357924462769,68.45041108614613,87.45528254733476,40.89945686591186,50.0
8,36.54737913419761,59.854846880521755,70.81291364418065,69.67650672996834,36.71702480851075,50.0
9,46.483330519279576,69.92424847656949,52.01627649876233,50.02392708892652,37.28699193739408,50.0
10,40.295026456315895,29.946979632710498,44.025170212420825,58.68202713439006,19.005973888744784,50.0
11,33.1942921962937,39.650409436493355,51.02022251027635,44.774954401321494,44.30117998249571,50.0
12,51.92477477063406,49.872740235338,55.12405194149355,65.93860865555651,42.9288501530192,50.0
13,67.33478401213681,39.378191648156715,53.28327116334738,28.46860404488749,45.65108717352173,50.0
14,51.20412770920997,58.913401591717374,47.60510047804621,47.67044620329294,38.86851219220597,50.0
15,55.188365428327124,46.06832430116634,34.31579126423826,48.09665288255973,47.70304413037323,50.0
16,34.194113053573105,56.559318460084086,59.24426941672079,54.27723854922196,30.272953727128346,50.0
17,50.420884428692716,40.72610214013347,72.63129557882736,55.22979462493405,38.24943866515826,50.0
18,34.13833242601631,62.38469689034309,26.64718751191112,41.13732694638754,44.83423618024721,50.0
19,34.159614925187576,74.38443492710122,59.96700885860897,51.44428150350751,49.49942818754327,50.0
20,41.37628743531269,64.8721761102121,43.0759480494539,34.39691653495873,45.62645026894474,50.0
21,35.52951765707823,50.24057414552412,64.56715205653785,49.14800180816285,32.70071276750445,50.0
22,87.7630836304086,59.21025046808489,29.499062949487907,68.74480296224915,41.738020482743245,50.0
23,41.6768793421881,47.51524449914586,47.4671578214883,28.960319330717684,51.45185524537219,50.0
24,57.34824401280516,65.74152494763422,63.49121447518555,54.88355239258142,53.81002424556233,50.0
25,54.686124071927324,38.07977079343341,47.46701212126557,68.391798543245,26.084788723140736,50.0
26,51.39068200404512,31.419691531552623,47.222178771833924,42.237025958888104,55.197519651355314,50.0
27,67.146560896056,77.69958752545618,50.72243337152041,53.931768528185714,35.60506855998704,50.0
28,40.00713746022161,33.736549069845985,56.070989472594945,57.59167289009381,37.050583872132066,50.0
29,53.04974209825267,56.84495399389476,51.240992845647945,34.04312339735327,37.748961724273045,50.0
30,38.543376647111685,64.25436670978762,33.88878886189089,49.95967959046645,39.546586686165455,50.0
31,43.85267765830686,63.8117679308391,69.26696090632525,37.321239129905344,43.03391428315398,50.0
32,61.69433713295465,42.475449247679194,59.95444565056723,45.69523215418941,34.50722432957509,50.0
33,38.88919461100721,49.691984602337776,43.01355238373698,41.758500130344956,46.94315082992497,50.0
34,37.36519095395052,46.881281150968086,55.027596140022766,55.99951789716589,29.840153195171148,50.0
35,35.67147444612285,40.453121693225704,52.640271504474924,48.959555594499655,43.36975539495254,50.0
36,53.44995025165145,41.84374354715881,50.95748837126705,33.9775156731785,47.39723034018338,50.0
37,54.940463429938674,62.745885843602714,59.9062981857809,20.422967889093474,56.98613895394622,50.0
38,34.89103342782032,53.79887095373213,67.84264634481296,58.85845023333711,18.771495367002473,50.0
39,46.92711305524828,40.57021227350373,50.360743894396386,48.16643434160262,58.27612092384827,50.0
40,39.82910183967356,57.07342388723159,65.88326096568024,58.12549398333406,41.250187787125896,50.0
41,35.96849385211715,40.194030530620005,18.879584243632674,63.764896970890526,27.720673031960416,50.0
42,43.67961285738675,61.755004980925136,36.65607231844295,37.6015007850101,44.889484969221776,50.0
43,50.23507961157051,72.0231788393999,55.64263979098866,64.10332416594466,41.885476629843424,50.0
44,25.091861261263325,63.55101861586615,45.920081442003514,42.13953337683702,21.671168911222583,50.0
45,44.8212700706562,49.29897314221029,36.438642743188105,43.9709074572346,34.81917796949407,50.0
46,37.44949282065859,59.4342437392664,58.4497388741826,47.20535274417357,43.34978783758223,50.0
47,39.108794630574394,49.74671823354978,37.899409776487765,48.33110846800563,32.99012401391819,50.0
48,32.1423642305083,59.096609309198215,49.21727308274643,26.22399815921614,48.26968327504989,50.0
49,33.60715453185878,44.06359812292954,36.52526977239789,40.05896548994261,27.90050838503162,50.0
50,50.00715738325056,50.18890346362875,56.03251796685621,12.945181977663502,52.39745097788514,50.0
51,31.190035446892843,44.481817545886706,59.37340229314202,50.127210686594836,21.769792279603905,50.0
52,53.28548305303798,48.784901931954046,38.226523121763805,66.50546875842173,47.487387387410564,50.0
53,55.596001355987156,67.49823057632176,23.67837886758158,36.68937263873366,37.834567321414504,50.0
54,30.92257043657095,47.9614696289201,39.392201089302944,64.25473295261561,47.591180308920286,50.0
55,57.584866864663745,57.792727202939545,53.69102297046579,54.5514056787521,46.99602298526497,50.0
56,36.27490974390855,46.25856746376576,44.91951982198643,45.50745882731958,25.3578575970012,50.0
57,31.050156120069577,68.84067869248165,59.7700455620665,57.955622926580766,32.257960193599835,50.0
58,58.03315241608911,51.08192654920532,63.37680479383069,44.95925453490865,45.92767974478486,50.0
59,52.09994911059915,51.441760700259124,47.11760420301722,45.38437640843227,54.24377036728411,50.0
60,35.73563718272167,28.02813594182154,67.95325915107446,65.96395645630574,42.446901865367195,50.0
61,30.714789000479296,56.1495776030979,56.28238328152409,53.14393148210274,19.76305731125303,50.0
62,68.49737729045,58.693648358250655,52.69123267235373,59.925525601812886,41.05312400158779,50.0
