unit_id,TissueNutrientAssay,CanopyTemp,CropYield
0,23.81215933164853,100.39961354157991,-15.587139913697163
1,35.17531092335379,51.06113052575433,-47.82288840761933
2,27.428690542764173,85.87550433908481,-23.659659290379903
3,43.856733147730324,84.88961939934717,-27.602748543327365
4,46.62566619299107,92.07867259636336,-34.582882006425734
5,56.17603309117917,75.42977352090502,-65.31669452289252
6,33.02418415388441,83.95738936199977,-15.865157330441738
7,21.92256083764527,93.14372906607586,-17.03461975599938
8,54.05960008608012,77.2626769557986,-41.252748007214635
9,38.976157716907956,62.27100295028713,-46.34185516689196
10,32.18064918114261,71.63978391273976,-38.78862246983134
11,40.034938850898065,76.96541935821367,-35.161705091835266
12,28.694548746229344,74.20943526152982,-22.433010810661433
13,66.34709910260878,62.28464714223307,-42.60494126969534
14,48.73141281399374,75.01156206171814,-30.53252367349189
15,12.320792923269165,66.90231594051008,-20.383799241147166
16,20.740994576851588,86.0028727860563,-32.22635009908559
17,52.020022473880914,60.48904022008313,-49.044671490683164
18,49.60159835256808,70.16893145056771,-25.585682729903088
19,2.995256985154052,65.49094588414107,-10.152804247353036
20,57.750945935328495,71.5948888304326,-27.56739123538489
21,39.374620635280614,63.35773933075576,-53.932850961969244
22,16.098198489243597,96.91142798989969,-18.904346522585307
23,44.37710434401336,101.95434395080076,-22.416283841223198
24,3.0508171981282093,66.53729668415178,-15.255246810476194
25,22.797909945959628,80.0892178283243,-16.25383732601766
26,57.53300391056709,56.788495092252624,-44.77123198537625
27,24.33648282881541,76.70402212581742,-37.556094223252714
28,16.427282244473297,78.00284408423781,-15.00541721819575
29,46.29226486672053,58.51364955570193,-56.9872003623475
30,45.19672304763424,93.24589274242634,-44.394909856568304
31,40.32941325680859,74.92237336800416,-45.142681155430445
32,62.411291910482205,77.57607014387818,-39.631428365790875
33,67.75269588434125,52.751114476353926,-53.53978496636784
34,33.09522526400178,75.33021546256582,-17.14136552053539
35,5.736436691004684,72.13508056273449,-21.672806653394417
36,68.96130093838025,70.90466770381103,-33.58031860960058
37,17.034122532598836,74.79489557328917,9.882068838265084
38,47.347682195519646,68.89703612043459,-42.08293416916713
39,46.260585496497065,70.51377992621359,-37.258367266230465
40,54.71451173061892,75.41275024302433,-37.6114017695434
41,27.429571827280153,90.53705339921453,-19.320474950046627
42,44.048614178102184,86.66534005598724,-36.07150751618188
43,29.873426924256382,81.95492516791327,-35.7620956927627
44,44.4268573781475,92.00791698928728,-35.13717340083851
45,37.29718586980822,67.21852236063965,-38.550438742049685
46,25.034139798918407,63.9521845131872,-14.277803417697442
47,41.677748192667636,58.11283883651443,-51.43448532753679
48,43.4171859279444,78.19152985294444,-38.431461855164194
49,35.71326291493696,70.20530387855601,-37.756090903347456
50,38.64725182851353,65.51496255375172,-47.06184219939777
51,44.83191142704725,75.49760102242597,-48.9365563932567
52,51.11350938183397,75.1601539544445,-42.3609783357243
