unit_id,CropYield,CanopyTemp,TissueNutrientAssay,do_ChelatedMicronutrient
0,-6.120037827330648,66.92003167302016,-3.62283428576659,100.0
1,-3.2422993476343436,64.66261190740543,9.897979349841911,100.0
2,-19.803392444080753,79.28787221313,7.071296460133901,100.0
3,-4.597815037587015,78.41552741996067,12.773520924704407,100.0
4,-0.22084660855727983,103.89064402660689,17.80825669968071,100.0
5,-7.897502750297422,71.92442581635434,19.1413509716892,100.0
6,-1.1734434935204434,74.88887451183685,15.795441988446932,100.0
7,-11.573064525616463,62.11075726516159,15.015729613950805,100.0
8,-4.762354371193912,89.53040639109072,21.924142405518914,100.0
9,-17.653158336005372,58.95904129391936,-2.5894689832378806,100.0
10,-3.060496082795318,77.031536798021,13.910565932823088,100.0
11,-14.013979360035794,51.414679094701434,20.73698359656995,100.0
12,-3.439242675148754,54.46719108148552,7.424756630795655,100.0
13,-3.760927099201761,66.93276030239593,12.98464472992013,100.0
14,-5.74157540206599,79.43227958326692,-6.7699880128789225,100.0
15,2.2670907706910044,66.58007966859564,25.077060032394712,100.0
16,-6.07797748638447,53.77343723196864,-9.863492475908522,100.0
17,-16.645214269888935,77.69568475466129,5.047157008525334,100.0
18,-1.1530534036883133,73.84447561442792,-6.2743503585861315,100.0
19,-20.750033064637687,77.88260400524915,11.52157582688278,100.0
20,-5.070293243646446,71.99198132969757,-4.1293645187010775,100.0
21,-9.922020429256138,74.918421768426,4.433049111454813,100.0
22,-0.8734148439068279,55.315834284210425,12.763813285933155,100.0
23,-4.482088548232262,81.37031943937968,-11.83845597287149,100.0
24,-5.7374925257703255,67.62945031201272,-1.9104013878588688,100.0
25,-10.05330920784394,74.78149878468405,8.633370547727074,100.0
26,6.847704240646497,50.575804691106164,2.5713403159279817,100.0
27,-19.320244569357552,57.60845735032015,24.216045091531605,100.0
28,6.644349135420367,62.89870081470276,10.356800076310291,100.0
29,-10.71189153205418,61.8991832045224,-4.007485396527848,100.0
30,-9.401207237637966,74.49551283324836,15.46950483091557,100.0
31,12.417773412255446,88.40555397649965,12.32365627717102,100.0
32,3.522432351900914,90.47725288013274,-8.520748747490718,100.0
33,-8.193427960218113,77.24950070464904,12.554730914918942,100.0
34,-8.884338364117363,67.78074595675139,16.002562443109756,100.0
35,2.9581896321568557,83.47635881736407,28.307415057658478,100.0
36,-3.7337554487087647,77.02561820993978,2.3392304750115516,100.0
37,4.413199094688128,73.02137312553357,15.761079683958426,100.0
38,-26.433950542681913,58.69292447344531,8.803924867258049,100.0
39,-4.536751301007082,66.63872408588202,3.7542886809301095,100.0
40,-2.2988054821545334,89.54707480214076,17.66461519404217,100.0
41,-5.764049420259167,68.61159950512457,22.325111305591548,100.0
42,-3.237867897439022,81.17673749426527,9.966771123817265,100.0
43,-8.324927066409396,48.79226173869379,6.417639040462033,100.0
44,20.883289242335906,102.75229772326283,12.180536740830167,100.0
45,-0.48358843306326005,56.567283931250415,-6.17615268230392,100.0
46,-1.4031960690368903,80.06824941633957,8.940894476185132,100.0
47,-2.978060053741925,59.555397173989086,27.34849113955079,100.0
48,-10.974411024144924,86.13045660546153,1.2219958388245153,100.0
49,-0.9618458270588737,95.76807500004189,7.770931919084037,100.0
50,6.671247630020599,65.13330900991303,5.494483053559415,100.0
51,-18.857130856447107,51.3155202822932,20.768260883220947,100.0
52,-6.883002442823786,76.29347247330682,6.748225674810488,100.0
53,-15.785628048769771,80.2833694244457,19.441103535278415,100.0
54,-1.4934957723442022,92.26658728451379,7.654868415691334,100.0
55,-7.372582745760617,69.25606616329175,1.7919415395023526,100.0
56,-6.347039256910441,64.49472494331347,15.13528328130803,100.0
57,-3.8078358863735264,61.7556867993876,-0.3033242762191293,100.0
58,-18.063097088817457,67.30801984939687,-3.9077075904315723,100.0
59,-7.12822520904958,82.7827085311237,3.053672019099678,100.0
60,-6.1813409589130055,73.85781476787551,15.795816963629289,100.0
61,0.026730637780136846,61.03149379118262,23.690103187507976,100.0
62,-6.002668613750501,100.58737050861865,5.4022480654759475,100.0
63,0.07744690139438593,67.73879820918012,16.501204488658225,100.0
64,9.804016447009811,71.94194799794757,21.865621851866155,100.0
65,-4.122877693102808,82.62532143624753,19.947327122829098,100.0
66,-5.9894773985541985,87.99326635103355,10.090343898734169,100.0
67,-6.2314994444162854,62.6105633891125,16.436261576285972,100.0
68,11.807266784789766,89.23343941177573,18.63263182573087,100.0
69,5.9295295344113255,79.7636062507915,7.330109184345299,100.0
70,-12.871137112364043,87.46193829334392,5.33454660852536,100.0
71,-7.720621280327435,88.55832833652002,12.132162525192832,100.0
72,-9.665891306392835,68.70406234942597,4.632284201055052,100.0
73,-2.7413842776560267,67.03797259160174,11.557312091706155,100.0
74,-3.0588765898532335,89.0039933000253,-8.721261520006138,100.0
75,-0.07218724829744128,79.54402732637585,-1.0774676099855984,100.0
76,15.465240588564054,91.32356165478782,11.352014828954058,100.0
77,-5.2153582176534075,65.35266475685503,16.243357946657287,100.0
