unit_id,JobThroughput,RackInletTemp,CpuClock,GpuTemp,PduLoad,JobQueueDepth,MemoryUtilization
0,37.2584548498517,42.89190960984439,55.20343700340337,58.94029770260531,52.20519162019734,47.51098197979238,60.40499966172463
1,34.40742351022033,52.45723361600512,50.18866726246215,39.96780789671793,60.58930130115603,36.42441929876467,36.95632882047612
2,36.23627793919,36.8596240009832,56.16412248729431,37.505355470963636,27.219240832482118,50.97799808903102,71.93069829996284
3,29.143793613322106,44.26295138677018,35.378083650998185,55.612455325741585,50.718476934644826,51.08080137348351,68.79092514169689
4,40.5593051052212,59.25981019674808,46.153207690301144,49.697749035092386,49.89833419512145,61.72385148576787,38.67990473296984
5,4.5452419525852115,74.17760050659625,67.92613311295565,52.323653239029916,60.719841229520576,54.36864697374022,46.821415160285426
6,7.104580433198312,75.89280267163367,34.91387232904214,56.84975380645367,41.95375309239018,54.17585132511773,46.93448851977346
7,15.471264340152386,60.24879491475403,49.25721310253404,34.701703658970914,23.802161116175235,41.46319509972931,28.3527008634564
8,8.949278290371197,64.0634311060902,58.754835038153544,44.29600225367599,34.43394135157043,51.41140214303991,52.04015863026635
9,38.320677233456564,55.82678215193898,50.34936384833506,51.599292273724835,47.477719553373014,21.90415249559091,50.29001575463068
10,12.443592360776552,61.57088793249712,44.83792854975972,22.3037375975772,67.80184413080468,59.05795710153948,54.20403618642179
11,19.090318310844623,51.7997784315175,46.63122038149091,25.30975451999683,41.595134459166246,49.343525611933444,13.199115499815798
12,23.850469248818005,46.067814803454674,57.32923168876302,58.80342648522821,82.63945718216696,33.06723566158056,65.4382363760558
13,1.4810081297037776,67.93981797859338,49.915593505845806,29.34719978652078,41.00186634296796,54.28016781401256,48.23034513631859
14,15.808516225826217,60.82055706116904,62.256656369823034,51.03103117875101,53.12888162940101,50.65681502177598,21.144469876142328
15,36.5457386086006,26.40574592287972,47.896634338793795,24.816601977420902,42.744400860788,65.42435248280326,60.3375573697778
16,27.618381142952753,45.64335406329148,48.98318552094125,68.88264123507508,56.2006428979131,44.244104324737826,40.46936234557626
17,16.01263335565382,59.940556676677545,52.76374178426059,42.355741974178656,59.82992265915528,65.39190377912367,53.91908909774574
18,24.77363758446224,49.99743992641649,41.075111022112466,45.548319945448796,55.64330419367406,65.18859947656394,66.1744753982511
19,27.91291031303292,40.22816011228882,44.68655706270153,56.52083615741692,67.14754389353399,55.83012184700793,50.70278314848119
20,25.962526592355687,39.46995515423126,46.52989065195964,57.59859482058012,27.023946720406897,46.79803928185706,72.9888834866647
21,32.273166647216335,57.54782681988455,53.895745360313875,50.741985385103035,32.380431997312115,56.83196385367993,50.394206784607235
