unit_id,JobThroughput,RackInletTemp,FanSpeed,do_cooling_setpoint_controller
0,41.72449535432175,54.69998252679294,49.36510213694118,75.0
1,40.000605213750006,47.05706376781068,47.15690568210728,75.0
2,36.2076463271748,69.34897546886023,47.78037626627109,75.0
3,47.240021724100004,51.98880021369598,83.73447012275187,75.0
4,34.935563601904924,53.869113022751996,47.06284435332795,75.0
5,37.19520326938411,48.15572291726659,67.80456768976376,75.0
6,44.958945562052264,67.76026753236756,59.562962076417136,75.0
7,43.09882813543347,60.6201476193447,69.47365432287953,75.0
8,28.585986944583425,65.03073359026075,44.36245170628518,75.0
9,29.472580487903834,39.94459103943945,60.26699286365733,75.0
10,35.988269408731526,53.337857776986006,73.6623261167786,75.0
11,21.802737613914026,64.63800850298631,65.76380516922174,75.0
12,43.744344054875526,66.92073638074204,48.70210787888752,75.0
13,19.044776451515176,58.69406939320208,65.09984500546057,75.0
14,26.70992222544856,59.476433498272264,62.48008135699663,75.0
15,21.817408484523686,45.598307717771426,61.95350006936332,75.0
16,38.696615174252656,48.24937492620447,54.608047182041034,75.0
17,40.8155751505044,47.595239520302144,59.769658535732106,75.0
18,24.324696600660676,55.24844181211405,60.876065543002916,75.0
19,59.01663027218075,53.209894189014136,48.175192232572726,75.0
20,46.31792085590062,52.85726935978754,51.128405149201384,75.0
21,22.657353095042573,66.26874010011268,55.43828937008256,75.0
22,23.9403581086524,48.59117901786632,42.29517325777531,75.0
23,36.33070549783984,62.902197030132726,38.72749849582783,75.0
24,61.69767368157672,40.432034266500594,48.963019987524184,75.0
25,34.10418004456402,58.584545839589836,58.07071563655248,75.0
26,29.60968017898312,59.23488073173616,72.66997413416249,75.0
27,32.20482807287171,69.00644702216145,71.42469042701177,75.0
28,50.93922966046304,54.508796995946724,57.635257661724296,75.0
29,21.800317043512532,57.93751559578262,73.66604135683188,75.0
30,65.97326379336157,36.264138789538826,65.17722461237145,75.0
31,48.52999455454874,52.44173600643282,60.452936430709656,75.0
32,27.393641340307994,81.239601502718,53.7595364689082,75.0
33,40.56396984049519,33.40127057614052,56.26871814017287,75.0
34,40.03616125011415,55.15170491893697,57.037051582068216,75.0
