unit_id,ProductTiter,LDHRelease,DissolvedOxygen,do_set_CO2Level
0,-22.21169545364853,51.42217945288248,69.38184383931245,90.0
1,11.62048693883037,45.06237564864379,72.1621907791693,90.0
2,-23.43740739237019,39.17597265621018,66.74485550188606,90.0
3,-20.45166018941535,59.316475693972514,70.87286765984197,90.0
4,-0.8886405964982036,56.53247118830947,73.04285586275523,90.0
5,-20.949738350784603,47.24445208047726,89.61505038105216,90.0
6,-3.6342561966342006,32.06822843658186,75.76718168922508,90.0
7,10.604724670655695,-14.103576930875093,63.360111759538505,90.0
8,-23.456404228175032,39.62715038262896,67.46176327541811,90.0
9,10.517885727322046,35.357024168020416,60.643385881848666,90.0
10,-14.662113024087066,51.467912105228635,59.19885121647317,90.0
11,-22.730075095662542,36.42565815986479,78.12014994035154,90.0
12,-9.107750194269057,46.70897626514489,69.1312846540755,90.0
13,12.367063730558089,40.42477945782565,83.29763392066356,90.0
14,-2.929021152707448,64.64390008676448,73.67310252252427,90.0
15,5.73956672638455,53.36739321683955,89.06399667143823,90.0
16,-13.922030467746524,28.099071777956194,70.59249800116353,90.0
17,2.0995569268030154,10.188333862714497,70.62210691803892,90.0
18,-14.806388475947793,34.09330583270511,74.35945625080225,90.0
19,-2.7396043891632305,68.74782134212407,91.77723304549971,90.0
20,-4.882998234794377,41.04534605311115,84.29221328687161,90.0
21,-21.241661682817423,48.6290146822879,72.2528013751748,90.0
22,34.22098529989791,31.555150566042528,76.07651795039656,90.0
23,-9.343184345568954,33.89861078556076,85.20742849777521,90.0
24,2.1493663189853347,58.28369599524461,82.62254106019452,90.0
25,5.797122360874907,8.273927125577545,55.483252749311674,90.0
26,8.893998414683445,39.77501278154493,98.90984948845579,90.0
27,4.973225504424393,51.933482881867434,80.56872509687001,90.0
28,3.8584758648748307,13.010015056264507,83.25655075820383,90.0
29,-12.45915624174491,52.32619354601658,77.01875228815696,90.0
30,-18.530095343024467,47.061771536887534,72.10151083054946,90.0
31,-9.343945672421894,21.232574437302453,75.72223353386106,90.0
32,10.817173361431827,-10.43812334099525,82.52164679003278,90.0
33,-17.600508728266526,57.512388086277284,81.13891415570673,90.0
34,-26.793342241013903,52.61271477940829,62.93337569553458,90.0
35,-15.620219568839996,42.82794053276999,78.98201378873058,90.0
36,-4.620906164205602,44.420626899743674,83.83193743637395,90.0
37,-10.23914106075528,58.72815612983429,88.14590488604287,90.0
38,-28.472656828733562,44.994057077753354,49.35550688583252,90.0
39,-17.28515165955678,45.12311433148575,90.37077548312776,90.0
40,-13.459061048894032,60.940738145213544,78.40933501020643,90.0
41,-0.2307063772518554,38.13946335408237,59.00123224669967,90.0
42,-11.84279709620006,48.742851197504805,81.08092401939811,90.0
43,-5.827045385204634,37.33606417594038,67.10878741749055,90.0
44,-28.28932531537762,59.90478180730247,62.35691897871807,90.0
