unit_id,ProductTiter,DissolvedOxygen,LDHRelease,Temperature
0,-13.556807189379228,76.58690495675363,67.01514041017803,55.03840566801145
1,-4.797246856600466,52.78832641166384,33.248753849149445,38.753474613499094
2,-5.407811009104542,67.65522902262671,42.361149911709326,64.02327619047367
3,-19.363273550409897,65.10559471340378,34.57081731252208,59.555928473053946
4,-26.06781104995588,64.74002326836695,55.79829917991773,40.395784280703204
5,-17.467406047978024,80.49983227613957,46.06097875282929,50.45396702184687
6,-18.99992083726569,83.71425321713703,52.90720308083525,46.04948739149191
7,-17.3807608772399,84.60247506101395,54.69357084943963,27.952075779114836
8,-3.9190283630916687,93.00622682621716,60.01445281215653,60.022802917288885
9,-21.696966891622335,51.764326339878025,42.653322164895705,51.26233066314441
10,-21.14543967389624,70.2527593141505,51.35712547823214,62.98441669527824
11,-15.389805932107251,71.81404046665142,52.97654226202212,11.942975672929363
12,5.417259463102992,77.68511845952568,50.62216651888396,63.880572109166984
13,-3.476706107920446,86.33250108107859,60.54128977371577,43.6770862617635
14,-1.0336240024728802,86.31531768416184,59.50373578025311,26.83860738541436
15,12.44378662023547,58.37891440549484,-4.057835004440253,61.641434931730764
16,-22.530331237425358,66.40043011491697,34.95781208713748,40.10366170245054
17,-9.034715556451777,66.7465248437596,46.55751598214562,51.22513465208689
18,1.9378003157506791,73.78922871048813,38.37390315893826,66.85545383543116
19,1.17095941038344,63.43680559968927,17.86057081264144,53.342068811952544
20,29.048453651280674,92.69084136271853,7.7172715215665875,74.82668339836488
21,-28.956312438443486,49.90354898741838,45.54362172792239,40.125712856349395
22,5.734817086345158,78.15892111568905,34.86043638114636,43.2853899547952
23,-14.66339021659624,93.95000977186331,80.07714529472527,58.65348215384438
24,18.255078529083942,73.00730019277718,36.64114322569053,57.39299078845081
25,-11.87448647138564,57.1829693953083,32.752429482771404,55.527831459226306
26,1.885401326435633,76.08494843993687,45.54858847635189,37.37334802392134
27,-21.104065203851583,72.44208521770538,21.378397854669092,42.12605167876765
28,-8.929773291882197,79.5603616205297,38.737487397644294,69.13382655226
29,-4.361315534710225,72.31389839539528,31.239377179604155,41.19054396147627
30,-16.26140230049772,88.34921012877744,45.095336444662394,38.90780105993142
31,-21.44098984775987,62.50852164086392,60.31352047779991,41.927978932320336
32,-18.03984790935239,66.18817652430579,62.276041182691806,61.93004129694058
