unit_id,ReadmissionRate,do_adherence_program,do_diuretic_titration
0,36.29265261657219,1.0,30.0
1,27.55087111049491,1.0,30.0
2,31.868853174802837,1.0,30.0
3,17.23610812654853,1.0,30.0
4,50.2371943622645,1.0,30.0
5,37.57853265741205,1.0,30.0
6,35.67517692267994,1.0,30.0
7,62.835199899254334,1.0,30.0
8,69.42009979048252,1.0,30.0
9,37.6870272465586,1.0,30.0
10,39.090383584434974,1.0,30.0
11,51.73666589944001,1.0,30.0
12,36.740862130921485,1.0,30.0
13,65.90398066923376,1.0,30.0
14,57.69569319896265,1.0,30.0
15,39.26234404783555,1.0,30.0
16,58.7188275795351,1.0,30.0
17,30.661549170371032,1.0,30.0
18,34.2005832226626,1.0,30.0
19,50.54407062019546,1.0,30.0
20,34.1468779929975,1.0,30.0
21,29.744703607681224,1.0,30.0
22,61.039793722632325,1.0,30.0
23,38.96888851981475,1.0,30.0
24,37.0954955490501,1.0,30.0
25,66.31651984169753,1.0,30.0
26,33.61024917955103,1.0,30.0
27,39.917220750387045,1.0,30.0
28,37.92424704170118,1.0,30.0
29,34.05063537007506,1.0,30.0
30,54.11384796834268,1.0,30.0
31,63.55289101071055,1.0,30.0
32,46.17829992490752,1.0,30.0
33,30.858333752426226,1.0,30.0
34,25.421425225828308,1.0,30.0
35,40.06222201778925,1.0,30.0
36,50.40847397756252,1.0,30.0
37,56.91562470966197,1.0,30.0
38,54.45655000924825,1.0,30.0
39,75.05969770077813,1.0,30.0
40,40.27009985975236,1.0,30.0
41,58.443305029703275,1.0,30.0
42,32.30117980477695,1.0,30.0
43,37.65975750440323,1.0,30.0
44,32.88017944759597,1.0,30.0
45,37.37410205917389,1.0,30.0
46,27.54647556407275,1.0,30.0
47,37.285653912300624,1.0,30.0
48,41.726687736483726,1.0,30.0
49,40.648024922323856,1.0,30.0
50,40.64665146523395,1.0,30.0
51,29.289608109854317,1.0,30.0
52,49.104088305755035,1.0,30.0
53,51.771782608075235,1.0,30.0
54,46.4014566317967,1.0,30.0
55,49.05080495708845,1.0,30.0
56,48.905269823103005,1.0,30.0
57,41.57410894350949,1.0,30.0
58,63.49580561677145,1.0,30.0
59,42.98473482468338,1.0,30.0
60,39.57588396232107,1.0,30.0
61,35.74322324980565,1.0,30.0
62,25.746904658275284,1.0,30.0
63,43.29457256419693,1.0,30.0
64,46.383938185913536,1.0,30.0
65,46.1639472621375,1.0,30.0
66,60.52528544848393,1.0,30.0
67,54.14782647278776,1.0,30.0
68,29.643965529686138,1.0,30.0
69,39.16175290030798,1.0,30.0
70,38.86073106102962,1.0,30.0
71,43.65767708576919,1.0,30.0
72,43.791984395739895,1.0,30.0
73,32.55167202333532,1.0,30.0
74,36.7784028319764,1.0,30.0
75,87.23967205461815,1.0,30.0
76,50.257040602920426,1.0,30.0
77,53.561989397350786,1.0,30.0
78,49.04635780741275,1.0,30.0
79,41.83074914527988,1.0,30.0
80,39.07737777052661,1.0,30.0
81,39.46843218524272,1.0,30.0
82,52.94338914252882,1.0,30.0
83,53.089493120230216,1.0,30.0
84,31.791153793526743,1.0,30.0
85,36.88572274451081,1.0,30.0
86,21.99014085535424,1.0,30.0
87,37.73391890560525,1.0,30.0
88,35.9365866396483,1.0,30.0
89,33.866372175884386,1.0,30.0
90,43.55868930204252,1.0,30.0
91,43.762665139737635,1.0,30.0
92,75.77073058517612,1.0,30.0
93,31.417536072652602,1.0,30.0
94,53.567474170101846,1.0,30.0
95,30.690433984077703,1.0,30.0
96,37.88597162569561,1.0,30.0
97,29.370354025624863,1.0,30.0
98,36.82883532185207,1.0,30.0
99,38.004787271931534,1.0,30.0
100,33.09138033951267,1.0,30.0
101,35.2303827552294,1.0,30.0
102,47.72207101023353,1.0,30.0
103,39.62990784885455,1.0,30.0
104,52.349499271065355,1.0,30.0
105,25.182205420517683,1.0,30.0
106,39.98498854479933,1.0,30.0
107,63.890791527922296,1.0,30.0
108,45.384046263473486,1.0,30.0
109,47.42544535336779,1.0,30.0
110,47.1025587304301,1.0,30.0
111,44.20207827614458,1.0,30.0
112,39.17726942520914,1.0,30.0
113,38.93127663495481,1.0,30.0
114,25.84138342665178,1.0,30.0
115,46.66515199104004,1.0,30.0
116,57.51539501668588,1.0,30.0
117,62.262739120457056,1.0,30.0
118,48.56082457813412,1.0,30.0
119,26.781825468576272,1.0,30.0
120,72.23251349586535,1.0,30.0
121,50.41691344816813,1.0,30.0
122,40.191574502694564,1.0,30.0
123,55.91860190854422,1.0,30.0
124,44.1338648393195,1.0,30.0
125,32.36864513735641,1.0,30.0
126,31.90791526686952,1.0,30.0
127,36.60394607744315,1.0,30.0
128,55.408405768256436,1.0,30.0
129,39.34818610759298,1.0,30.0
130,38.481327562922665,1.0,30.0
131,44.43539486289473,1.0,30.0
132,32.087508366742476,1.0,30.0
133,43.40659184790093,1.0,30.0
134,51.39675134747106,1.0,30.0
135,62.14765516514134,1.0,30.0
136,36.96595491739281,1.0,30.0
137,30.99322588252062,1.0,30.0
138,17.52202522497917,1.0,30.0
139,46.88128123413358,1.0,30.0
140,37.09622642444238,1.0,30.0
141,49.57402095998822,1.0,30.0
142,33.21024867465627,1.0,30.0
143,51.60205217968488,1.0,30.0
144,42.44058784223655,1.0,30.0
145,43.894866018900856,1.0,30.0
146,62.11288219866007,1.0,30.0
147,49.24848402012406,1.0,30.0
