unit_id,ReadmissionRate,BloodPressure,do_diuretic_titration
0,41.20959991527753,63.70781577838942,30.0
1,74.36088807762232,61.26145064547824,30.0
2,40.70452438515983,35.09411685866176,30.0
3,60.91110758239369,43.73317781108442,30.0
4,34.31788756805166,44.07725826566413,30.0
5,45.10536853933465,68.05707308217576,30.0
6,32.27945693599615,61.96054922567252,30.0
7,71.51814730675697,37.291088828572754,30.0
8,32.80573293212534,39.32817888460171,30.0
9,48.138019008337544,36.63397245861184,30.0
10,53.27316184783815,32.1711959407856,30.0
11,38.5809897050115,48.53007570327501,30.0
12,52.43123583369249,60.18954728227843,30.0
13,52.92793390520042,52.22507555922076,30.0
14,40.99355188783724,36.90163255167089,30.0
15,27.927593424447046,44.49782617189896,30.0
16,28.36206523887322,33.16604812630487,30.0
17,36.36230316509974,53.99911015077497,30.0
18,42.723365144565804,40.26416719643525,30.0
19,33.666355411140366,45.85185740199238,30.0
20,33.4600544289076,26.65073443321589,30.0
21,32.18216118196236,65.06262225094387,30.0
22,54.58963149078096,56.023278441733915,30.0
23,67.68703333994011,42.36233686745532,30.0
24,40.719645440640875,52.7546787107339,30.0
25,34.33820337365824,44.44175075916205,30.0
26,32.2253326043116,75.76440956784845,30.0
27,48.67482847209963,52.214533012474845,30.0
28,30.020383343819642,38.92590107985734,30.0
29,44.115943016715256,36.06622744953043,30.0
30,51.08146386513909,52.318631111750804,30.0
31,51.00709362349336,55.28124322715647,30.0
32,39.39674661674751,37.3932162746351,30.0
33,22.29139340260749,41.528852022567726,30.0
34,40.94642268407988,48.5605967447493,30.0
35,48.08240065715247,49.551277802649395,30.0
36,40.880403183186786,49.567515215798515,30.0
37,30.98711470980067,41.890452278805185,30.0
38,45.17195282268026,38.023534296266625,30.0
39,35.35508692670096,62.49142379765431,30.0
40,32.813625416544205,46.24467978991139,30.0
41,44.13639864731322,57.60712440090538,30.0
42,38.56924877537694,62.20481782261074,30.0
43,35.81040976275147,34.65562539036755,30.0
44,34.619446963924496,65.69822529977698,30.0
45,41.87904763835167,55.26714140245777,30.0
46,56.70205657422337,30.427438102844704,30.0
47,28.748694673150347,40.03350590702826,30.0
48,50.52198888746416,41.24200249238542,30.0
49,47.985351680386124,46.03342015069227,30.0
50,36.091728497110914,59.7998688838958,30.0
51,49.304313206551825,55.473851975548115,30.0
52,34.405565466579155,54.6106324287116,30.0
53,46.40517401441982,66.68981124470442,30.0
54,27.931979101816037,40.38351975705016,30.0
55,58.90268594198523,43.18134708857756,30.0
56,54.85187241975966,62.77476835099562,30.0
57,45.020427532052025,48.95568354625096,30.0
58,23.75352585883052,55.22642823482276,30.0
59,39.466908252902904,34.651470827682346,30.0
60,70.06494710248724,68.68634198997546,30.0
61,41.551470195615174,49.1504935038231,30.0
62,47.93099792311408,42.92540343972936,30.0
63,37.451586035050255,35.42509396648385,30.0
64,45.192207151138504,66.57663106133764,30.0
65,49.1939791966616,40.222076017276855,30.0
66,31.39659753352575,79.16555374980548,30.0
67,44.877737002741014,56.09149044127193,30.0
68,36.733901778801226,62.311210274996576,30.0
69,35.50942272639922,52.69908602435602,30.0
70,43.48789406772099,42.039549351812624,30.0
71,21.983490105867634,68.61725487969922,30.0
72,24.119518650201677,67.11578370935737,30.0
73,35.00130395855786,56.07834991971328,30.0
74,61.736489915481584,56.5143985341939,30.0
