unit_id,ReadmissionRate,LengthOfStay,MedAdherence,Sodium,BloodPressure,Creatinine,do_diuretic_titration
0,79.53132923827718,41.16307550898924,53.45625754261238,41.508389691037934,58.136403308368244,28.116378370827803,100.0
1,48.21684091075403,20.77901594353588,56.792569693916604,39.595164277884855,54.80644666062156,47.472996950886596,100.0
2,84.05944700278677,33.25015249066653,28.319646665342837,47.120966938039544,58.03917002628737,26.359296447109713,100.0
3,65.70863269260565,30.581242664560527,52.53635468216438,51.4202430304122,25.860814438581986,43.9432536774284,100.0
4,53.659065995850824,31.891047373029252,45.10687730178521,40.09612959574674,49.862250735605826,23.72770749628946,100.0
5,36.707380428385086,45.22357333699507,60.18394782672859,52.11568876630769,75.16961418406125,56.39569163450606,100.0
6,36.508755597627264,48.22483277053959,42.03545817040222,23.68843644514275,28.54774275083388,33.04502275091906,100.0
7,55.06445016706906,48.13139543230846,26.054190473369243,80.62955223590696,46.74616789322615,57.61003276256267,100.0
8,62.91267175934325,55.896652011310294,42.859865120301144,44.49581020809443,55.09275739213958,61.533930191675196,100.0
9,41.866758652408066,19.74724988757509,46.489286146376394,40.3797355985734,51.52525357819754,65.4622833365206,100.0
10,45.08100865535452,36.223974238048385,74.44444174448444,51.16364609699167,36.573932965243486,52.55971172041409,100.0
11,62.80310999564943,37.23541683319001,48.933649719588836,66.39983538119954,38.63582832113092,56.61847930885585,100.0
12,82.45673215070082,42.71925957315738,84.73344336518242,50.912081812763745,60.24724603164698,43.56622025108159,100.0
13,44.90440571493564,48.99557970484567,46.93839382584122,51.639361355934334,44.97993052072468,58.04651353945162,100.0
14,67.13378959413332,50.08933795325662,54.269534198483264,62.91428859290788,67.57412994803515,59.23930884113978,100.0
15,91.17145392499575,24.869328949497948,35.444788394445986,37.99589134381292,52.03430427569366,56.49456997333137,100.0
16,63.13725968193087,32.15725909951503,50.949657283250055,24.340138232568165,52.41918137708921,50.234521422164725,100.0
17,49.37883625398641,32.95646640205462,65.41685227494509,75.96805259907029,49.01407024731895,56.06785624886228,100.0
18,75.65956308612643,39.311650220273535,52.25709672129058,42.6986526988698,41.098251517658916,52.903468735132115,100.0
19,73.72145016691363,29.694074174915652,65.9883361829463,53.732329483228476,42.625714754998484,46.54761725736086,100.0
20,108.04380811150817,55.51006918572182,19.61857666703117,49.464926618328846,50.73069582085262,52.74688659579678,100.0
21,33.687856568027605,17.804589237013694,32.484715234612835,45.695333985632246,55.17593050396231,60.225938297759875,100.0
22,95.02974706355674,43.060431862124446,50.299569739176555,33.34303125076647,62.97484575130537,39.16008631884438,100.0
23,54.695195671292446,57.47553899208735,46.56076977230227,59.597826961924824,50.19200487421291,37.7617284099992,100.0
24,95.79973631406675,37.68933395544072,43.17078733882198,47.96853580688007,62.44130036137202,43.65322874851071,100.0
25,76.51590559012946,23.680622749085618,47.0397530535258,53.570696462692986,34.70458750630565,47.87262646792686,100.0
26,66.46962396505573,40.080246007305604,43.42932754868319,48.64820037884692,52.85920229579551,37.90920596577501,100.0
27,51.22638762407466,38.2123181397107,52.50578290417769,48.52394690746897,43.421262209203505,48.36622054946589,100.0
28,65.43008946476,44.4535374172563,62.42937628503885,50.89211392736827,43.23699136680732,52.51732862686521,100.0
29,53.59856812733323,37.44667487251342,77.77780767694597,54.092455141935,65.99112932444832,68.2513895298797,100.0
30,57.92256094180926,52.0582145408491,55.54885248585722,64.65657148174917,55.47664233757156,48.5474212670545,100.0
31,53.96698317953938,29.033087765497882,60.42414650668915,41.837703912034684,64.59621664982555,36.3524813536574,100.0
32,52.02931657496663,31.625358112392593,68.66809193588647,43.22137281273188,46.570150723269684,59.13755798239368,100.0
33,52.62363362322159,36.24802683796394,30.866323983931103,45.536682045410764,53.113799730939085,35.22785142595016,100.0
34,63.252019740149564,28.707281321652182,81.25467587125974,55.7999359372198,52.69629509049577,57.66853735435093,100.0
35,80.10018089146965,42.081206164249856,56.11949524143778,53.82060219351943,59.31763860432657,39.144263967011426,100.0
36,75.36398264158034,30.34784424099746,56.64761052817593,47.47547610235491,38.39021858145094,49.25750648504107,100.0
37,90.37598154531746,36.47484702883768,73.8624939753776,24.078817838510084,25.73833545501214,33.311325114852295,100.0
38,54.311452325217665,37.574101876390415,76.7856930308934,61.21864033701248,49.702328207697214,37.6526575104891,100.0
39,72.10784374885004,46.455677425315635,67.07609267289155,60.69523636684542,42.70042656857031,54.670256204068814,100.0
40,45.28826515529377,25.59708276657693,63.54190114062462,42.34196043391892,39.81405489648181,49.78982695065461,100.0
41,77.87796531965117,39.10250227660044,62.99126803088081,44.93447559722276,56.83444688632848,54.733870069993614,100.0
42,43.838449306508764,35.50963818737699,47.093538859453865,35.80136373567368,50.4272388029778,42.275269793298946,100.0
43,78.38769248649773,41.60879326494173,47.17008516505827,22.348562482486546,67.72557309578382,45.25946075926971,100.0
44,78.65417763464933,40.174251437076784,24.524033504957618,52.90020497129741,56.84584774871064,59.45711117404713,100.0
45,70.00000171726778,28.95163090773665,65.57708920067027,46.52702057842665,72.63010892025599,66.02628035510158,100.0
46,85.16394406785665,54.92318977558306,52.73462440483294,26.789613364864294,48.042463491372104,83.43721237202006,100.0
47,69.8105939987315,46.999689090809625,34.18595578616573,32.08927361925576,60.505867861331446,68.09865053849832,100.0
48,47.32378929120738,33.896025964653276,59.63000499771987,68.71176703394184,61.535307698032895,65.12330106448559,100.0
49,50.910321629777236,36.98866372546341,65.31970188890321,12.622606991214017,53.682005831478314,61.829705672801424,100.0
50,63.97344292822329,51.85173165283362,52.84961209154398,33.076527308441825,55.39050272201865,53.75617573983008,100.0
51,35.894369581931436,52.620447479460026,54.47483398430191,38.84082665748481,57.9797496244226,65.76359363261706,100.0
52,55.78552150958741,44.57147362056141,50.200257846581756,60.59421830165578,47.71893901361546,45.68134623842989,100.0
53,36.96987149664294,23.12300946748735,70.43354472076334,33.29558958590617,51.25951177031321,26.480472350397473,100.0
54,64.02163792847047,31.548493019420473,44.63579624498366,40.08755495637409,50.80857080100915,61.08206631391317,100.0
55,71.49585853273523,48.27183603589067,61.250841108898584,58.581494410063115,24.34783555086821,53.76899190717519,100.0
56,72.57961414599292,49.169749759826956,41.84502344236789,41.31061160601586,37.86934071723672,52.46020368598614,100.0
57,42.30657209191451,42.28876294525398,45.22394011862686,48.31068341680259,46.918897446200326,56.3698067767828,100.0
58,37.963963399927295,52.76005959542986,42.28760886243356,68.36324033266442,44.98480849030516,40.21656296235072,100.0
59,73.6964317366028,55.407329818171576,60.83811317618669,61.004444852341926,53.839638663121626,35.29464022875344,100.0
60,61.94628944835607,26.04135929711503,73.93896287390989,21.122699877180068,59.735855011026125,52.62477255685124,100.0
61,55.49144283002063,25.954247921658418,49.93974131645517,44.78067135085165,53.90798400871296,46.470754488520704,100.0
62,63.08117136663717,41.743928047207916,37.783120834882936,49.36717459502069,25.919173780583996,41.950724972655465,100.0
63,71.00052540147024,41.69078692178702,27.21931070449142,64.45384013136334,53.71701299319401,55.270622191933725,100.0
64,94.27875512343368,42.27129904945805,42.64666425152805,31.682708059024428,43.27089019503904,35.75034747973146,100.0
65,85.60770280799679,42.226843577579324,68.38071403994216,45.51446664925642,6.794498026037863,65.58132750847413,100.0
66,54.256764540171616,52.4886881609742,79.4722394356156,50.845014308153374,55.92294540655505,55.235435488927834,100.0
67,64.03848152012829,49.681487594504155,66.55673077431538,28.75805066255802,55.61217513566395,58.57852093310704,100.0
68,60.476320217608546,29.571543241277496,47.45458766160748,55.161234894040675,33.64402867103558,47.95329319467722,100.0
69,60.35930671883968,40.45207404007234,53.41830364355807,72.93810007078379,63.76051698075712,53.86040018625146,100.0
70,67.83784672720454,43.9795413570264,52.32547672195527,42.28657527488843,43.779334541779406,39.8286026720843,100.0
71,66.62416555954299,42.64155389593908,31.231627678840926,32.84275832231633,51.05445078363699,60.41221181896074,100.0
72,37.359101723474296,37.50646647868767,43.968023468698036,63.77464211322166,72.84382110670549,39.19180749262577,100.0
73,26.084465425999372,42.39830084332799,53.62177028109012,50.6829090804646,46.97313903781953,63.33153903300925,100.0
74,70.21522137030595,41.465510054664584,54.7152181414549,46.37860404556503,62.091187856217566,54.400308282665236,100.0
75,54.7183765340365,37.10132345794099,61.92079654882565,54.471864494041526,38.49736112587198,39.02556799973005,100.0
76,63.79591490260575,42.89842863261491,44.60120840019294,57.66449901813266,42.89276189155581,49.297047309664755,100.0
77,11.74807682408212,16.933621544613807,63.89249324836199,52.23568724971083,44.482539696841165,50.23548409377477,100.0
78,87.21550011701108,34.061422315503805,63.250941208410524,43.41328788398106,46.04822888051881,54.5927243887598,100.0
79,94.28188999323882,37.5378797742183,65.13591607333596,64.16693896867663,22.138621654360563,48.07476803108726,100.0
80,51.33250578281855,47.31534113345922,49.5158342246841,50.83491889204814,47.768148212180726,38.91714231785498,100.0
81,56.98689433457017,40.238081472785794,35.40286617204608,76.03468348918715,37.71854185838068,30.90631565590638,100.0
82,51.909889545993465,25.347524959909194,40.06859477371838,48.5157200263135,27.517413151250473,36.45574994109205,100.0
83,49.89106504014512,36.32904993054561,52.791516980734734,47.47386417965798,64.07062919364334,47.75457646973325,100.0
84,55.38632657742753,32.07305131898562,29.871751796508278,51.25164891904406,56.646706564090515,26.45101276128141,100.0
