unit_id,JobThroughput,FanSpeed,PduLoad,do_CoolingAggressiveness
0,-11.365409686292093,42.220645037619235,78.77783020446729,75.0
1,-10.831912144304294,53.29758609428315,76.6751083557206,75.0
2,-21.40851270782432,44.70004112815236,67.48077664285819,75.0
3,-11.286225896239227,45.329888222657246,82.77110995811209,75.0
4,-27.64818879043231,72.53929297229003,81.4962663584068,75.0
5,-22.717421409795957,52.128617578947555,84.99843968806438,75.0
6,-19.562965268554937,46.24930042348767,71.91100074034676,75.0
7,-13.481323205789018,77.08438063874718,67.92336531067738,75.0
8,-27.05777099692709,60.80070119155331,79.25063794310313,75.0
9,-11.916429098124807,57.236652929123316,55.10096924529621,75.0
10,-18.11489267940208,47.12703041019341,86.99619248594435,75.0
11,-13.331064723690714,49.784904231277686,62.43019001067981,75.0
12,-18.693703471202873,35.42881135869206,78.82508518840879,75.0
13,-8.969350291270098,46.02728299685603,84.65397947493082,75.0
14,-15.562834006318091,37.1498102678642,84.87108649147756,75.0
15,-8.842160637379866,31.33679288038542,87.17392441037852,75.0
16,-18.488912354652587,55.68037475323274,60.68087676741123,75.0
17,-21.467195223240523,51.2891005950812,86.61675196821723,75.0
18,-11.991254844807436,63.003861072971155,84.74846214302713,75.0
19,-19.400879239313976,30.631241849952094,73.05582380664403,75.0
20,-18.547165553509128,47.41094489141521,63.638037830299865,75.0
21,-11.517613618032087,68.91309103432248,61.134979682060965,75.0
22,-1.9062880007034861,34.74241571020139,51.997479092978814,75.0
23,-13.704571554905051,48.94642977126237,108.03671429031215,75.0
24,-24.669328056682055,44.49379838792349,76.13388232373846,75.0
25,-13.555086309346045,60.05086615305732,90.59596635819082,75.0
26,-28.809751595382366,40.79993295062076,67.71711398177986,75.0
27,8.53574773301241,46.416682531925744,71.91077258004076,75.0
28,-29.156385750711966,39.48216830453625,72.36005912390483,75.0
29,-19.78422460409643,62.40122704929202,75.54179413675223,75.0
30,-18.01466649874122,33.3542050406337,54.372698330909536,75.0
31,-13.732019905398607,40.576158504059606,63.45034688888823,75.0
32,-25.10864445357043,49.60874226656792,81.02771802629398,75.0
33,-27.164068825039266,48.738253824565426,69.75537081320003,75.0
34,-32.31006628363521,41.95463514458254,47.66533777663301,75.0
35,-25.741276312463636,58.16648108061336,53.69126491866573,75.0
36,-17.464862298279503,58.191265325289315,66.8655059823546,75.0
37,-28.98345029892524,50.31952439848693,66.83164775296797,75.0
38,-23.417206607748586,67.15061615870388,67.33614295478525,75.0
39,-3.019414758669427,29.516725496942573,83.60851300700054,75.0
40,-7.622994033310208,59.97392557041031,78.33975790923374,75.0
41,-18.893033961145456,41.34520482603583,75.18500501036216,75.0
42,6.254257438353348,58.8000097307948,79.36610284187884,75.0
43,-26.211629768958172,55.757218655087016,69.19889115173866,75.0
44,-8.424254381931375,42.71761464791815,82.35806935934899,75.0
