unit_id,CapacityRetention,CoulombicEfficiency,AmbientHumidityBatt,PackVoltage,do_ChargeRate,do_set_ElectrolyteFillVolume,do_DryRoomControl
0,15.235653641712215,3.8351043591641645,62.72002650901933,56.944321882094705,0.3,50.0,50.0
1,37.19663332835504,16.98675268815496,58.85947981488705,91.87283615361551,0.3,50.0,50.0
2,20.101090892228633,12.528921683411411,63.43280483508581,72.8347246312127,0.3,50.0,50.0
3,23.933019862817574,28.214784355625138,33.667783768014246,67.75507993242823,0.3,50.0,50.0
4,17.63792465686025,1.9680285804509356,38.57054113547188,51.712601575397954,0.3,50.0,50.0
5,14.199543686655595,1.900926894187938,26.28904741965684,52.5750712154192,0.3,50.0,50.0
6,22.491938892622194,27.30257185499305,57.981604670805424,64.34082042721265,0.3,50.0,50.0
7,37.80733195020821,5.671167149319324,70.28942088083315,86.8544510015784,0.3,50.0,50.0
8,24.116325628614277,3.719026022664603,66.2696669645298,65.99770038508686,0.3,50.0,50.0
9,17.840239025344836,-2.471054922203745,53.11867874888033,60.62425815552974,0.3,50.0,50.0
10,23.51472700929297,3.261940586305914,52.90527246254931,76.90445009901418,0.3,50.0,50.0
11,30.72674847741002,5.657714639504194,56.67439574289047,88.00447530653844,0.3,50.0,50.0
12,22.741772617332533,-4.5377193233851205,50.803366400474765,67.75491842516152,0.3,50.0,50.0
13,26.75974278179817,7.2906691849550365,54.7986104990389,78.53691625328622,0.3,50.0,50.0
14,26.282735849590225,6.4978754318507725,52.64931936489124,76.89552690839642,0.3,50.0,50.0
15,19.03137863873153,-1.873940946380456,45.23322917981341,62.92278870936201,0.3,50.0,50.0
16,19.439363656633564,21.03284704996051,46.85891540901444,59.35744508441651,0.3,50.0,50.0
17,29.396618978381067,26.098100430361683,57.777232888132716,79.48795688743357,0.3,50.0,50.0
18,25.747330910138004,24.85770596792871,54.890739431179206,76.42025420949246,0.3,50.0,50.0
19,21.84521714221965,14.760772618974062,39.1191155976524,73.17855879728536,0.3,50.0,50.0
20,28.986797740331454,12.552547455139374,41.07110164544646,75.56681525129113,0.3,50.0,50.0
21,22.931205682767573,13.075746799332046,55.876334431621416,58.26839690760643,0.3,50.0,50.0
22,25.64697598033411,12.340637902752931,41.16766508671653,74.12993735077482,0.3,50.0,50.0
23,26.02348401259774,12.541625095449863,38.06916943743938,64.9847020380002,0.3,50.0,50.0
24,35.42136726139735,16.916460883021212,56.57527885187491,94.4949447307212,0.3,50.0,50.0
25,30.29546214563353,4.684701284776299,60.61785076694902,78.53059934207285,0.3,50.0,50.0
26,26.131493767297368,25.200635629946476,47.708005596901195,75.82203200917235,0.3,50.0,50.0
27,33.27173361016223,19.711000969807934,55.99175980863394,90.89099462616805,0.3,50.0,50.0
28,16.113334836218502,15.27421435890697,52.12751117652691,58.41811722114323,0.3,50.0,50.0
29,33.21061123270115,4.690933335992511,59.86662771539453,85.23875890976394,0.3,50.0,50.0
30,36.07025958184405,3.0778308072606837,60.036912864563945,91.94274516305715,0.3,50.0,50.0
31,32.825876450412046,8.109672155532602,51.28720287308409,87.9126673645299,0.3,50.0,50.0
32,30.7158770923664,-3.011493602087496,45.50778647649366,80.92153979744796,0.3,50.0,50.0
33,17.203351421317915,28.980260613096313,46.36606572286368,66.36668432572891,0.3,50.0,50.0
34,20.348797839271437,18.561488451256086,49.021231600305285,72.39304830051927,0.3,50.0,50.0
35,30.32716684463806,4.668560929631364,56.26252994516974,76.90429255976437,0.3,50.0,50.0
36,34.70470939097089,6.32952824312445,38.10312923150566,89.85156509863377,0.3,50.0,50.0
37,25.4679263054254,16.973568609399813,45.36961139904789,84.46539572497481,0.3,50.0,50.0
38,26.135846958775982,22.59875286604876,33.09911134992747,75.30887866978279,0.3,50.0,50.0
39,31.315093042816237,-5.55482399610818,71.46189787873368,73.1048179816625,0.3,50.0,50.0
40,28.528579923425685,18.188350994098506,52.03936260643154,81.50121655372654,0.3,50.0,50.0
41,34.6503560248687,10.874057534576927,52.404603080794885,84.09801710860518,0.3,50.0,50.0
42,32.16232237614891,22.290498011353215,39.73947726315352,93.23685040812597,0.3,50.0,50.0
43,19.895481434060365,-1.958248463969296,45.73445988779555,66.55651896446456,0.3,50.0,50.0
44,28.916978885479143,14.508582962396565,38.419055687511324,77.71659435626326,0.3,50.0,50.0
45,31.38194051367114,27.170086178676414,41.14733818381476,73.86128673447915,0.3,50.0,50.0
46,35.25502442018458,10.150233693253321,47.511783902423986,82.62114181331873,0.3,50.0,50.0
47,21.852973448974417,-4.1364350314221685,57.91638663202928,72.80953829861262,0.3,50.0,50.0
48,32.946890296196905,-7.829074528948798,49.74516675405667,82.18065751751871,0.3,50.0,50.0
49,25.281231611338768,20.057467978568663,42.67226259507501,67.97896667531859,0.3,50.0,50.0
50,31.719144689777423,23.629375914645962,55.19641568124295,79.56503021314735,0.3,50.0,50.0
51,38.77898259619298,4.3202070860149036,51.29928435005553,97.99137358378167,0.3,50.0,50.0
52,23.547957604777555,-4.0176505859181155,31.6196619766227,66.6890568685005,0.3,50.0,50.0
53,23.261483488743874,16.085943800181532,37.91043139639083,74.45008573044838,0.3,50.0,50.0
54,22.34945839874504,6.195503156790332,66.90359217144014,67.1697572258265,0.3,50.0,50.0
55,26.616290362485877,4.894465427967082,35.94094138016375,75.98928484027289,0.3,50.0,50.0
56,17.392912192849277,17.12935736057336,47.93036223303353,64.52809844022818,0.3,50.0,50.0
57,17.917223774232244,15.295837445117312,55.13688068599564,57.67260226997261,0.3,50.0,50.0
58,18.02318554447666,17.104789111955796,49.47788901036352,69.64954886210971,0.3,50.0,50.0
59,29.221194492367594,1.4766761318772978,61.58548002859733,78.43165230504806,0.3,50.0,50.0
60,30.433090509045435,-9.734630678993664,50.23799073495056,69.507034765701,0.3,50.0,50.0
61,32.78319000705364,12.821570665113004,53.59227256615997,78.69654634765473,0.3,50.0,50.0
62,39.66236251382013,11.908804246735674,64.97218154963731,92.65261775465353,0.3,50.0,50.0
63,31.75497704688237,-8.593515227683607,54.669510632024206,90.4640659430107,0.3,50.0,50.0
64,27.737103920557818,2.5546285752834104,38.648808775016256,80.70709571794924,0.3,50.0,50.0
65,23.498959486488662,10.30929094909158,49.0517487146848,74.98681920120643,0.3,50.0,50.0
66,22.369960430213283,24.583844538978344,21.36360708019486,72.5455897496065,0.3,50.0,50.0
67,32.996756713738165,19.25674429247305,61.2272670827485,85.60095994033509,0.3,50.0,50.0
68,17.865431826729477,3.5190160537781194,54.590297082087545,63.26127834576797,0.3,50.0,50.0
69,8.089127509004872,19.043992690711807,43.056728246064324,51.00417297607104,0.3,50.0,50.0
70,28.421012802365645,7.861607197754325,49.80053650192161,72.29452534737905,0.3,50.0,50.0
71,17.60776621689333,14.30210943454118,43.344269100411424,63.54720426179675,0.3,50.0,50.0
72,14.290045481560554,28.67074401563016,65.32477980844111,56.778988456004775,0.3,50.0,50.0
73,23.783260591462323,18.150842955760012,53.16523789560131,73.81080859088871,0.3,50.0,50.0
74,31.19505172540972,12.523951899487196,61.85906922192924,77.60748353694824,0.3,50.0,50.0
75,34.8678570369752,21.244404049166647,31.045375725900314,87.33243689589446,0.3,50.0,50.0
76,18.847881109617795,19.730374051914755,53.780054336598326,69.60623498459589,0.3,50.0,50.0
77,24.155792864313867,-2.432246848002455,65.3660935142145,77.5787818909183,0.3,50.0,50.0
78,16.81373613841237,-7.958304889159173,39.492643417987516,61.50839090379,0.3,50.0,50.0
79,28.37047002352607,15.432825439646665,62.703432409483945,68.56558437545357,0.3,50.0,50.0
80,16.028540521161077,14.293592606626525,54.57850925003315,62.96229115129171,0.3,50.0,50.0
81,30.56269595293051,15.16237807465708,39.87169468712907,70.69924480055367,0.3,50.0,50.0
82,28.141859335392112,-16.21602153894514,41.50611833873516,76.53267214019716,0.3,50.0,50.0
83,28.223574489415018,-1.3333697862286389,48.26770675019849,74.3040675147219,0.3,50.0,50.0
84,31.16799479239433,17.68823087768383,52.96831554112066,85.20352428015123,0.3,50.0,50.0
85,20.922483238278847,24.83851152618118,42.39793768251912,66.66297416265213,0.3,50.0,50.0
86,41.23953217007655,8.80677385962256,49.52838184530552,98.65633523831639,0.3,50.0,50.0
87,33.26710312265966,-21.60420193894693,45.409486633035556,67.3152600035198,0.3,50.0,50.0
88,14.783721599636834,34.90681031214902,61.17607936945642,58.380638847217774,0.3,50.0,50.0
89,31.87634798327312,1.9301018814322335,59.54691102854624,77.19984228517437,0.3,50.0,50.0
90,18.062259353482006,27.710851259559266,38.712196606099404,63.31130266786292,0.3,50.0,50.0
91,38.29734223025773,18.358367304951088,68.18459311739593,104.40240778972584,0.3,50.0,50.0
