unit_id,CapacityRetention,AmbientHumidityBatt,PackVoltage,do_DryRoomControl
0,24.969225516489534,38.849478694714584,73.86147960710898,25.0
1,17.98637644760871,66.74079432068054,68.26088687798405,25.0
2,21.93455313591232,32.99304571049698,66.95331143958691,25.0
3,27.27474874292368,18.095379300776784,68.27013534501513,25.0
4,18.869168175818608,46.02350075065452,70.19010464375208,25.0
5,6.893031291752035,58.53662690650465,68.68506693079603,25.0
6,24.721844748602198,58.01671372866705,76.12377490902236,25.0
7,18.837287532257587,40.97116865259729,70.23047131807425,25.0
8,23.3559253102742,32.57500964284763,66.32192684396885,25.0
9,28.65584045667711,56.80241633269368,79.65261526528468,25.0
10,18.107497869584186,57.77011548125078,80.37123377146138,25.0
11,25.63781939472083,51.961265578699845,67.36593599515435,25.0
12,30.777757331037492,51.75048554328171,92.7314466639849,25.0
13,17.208280204505417,48.030406935560954,63.73397302360159,25.0
14,25.458040623373662,55.26893634183044,80.1407687606823,25.0
15,18.49246332932226,33.090269515768306,61.718825346874,25.0
16,29.531075974680515,45.698606405834425,80.1057547618002,25.0
17,22.165212007744444,32.57352134771145,63.52650799440406,25.0
18,19.87883372725221,51.801478666277376,63.41609280670464,25.0
19,19.02203211498162,46.89604799369669,63.7597431926835,25.0
20,35.36472976078672,60.903996728048035,96.28516623810795,25.0
21,29.220208126471125,55.663532034249506,84.04386706978961,25.0
22,19.95021133027491,28.08735840396562,66.78820012454113,25.0
23,24.9573266929056,60.68784638957396,71.03022182307706,25.0
24,42.969002171562636,53.621855998453285,101.53545878853186,25.0
25,21.319151217855815,49.50767182575018,67.66673414408658,25.0
26,17.603589252499017,69.65499445258706,73.29849089718482,25.0
27,21.821454666454354,61.939386850267134,74.900220861524,25.0
28,20.656032514927585,44.85191997679819,64.98195113365948,25.0
29,24.200921020236255,58.809052814647444,72.1681521022048,25.0
30,38.17566891152534,55.24409446884724,98.41305191694212,25.0
31,29.19930335713748,45.762194776497296,85.57879425700034,25.0
32,29.0751199348423,61.87890631134235,81.33640802274212,25.0
33,32.32115607666206,44.70129941377029,99.66734281788051,25.0
34,14.91043966807645,46.175171895669294,67.85569946196718,25.0
35,11.616386358634992,56.806811724127826,75.46194842396962,25.0
36,25.99496398132423,48.58635711790121,93.65953381796905,25.0
37,12.510517826111856,66.3975113758408,76.13043869667742,25.0
38,14.680756801484408,73.00738879913885,56.25204367316415,25.0
39,33.64260030174678,31.95197640836372,92.23586492258214,25.0
40,9.387432104642428,44.16504979716883,66.71367330285138,25.0
41,25.95407076740443,46.724970652357655,88.37369855452108,25.0
42,15.62323497775501,42.477809005745755,66.0029010938593,25.0
43,33.67259479902435,35.68299143189173,80.28258404144609,25.0
44,19.210209950398838,56.17131430163765,62.887206964793094,25.0
45,20.77538603996916,51.75198596716546,64.53330641384305,25.0
46,34.769132972715255,58.4168524347474,86.17998649950917,25.0
47,19.880057854115513,57.88629994894995,70.80452404493131,25.0
48,33.22620485666733,60.94535371316134,88.65697143609584,25.0
49,28.106131447098182,51.49704163982655,93.90698651485945,25.0
50,22.74827541913604,50.875494274354054,71.14730780931598,25.0
51,29.910278342395234,43.79758039280958,67.69419600332931,25.0
52,29.363644756141348,73.71168970239893,83.8089843133313,25.0
53,27.105242574026086,48.08735735940043,77.10962925132074,25.0
54,29.916878546544563,59.488343358376504,81.56796225218517,25.0
55,23.789965092045435,49.30546297192047,84.65227249174919,25.0
56,26.02554515358695,50.61765715673892,74.05988153068301,25.0
57,21.156037452866446,52.49189991238131,78.62343944391982,25.0
58,21.24717133277028,54.29471985796853,66.25604100198196,25.0
59,32.57061412229939,40.54510318825913,89.50849934254352,25.0
60,23.482937353466653,39.10950625594966,70.55955948684104,25.0
61,29.764434360118134,62.63218960737349,79.43234052233096,25.0
62,22.732690214291672,38.23967876504053,70.27551029447383,25.0
63,20.691581697795943,35.41414175086999,66.9719707238288,25.0
64,15.710206965338973,46.33691807652043,64.97327599338759,25.0
65,29.353018954424158,63.23112884348988,72.24559424049771,25.0
66,14.59332091083566,53.10918228466364,64.03636302831194,25.0
67,20.089766657935357,65.75785118938893,62.90178433145051,25.0
68,18.419390579038318,45.94440980026301,60.55695429717545,25.0
69,34.718121456661294,60.058914954636464,89.42628715552965,25.0
70,15.394053510260303,63.386505449746934,67.45385464460924,25.0
71,16.61670968834778,45.79775398255843,81.84250500069466,25.0
72,35.51425897466464,50.478089738415974,95.17520896698971,25.0
73,26.971461204041567,50.88733640130338,64.24772450673082,25.0
74,24.686775074947363,73.94233558103436,66.01527030617945,25.0
75,28.174631996265827,46.93856866589922,87.52921574274013,25.0
76,29.270165462135534,36.423093894870334,78.71077690314789,25.0
77,31.118322480231576,40.870884164649055,76.95746076983673,25.0
78,31.390651978698322,69.82681247966397,91.33953196282548,25.0
79,28.15854373713606,53.75620240800229,77.33729141202899,25.0
80,14.18731159504183,40.298650070155354,62.610639228654136,25.0
81,25.488447167718906,58.894508073870085,75.83157767232386,25.0
82,31.23232062141441,66.23459485386539,86.95001299112094,25.0
83,22.796069804307788,45.55978049665082,78.99810587325058,25.0
84,4.440551190358436,46.35905140899985,66.30230672347466,25.0
85,41.560435026310806,35.62548809164852,95.75629894439611,25.0
86,25.25711364354943,51.33012660275626,73.96623778235909,25.0
87,14.213128820539094,59.60554354513669,73.32663127773064,25.0
88,12.168933047183366,48.72969890072015,75.52365520915842,25.0
89,32.92234917967084,30.89687686629177,82.16472007223867,25.0
90,17.703085488873768,65.0560092101719,74.82202481348641,25.0
91,15.643978453040646,35.2829138658483,97.47211593020515,25.0
92,18.434630300278116,59.455232780737354,54.6644072889632,25.0
93,15.59129426094582,60.2931369947995,81.83927929099362,25.0
