unit_id,JobThroughput,RackInletTemp,FanSpeed,PduLoad,CpuClock,DiskIoWait,MemoryUtilization,do_fan_controller
0,32.61380709057165,65.40165306728785,78.67329133212858,61.699154865831076,43.33596436426423,58.74720116563039,29.19924659682789,80.0
1,26.52768238913585,36.768150640698046,80.6059853687708,62.444689845729236,41.371910516128004,33.109337221412765,46.87413567848056,80.0
2,2.823721128558917,65.37842753642508,78.75319768234972,35.30113165294304,51.31582615539202,41.85072020878627,43.35559381194415,80.0
3,12.152229242536858,80.48947250884905,80.29095971847786,39.84624199836473,47.27868817078638,40.08285046272324,62.2749520594762,80.0
4,47.171123105067025,59.2633522976139,78.9262953090828,43.98342857047388,55.25898575401624,60.57518381576963,66.82642975654453,80.0
5,20.28155007061098,67.84374395782714,80.43156775134008,68.13535916738118,44.793425968045895,45.496309755529225,26.969025301942867,80.0
6,12.927749651581932,56.66782754875307,81.24986816036154,51.39400891900365,60.30855865049094,43.5679157129904,50.151575636914586,80.0
7,26.598848034513605,34.92155040535502,79.33475131490601,36.31972404183079,60.05647618484593,40.835783175069366,46.9304187093731,80.0
8,33.17354355834644,49.19435952638203,82.25422711150506,39.43883821307585,63.11454612695524,44.297491282282195,39.56933757924517,80.0
9,6.887953501810939,65.95972411289625,80.67633427568303,37.427412040854655,43.38768690808831,53.424425886623716,58.88942025330807,80.0
10,1.061401746924505,67.60955042337696,78.7311181598528,35.45082711209573,52.920622640837976,50.97636602507531,47.08298300566683,80.0
11,13.729413754113004,50.33931299943539,80.46973787190701,54.05696661664224,45.64994888551655,79.65407136764973,69.33547316173986,80.0
12,28.702899435593988,33.787000568956636,79.33662844045826,61.475894391702305,44.75189095760401,62.07701202462834,60.578075954401854,80.0
13,2.3325321717335337,66.87909157009466,80.2663732777627,53.747400728528675,62.858732048712476,35.44147229087214,58.35925851041543,80.0
14,15.577135918931823,46.551259023585104,79.52154668318106,33.92562556333921,53.57436168166264,56.726912312421355,62.664735371972355,80.0
15,21.228271701355048,53.35130066701509,79.26209590233181,44.945157560960894,43.104703580017926,52.482356327135285,24.816588803193525,80.0
16,33.63227440604148,55.02272590052386,81.09881701887736,30.056402004931197,51.441954283284865,70.90468330046173,59.70419408591552,80.0
17,7.526238424622525,61.95259904346265,78.88422778889664,47.5294806810102,39.139790871766195,61.520547402111134,17.670275040425384,80.0
18,5.138898295504305,67.46908458625003,79.81307138153169,35.349779783479796,50.373236150185555,51.556376762967524,61.32323991041085,80.0
19,20.536740583217323,51.119674774081936,78.29897289812257,48.374551869821325,34.024861827056526,62.8973008384854,57.04907513452112,80.0
20,27.06037136136207,54.76456408920083,80.40223402021229,27.851918585353392,42.00748310560779,61.646323982885654,72.87387109736252,80.0
21,19.321681845266724,52.07380676004147,79.33725460955327,55.69335089126427,39.064532888870055,71.06997516538428,23.79516728179575,80.0
22,9.989470040959835,70.16219439438,80.12081397698832,54.52877132565259,34.593927392433784,35.04230464909021,61.932811436738135,80.0
23,45.62854825722232,32.54233464689564,80.30678143468852,43.154726687663114,29.20798553091798,54.21798552819504,44.461758367564926,80.0
24,8.823718685147547,57.71532488021552,82.4045369100212,51.63863081199878,63.73795109015356,33.746302638765286,56.79740828530368,80.0
25,12.947463116420634,52.79131292728054,81.57361911448258,45.74071811918017,51.2983905699764,37.39943582949801,52.16884043413235,80.0
26,27.037427009597923,58.17044890880472,78.30058461902688,74.63322678690837,48.35728725048663,53.36175059246399,53.49734282019459,80.0
