unit_id,JobThroughput,NetworkTopologyHops,RackInletTemp
0,1.6091017887617696,58.21814715209816,71.53068742580908
1,12.393554372063303,64.31756460593323,51.41855348835777
2,10.002571449283067,55.026215970058225,44.04224675256641
3,-1.4708083140947572,52.59643870725013,66.86610049841799
4,21.984214598265893,46.6920561687009,37.390970925233425
5,14.720776920644782,53.516827266436074,52.894910066382785
6,11.186715871403152,65.19145331460092,55.09133641931177
7,19.08860542178922,47.62970294976863,48.35251269872567
8,11.012036569069709,44.50235586747886,53.55699278595529
9,7.0542187358182415,69.00065410579106,51.63533135239694
10,10.812915621411872,49.127275046207195,45.90727985267537
11,11.44072200458644,45.32518294835229,75.24034691134715
12,14.76835483293656,51.42856580257971,50.77073832294698
13,18.255450048925773,54.67270239090435,49.999710888707
14,3.5035300029729006,26.385868122906786,71.00792323822847
15,13.711437487752733,63.538897927158516,71.72105087299565
16,16.654724862425375,52.700772179569285,69.08112990572678
17,13.48652804919316,41.5634345236521,51.433172659736115
18,32.977412893750866,66.88762135326884,58.80606654428896
19,12.39782333372903,76.52702496929824,49.37132372968239
20,14.610794711192828,68.13998271451767,54.56267436422955
21,11.962352493876192,50.01061703645216,47.90347712079933
22,48.34277056322991,48.65998281721278,62.06237161091221
23,13.265876903654206,41.089285117588204,65.41284952650417
24,11.926183708671957,36.575885628001465,48.02561786030929
25,2.372591626378104,47.044785355446066,51.91336631051182
26,34.93134931802854,66.56723253652737,67.15891001353445
27,16.804305383884014,43.36417718911638,42.44445661140053
28,4.1863789683445365,63.40646638239404,71.72341771528173
29,21.421387271044367,57.38052655061969,33.94901556184853
30,18.82996758216323,55.97328962607759,53.72759209412572
31,35.128716063305205,41.73826219611014,52.637212442655084
32,10.392732297660423,43.56964969101583,53.65050297841282
33,47.078721436361384,41.075241073391815,48.01838033908982
34,34.381503042430005,53.86363360964922,40.17235132643995
35,20.465177908487295,66.72811324759056,36.15248535409114
36,28.24611348034437,51.6473659852474,50.69045495797762
37,29.933033157354345,44.038413961067526,62.53713815163201
38,5.211212174848305,26.274518575664864,65.7195549498692
39,0.38452728881288767,55.27536571995546,79.78368500920745
40,-0.21527906443913736,60.02994563634449,61.86722734140702
41,4.358858245411539,38.022030114660566,70.66335095940859
42,35.14702393217524,51.77306014142009,48.03928616193937
43,17.35680036660254,60.81553992692758,47.286760839605684
44,23.933961851132665,76.40019325905806,48.81647653570249
45,12.026652704092326,31.557583223633152,50.13685242958901
46,29.53519712491047,73.73359854363102,51.59445276094355
47,26.699998518820735,19.42044868300844,53.19720324355939
48,10.319238795660734,55.40522711357469,60.124910420489414
49,29.99216242305001,81.68899474720374,56.5481603784889
50,3.6497458430181675,47.6190061830433,71.61152907630236
51,10.9780795395518,75.00895938520182,61.56659555498225
52,10.432639708646875,26.919047837569703,60.022809867955274
53,41.42195399815427,53.396233585219015,45.55790632112441
54,6.394625247314852,45.55736452066932,57.037504041031674
55,13.283342877025484,58.07351415410717,58.071794479176255
56,9.300559791726487,49.25293618937007,70.96587859503263
57,21.769427147491086,47.36279300837295,56.41573007125379
58,2.8311175965368385,30.732211528919294,64.214293734622
59,23.330069004169072,44.3756540629208,35.20878526520457
