unit_id,JobThroughput,NetworkTopologyHops,RackInletTemp,CpuClock,GpuTemp
0,15.514603697042382,40.8032072705527,45.56812873949394,47.777266045403444,58.47047945106387
1,15.601454539179043,58.40843513741399,45.058063066695944,49.192989528936586,45.17835227476266
2,5.658826574863212,57.645222338782396,78.16857225342027,61.86651606438832,51.55587094470736
3,0.5832651000804892,44.715462320801954,73.74724846609676,56.81700555398731,39.205454604739344
4,33.87741105509455,61.39462374300928,33.69622433388952,57.699047899431,40.042465517137934
5,3.1001089185181367,53.29554605357312,69.20117919169002,56.597508338689785,42.58491139141887
6,20.80518658739183,47.650510341682775,53.141723961422144,49.41527493488636,41.145698434256296
7,16.239554050328138,26.583297297611068,54.25471121031986,55.301403426742745,45.31633689156755
8,10.473842339162877,43.91557479689744,63.00387631982098,55.58160117863494,25.35229475335244
9,17.56373385153431,41.93770539946286,34.25402684437068,57.96990605698779,51.34795253229087
10,25.80930372812659,63.682957956889666,42.132191029771484,51.647364220762235,55.05307113694013
11,14.131797882395926,44.81751482128671,51.37657465945406,57.19581386522976,81.87197440773015
12,17.86087569241582,55.27034813449856,44.68510359748368,48.299784551775275,44.73231579460895
13,25.619197104778603,51.096305919225784,37.21545950225836,53.967045819738246,49.534309304937494
14,3.4467672579372746,48.39860415919737,58.956069411278264,45.39777156408009,48.65465006610233
15,9.676666491121354,45.5932301335487,60.09993762414827,41.64678290609749,53.59036279274058
16,15.94617690487219,44.21406353107948,50.873204870198954,43.344844699696395,42.23870033898399
17,4.221188485330689,54.28095603973493,65.42381943635104,63.05106220256409,63.27297799884152
18,16.102363466758415,44.58418082277915,51.1994403525625,48.72377622722943,60.98585632273417
19,19.531531506445297,43.70603254465784,41.71924968450919,65.12610184456142,47.81141242437616
20,10.221871165354607,77.84412075439727,43.17288364814478,47.62385054691285,56.95585672624511
21,6.617745060237615,51.74665870790996,66.11670333845032,50.911298211750506,52.33627102771807
22,9.859343934039527,50.77544120808149,55.87832654982978,47.32754833042782,52.57378449504264
23,18.506749121704146,42.50917556271054,29.39443757204735,45.62580852498409,47.67520807731053
24,13.64422768315842,38.99077497850511,38.21177899797581,48.7939595141089,51.00441580268549
25,14.530599384341743,56.15559205390358,38.923768779053844,55.310862641042306,57.791070698129005
26,11.152113623586214,29.981445339907083,56.70828114892025,42.018439756842696,49.913040695363925
