unit_id,HarvestBiomass,NitriteLevel,AmmoniaLevel,do_StockingDensity
0,14.23977446137908,71.91556919108082,53.332092091514156,25.0
1,12.033350335834223,63.005291711565874,50.009797281592284,25.0
2,18.45389605674835,62.464121375052386,24.982327454838227,25.0
3,6.705407357492138,66.8438011459594,52.527416361646104,25.0
4,8.592106734996658,64.74387396509914,52.17352088577305,25.0
5,12.90915225087907,66.57564504351556,35.184668016907175,25.0
6,18.436465525791796,65.6377425030433,37.71605590008077,25.0
7,15.627441053257368,78.99287127234658,34.47185690910455,25.0
8,20.798111598090447,70.66856112768528,22.632950299279354,25.0
9,13.515323044465472,75.44268082718202,60.762612176808275,25.0
10,12.463002412442219,74.03705652763459,30.83303981847456,25.0
11,17.685900260784003,98.28822844771558,45.0706982018821,25.0
12,11.551505123174405,73.02799666960064,64.47672310872973,25.0
13,10.178562653554675,79.61755937698483,56.130968055635606,25.0
14,11.480890791314687,78.07998984587621,64.09456446268818,25.0
15,8.061397480516476,79.85369920031904,31.244206312970494,25.0
16,21.446877464831573,108.69347042993634,37.27327428815606,25.0
17,15.477502483326258,81.68851929759802,68.40330326855613,25.0
18,18.255875824098105,86.21954291745851,47.876268929835604,25.0
19,14.66642510289225,85.98222718762207,51.38908067943428,25.0
20,17.691818981851753,80.18403147015853,52.12200923458261,25.0
21,11.267614999435674,86.35805944448634,51.14458326935392,25.0
22,18.26348641721923,73.4716992342687,68.97425467303559,25.0
23,13.775635103154524,73.18032809202563,37.64815961394221,25.0
24,15.068702787428983,72.3288583551107,64.60410742633258,25.0
25,16.179818701763278,78.79969308152675,60.111828713161295,25.0
26,10.18179819548384,67.49868078981842,49.90694838154886,25.0
27,19.18479559052642,86.00321257144047,58.575164629535415,25.0
28,17.443094520711465,78.84140012617453,65.7301570884855,25.0
29,18.86815374183842,95.85352895572684,50.76350712293061,25.0
30,12.444858984240975,59.73056724121071,71.10143007843826,25.0
31,20.846689145576683,105.01329662699325,68.4504683421144,25.0
32,8.227481596191819,59.988710120117226,69.73008410379056,25.0
33,14.716683879852818,72.77036955933043,41.99143313154533,25.0
