unit_id,HarvestBiomass,AmmoniaLevel,NitriteLevel,StockingDensity
0,9.806956761676288,55.02978779989026,88.11596620273696,35.923869416814654
1,15.633610797053391,54.04205799630279,78.77779239863905,39.774967137411984
2,14.22432968904532,58.433709652889455,86.9224881635239,13.230922307156247
3,8.565181278636318,40.88907928434785,70.02518708746179,9.15284333065477
4,17.521126969778383,51.574442077254496,78.51671051043365,44.80816298803032
5,17.447216157157378,69.62378613492596,84.213069478883,41.98302973331458
6,6.137929302569985,36.88093491796551,79.76357914381045,53.83608046212017
7,8.809571691574003,50.98746538456824,77.24529219386811,51.126109557772196
8,16.35653200725597,57.60365547613647,90.95422065324884,47.186334706815046
9,14.141675972497772,54.99653827816981,70.8822534874648,30.94423687580816
10,10.819663478581433,63.87284493025076,64.88306480823576,41.20444951358926
11,-20.720819744162842,56.496268150147785,72.38010965211242,64.08767251475155
12,7.654248227085983,51.07155094554917,64.07502596032633,36.136110171877846
13,13.492695278176795,39.69237201767589,75.5648489421798,51.73949211230691
14,1.546305017530213,62.26484328626465,89.21708615062418,53.51632116065945
15,0.2609228743220191,53.611736006418475,80.95411271529466,55.28833747860763
16,5.533698994560856,49.45544548410185,69.87875990494625,46.91946438986946
17,18.03420192938891,44.0086586776678,82.90002739204458,41.69726598152678
18,12.076140050378553,53.991878057058315,51.62239166063582,21.354676633624972
19,14.51647200197419,55.10853201161083,88.91337328512618,27.253504788156427
20,14.895305680709036,49.78029662431161,80.3135542984737,32.75563608795168
21,10.779557642126218,54.50834748060856,80.2405585275907,42.558789813428895
22,3.539176533817449,20.415226466182855,52.60386315025217,43.932195444395845
23,-1.956504241887873,54.279701794402534,73.28354255622257,53.32477781430487
24,22.957934995824814,57.320907379757365,92.13153517344995,28.43297224791817
25,11.368488799791127,62.047462116861475,85.30837662286847,29.381021009609384
26,-7.776185465770584,45.02597406339309,58.06213692261744,52.043574351048015
27,12.808151794016432,32.45245403751298,67.18791527081922,41.51688886758749
28,18.051096111209922,62.368567774324276,89.69193188926651,42.07140842523745
29,14.040832112185837,56.86149942701407,75.47113305638977,38.22254083247083
30,7.461235235099079,64.60857834012907,75.37763478288066,49.712781811456665
31,7.242926323329581,42.566751629851666,58.072829685962496,48.47263270512434
32,12.483150196676135,26.514500187831644,89.83395907359824,47.32472873069966
33,-15.064002127880894,51.04839453469763,57.43487873600821,70.52159165047969
34,15.826271773303185,49.39968776695678,62.48087667948616,49.13945961381034
35,17.466917395032183,74.64720231902683,84.39084947608686,33.9208999461215
36,12.120341141420077,33.252411173992684,69.27357071350825,43.335909737800584
37,-12.775028081448044,33.313100540470536,68.53886068929049,66.03219189340288
38,15.897313109399272,49.992530000319256,91.27906822990506,27.933313132170674
39,-2.1625514444892397,41.42401602683793,85.13313374597475,51.99143397324415
40,10.891069409785944,39.7314969328863,83.37942604292074,29.970722474761708
41,6.631089365321411,42.55734440475995,62.355419532284245,22.657437983512597
42,11.804779924942466,42.06360487125038,58.805280710496454,36.27938701359423
43,12.838781084502866,34.79330723204675,75.2611177268962,36.947179722517625
44,9.806430819788307,44.879844853188175,72.11717172570097,52.14108681745263
45,16.08422608498832,62.18875299709666,64.37986451962779,36.68635026097038
46,2.473425974650356,51.56742338819649,69.64698197484127,60.018708770531084
47,9.24274200754488,54.517774174319435,61.763191858587646,41.04345050626622
48,1.9680571717089048,43.68386097774368,76.44674041923882,54.02733659691409
49,14.678288207992573,59.71383320241189,69.1178807137023,44.895118628041466
