unit_id,ProductTiter,Temperature,pH,ViableCellDensity
0,-36.316443190688055,54.854963706451414,44.90325997689527,79.4497345392881
1,-38.56482953871703,57.6855751505017,38.72611407812858,81.01880046116398
2,-28.032027853272844,38.658343523907725,39.44195799379743,79.06154958630526
3,-32.28958695015325,57.268094845764246,41.958436677161515,68.65642734538318
4,-15.247682274121727,69.37595123126674,38.91395361800977,85.34207160068182
5,-17.89078918747641,42.7283611735994,69.58207112958594,81.59737534671143
6,-33.633455151440366,33.23077739626732,37.77508609504798,84.57927861564531
7,-28.31582926978075,46.02144089708221,60.12307547397673,76.75414660325416
8,-26.493318379603984,64.34139749321457,60.1286299164502,96.19062550804475
9,-48.661793712599255,56.55676938148437,24.482572905694383,75.59566576512367
10,-25.488790305109255,66.01048715668598,42.53389059026906,76.26476793698849
11,-53.17498115105538,64.3775852982526,32.1227484894224,75.26780805558992
12,-62.24166952546672,49.115481439224,37.09463468417685,70.55293923235412
13,-28.80484468588563,41.11867862035494,60.88403799187388,83.33823056350302
14,-56.115554816736335,67.61772308951217,60.65152088364178,88.56819852062308
15,-37.86663569031504,49.60671136089983,49.921378929218584,77.92611062678276
16,-30.23246772282657,68.57497935136769,33.31895909256959,66.10091050384497
17,6.100235722970995,52.162282312945536,43.23424734387548,81.8283303670165
18,-52.86325906108692,61.67034192178708,40.321688258691196,52.32821590759437
19,-30.647750895572194,53.2666017970598,84.00440006599415,82.49787984800804
20,-49.53116744805827,36.393959951015894,40.66659649750747,73.14524377936048
21,-14.79584268091845,63.702783472570644,45.03796442488845,79.44151446066768
22,-51.24838977928102,27.675318022713675,46.08339303320063,52.94089914654296
23,-22.196895867442205,24.511518772330255,40.12493358079651,73.32691310997724
24,-21.058351662011944,59.14369283697449,55.563035037705035,100.39095308999075
25,-26.569398275676257,45.17697820373551,63.95271335330849,92.05535334535656
26,-45.71842840284968,26.53028300641519,42.15356212194186,54.778250513763226
27,-12.966461053557687,34.23019429482852,65.87443410010958,77.16144341391868
28,-39.363317090989334,50.594497259990284,56.914630291028814,91.38037179766626
29,3.0355609268401533,64.62984635602712,50.7750164168536,74.79313323028245
30,-21.919819790000336,30.753308520619214,53.99942006441258,72.70218859902465
31,-37.05191308653362,25.182046509449716,38.91918121818491,58.73462237214379
32,-39.009811733600934,50.84997868600147,62.696323724033086,88.5097830422205
33,-61.441351812432984,39.77332379045051,35.37509747439804,61.20295824346084
34,-3.511157249990772,36.12508163504067,45.54845670187899,66.28681415296948
35,-15.43344097236087,57.331527364077544,52.870696325305644,83.5927797830581
36,-34.69628068721412,29.29001896548462,63.14163749568916,66.2753652362126
37,-41.19000640100418,48.65554164336591,44.021346586586375,70.7867153874048
38,-25.977942866761154,49.74277761133329,44.414766691157666,87.26644680964031
39,-36.2561791819083,78.89645828037499,55.24922503764039,82.27232796443596
40,-32.751235088528304,36.352775196762956,29.92158749013269,81.7770338555701
41,-47.8054116868259,43.011044477538164,49.12430239202775,62.43815276935518
42,-26.06033916939952,51.88757841760463,57.13521434326313,65.36312494057873
43,-6.457874427529677,63.11264008089682,41.15934466847556,72.4910923565949
44,-19.825562305235067,85.72805810666216,30.84997907793538,73.63642018883813
45,-52.08753466259446,69.43364412875572,49.91655285101393,80.83808004187941
46,-23.621667925272362,56.55740612437478,52.841622224534774,72.65519698130124
47,-30.43971236679491,57.616477568629406,64.29098966211802,64.26535937943135
