unit_id,ProductTiter,Temperature,pH
0,-52.69743648965391,42.220645037619235,62.04651147200038
1,-20.04167757124027,53.29758609428315,47.245039416871684
2,-35.900405800433255,44.70004112815236,61.790891706703235
3,-9.78446512393582,45.329888222657246,43.62078186545784
4,-31.281991331579984,72.53929297229003,43.92994708684157
5,-34.92668975286193,52.128617578947555,43.01271414771236
6,-31.403896688134093,46.24930042348767,69.34362701080964
7,-34.878083018647175,77.08438063874718,42.94030068437077
8,-47.99130673736965,60.80070119155331,48.774238505882906
9,-45.84814104139151,57.236652929123316,53.15854617733092
10,-46.22167376732239,47.12703041019341,36.900376572537255
11,-32.37509038851983,49.784904231277686,50.32781141340348
12,-57.470800243087346,35.42881135869206,54.14976040959274
13,-11.364005426373456,46.02728299685603,44.29871874287726
14,-22.897892284494983,37.1498102678642,56.346902338305746
15,-22.506079295818207,31.33679288038542,60.316378995153464
16,-49.05658366274445,55.68037475323274,38.115089452149704
17,-35.5949884262214,51.2891005950812,33.93249082405334
18,-20.817287567086034,63.003861072971155,61.01192970696539
19,-50.33956615198287,30.631241849952094,41.5730432692159
20,-50.64952162697575,47.41094489141521,70.12371486554007
21,-20.53900155447459,68.91309103432248,28.222063890660074
22,-6.884076011553939,34.74241571020139,64.44628677820127
23,-12.671514527584993,48.94642977126237,41.927650791091814
24,-56.29390354297602,44.49379838792349,42.046689627258694
25,-16.58505363328741,60.05086615305732,44.16458938568674
26,-55.92543980566145,40.79993295062076,31.3679655753529
27,6.31073266413723,46.416682531925744,46.42617931836325
28,-44.21917061765805,39.48216830453625,59.46936561637036
29,-21.535015967306364,62.40122704929202,49.876257279286804
30,-36.40122611504041,33.3542050406337,57.886143905612805
31,-52.714483191266076,40.576158504059606,37.413258844043284
32,-26.09470653034078,49.60874226656792,32.42689786316967
33,-60.30586282665816,48.738253824565426,42.489167888867726
34,-51.98526778573492,41.95463514458254,29.418523918407466
35,-45.69946739379394,58.16648108061336,43.778761873468966
36,-60.40867792237192,58.191265325289315,34.566104716893044
37,-24.714940597417154,50.31952439848693,75.54054522817202
38,-37.24026838847868,67.15061615870388,67.5103128509126
39,-19.409714977506262,29.516725496942573,73.2396990874919
40,-20.135833074945477,59.97392557041031,53.790995607565456
41,-53.62301539024518,41.34520482603583,52.87219440262662
42,-13.772747607570185,58.8000097307948,58.364076088207426
43,-57.65983056779438,55.757218655087016,30.44946163742849
44,-16.397456573082998,42.71761464791815,50.06523259982733
45,-40.20788875550352,61.310990737638676,58.24016956539527
46,-20.806060383832737,55.051754512146765,62.546949613884806
47,-27.453526546428506,52.648003627148704,53.83638967892498
48,-23.259916600207855,67.47285271414283,25.518315296621026
49,-32.10138764492142,48.2342010265593,36.12429815314522
50,-17.405621173010044,52.414632054706026,51.17700294937776
51,-39.63204569326449,64.22468215901704,27.62729017182507
52,-48.33726991166868,51.27885984207046,51.30400162850456
53,-33.574721560736144,59.50242525751263,50.7622419695924
54,-17.180835674289117,56.53671091783839,20.74026067097929
55,-56.84019762310851,55.63811035075262,50.51703517412081
56,-3.330850752641532,28.762283164520614,31.99974967479791
57,-29.145883168228963,50.85475129102626,46.21710496541634
58,-22.30443569891563,66.487868272925,39.060479374275204
59,-44.928960527393315,40.947280073570205,50.451994529698425
60,-13.566316754498356,32.86782734243226,82.42099402026103
61,-51.898924790588616,51.76543727961585,56.035341161977115
62,-35.890246081574155,73.71432428065438,59.34060738478912
63,-47.32468591492441,39.982653714293285,43.01289074063165
64,-24.907124811721328,63.7120422492823,52.10239719578895
65,-47.72524171217316,33.31822627408824,49.88615843015804
66,-27.4889589463234,49.49764458413559,52.04886545048051
67,-37.30523756226335,49.661651637515575,51.31866935390038
68,-20.58826243012108,45.06825341876575,52.58016867741657
69,-29.065506953797012,54.77454866475757,36.19036632890647
70,-48.98059639322678,44.2177175352967,39.40826604596074
71,0.8232415894825724,34.05733299003651,67.08123104423605
72,-47.82188194062629,41.992942940521694,52.439301382375255
73,-36.62692408414186,48.59219627445914,31.01697732992447
74,-41.36272562347043,33.76613740248975,49.608967833046506
75,-17.00571842751104,59.16644178510323,31.9340911306795
76,-29.54901120011341,38.840868561991705,70.07862403781124
77,-38.355515568011306,36.80037226265087,46.97618599648244
78,-26.00627571901483,69.3147547877554,40.64587925640582
79,-35.291755013955594,36.47418401156796,52.45772469144844
80,-33.16704598083536,35.60822899778659,50.61202546440724
81,-42.77325550736999,45.5297923291288,42.348881963468315
82,-29.73235311204148,23.072584143452538,53.74746855550613
83,-43.18949046166266,53.45098781222214,61.33008103878261
84,-3.382446156776634,59.068718961912126,48.49808452420365
85,-45.370288312508784,48.78817929704275,21.472684715379465
86,-25.465779041576916,28.820154002720805,41.13437191122512
87,-12.330020919420313,50.57181180383445,49.35336372859251
