unit_id,JobThroughput,DiskIoWait,do_cooling_setpoint_controller
0,33.40653827376746,50.24237740270617,68.0
1,40.45028138374989,42.07113572261514,68.0
2,33.48017856860091,54.43721402340592,68.0
3,16.956299638476427,52.946306526581864,68.0
4,33.19276306133184,61.85752115424729,68.0
5,17.213771621681637,58.88317022774624,68.0
6,35.203199138671,47.99466226014359,68.0
7,10.26294199691474,84.10241352319538,68.0
8,39.06782172516954,54.639891210174895,68.0
9,14.605608728645876,56.14201840299513,68.0
10,26.458495978376032,55.704390448614944,68.0
11,-4.025924040599521,44.669022084399366,68.0
12,13.600423150423861,37.555254474084926,68.0
13,10.372682571766749,53.48166276591091,68.0
14,10.686336807472438,64.50628411092733,68.0
15,2.3119263241408365,65.90807205303528,68.0
16,3.665740457202351,48.31121042914196,68.0
17,18.145902380547067,52.80393963911538,68.0
18,7.073141963056699,38.82167253106783,68.0
19,23.306299064676047,53.07261411583718,68.0
20,15.501662182154245,49.49377267191513,68.0
21,9.923406717360043,45.69507320271102,68.0
22,26.610359578945758,46.15125941213483,68.0
23,22.45443662744495,56.416243547766484,68.0
24,36.9840619606831,57.9057311046063,68.0
25,17.373111546185804,34.85081094758979,68.0
26,26.747874814419102,53.294578855049444,68.0
27,19.51802368386072,65.21982132742788,68.0
28,22.289349626025622,47.47605003740575,68.0
29,3.7680413299562643,36.12132834264475,68.0
30,38.872905702330904,55.212157043006705,68.0
31,6.624082996858283,60.89759346559346,68.0
32,38.04409276534116,46.24992547781828,68.0
33,3.8705517494750583,50.11700271916665,68.0
34,29.02117924870884,66.40818313659001,68.0
35,36.711360542170695,51.20749737982197,68.0
36,18.87506639761267,58.06200136644924,68.0
37,24.168086161284858,49.03265899179551,68.0
38,56.20595500492161,72.2976408608159,68.0
39,11.656260345531383,43.57727029662444,68.0
40,20.55487385873977,63.544300897322614,68.0
41,23.666235535284407,48.69622849516732,68.0
42,19.94420684040156,58.90658604387601,68.0
43,22.00877513958079,63.103224868156545,68.0
44,10.869770352874863,40.54542336268894,68.0
45,25.304278905513264,35.79812705574228,68.0
46,22.512778838610554,57.21594747440874,68.0
47,12.56437663533301,53.97451175653252,68.0
48,8.457300367753431,38.16700931672455,68.0
49,20.865797859887547,42.25327603021573,68.0
50,27.220478233409562,59.562396433824226,68.0
51,-1.7417559540459866,40.60676759772802,68.0
52,29.848255774203373,39.93752842342601,68.0
53,0.6964699925385858,61.57681140760889,68.0
54,47.02451170923196,19.910291612472758,68.0
55,22.181294434679916,41.04853785444852,68.0
56,18.410880875500478,43.979204510862246,68.0
57,26.841838502440837,46.427439124158106,68.0
58,20.276657198898317,66.06255038987233,68.0
59,30.88195186553283,65.93736520684682,68.0
60,24.66005282829509,34.518451971501,68.0
61,9.029802366984192,35.80042980461429,68.0
62,16.388566403120343,53.57263921724309,68.0
63,15.12424482970556,48.5603479662158,68.0
64,3.4085767735517445,52.84430107933632,68.0
65,19.3047322726257,65.00563172355619,68.0
66,14.650739759350337,55.14389599970853,68.0
67,34.67806410303382,57.2792266651977,68.0
68,34.6466307060319,53.66728047647089,68.0
69,20.7310626370557,66.50636586489811,68.0
70,27.705890914673734,66.88832479368736,68.0
71,29.250313691965957,57.126994185276025,68.0
72,53.248873777839435,30.293552659643243,68.0
73,3.681495672028433,68.15555035966631,68.0
