unit_id,JobThroughput,RackInletTemp,DiskIoWait,do_cooling_setpoint_controller
0,2.729396936118698,53.30094639136921,70.80466487702392,40.0
1,5.4782780222215175,68.2956946527429,57.607601066808726,40.0
2,10.265554984852315,61.86352120526235,56.459196689964344,40.0
3,10.538686686936085,52.929305199726095,32.225099007447945,40.0
4,3.6479935862212596,60.47369920925272,44.660019493999464,40.0
5,8.97988128907468,67.98883792151193,18.70437313485655,40.0
6,-1.5721573104111581,61.62002851218983,60.60738084673781,40.0
7,-5.349075402791055,84.84051312747732,41.22893321110634,40.0
8,19.2100454304296,51.89755708258377,63.4775670993384,40.0
9,2.7160438315668802,54.77315762035271,45.28693232670657,40.0
10,-0.2659651658950628,63.50073261425461,52.364213583678726,40.0
11,16.068191559997583,60.87891719469439,70.21379689631354,40.0
12,2.6481185419705,59.82236204071723,40.40018202138898,40.0
13,39.18363923746233,54.00300958785653,54.96553010353442,40.0
14,1.6894443212784989,54.72555673310744,47.647780455793814,40.0
15,14.830009354211594,50.679195216665605,39.43841964254823,40.0
16,4.851009801778577,56.53396925011056,39.76628926325256,40.0
17,19.506441779345586,35.25004596396163,42.42874841482282,40.0
18,7.88024798367486,62.67101807923134,33.705832858468455,40.0
19,12.919507020720303,38.727761780547716,26.215710851576265,40.0
20,6.078055951510377,50.57166464335942,27.109863285851667,40.0
21,5.33457846477181,60.07538324012623,63.23036079652605,40.0
22,17.409580982661343,43.30883971810809,46.583310600822614,40.0
23,15.315019563173616,57.618458439913326,30.192720454147366,40.0
24,10.203334490294793,49.8501724431145,33.960897291087775,40.0
25,1.3031657203677627,69.06272693692071,51.6772977793044,40.0
26,9.876040937752999,40.18529597347931,61.38191317160583,40.0
27,-1.3655316819234173,79.20037941929765,58.355648052898474,40.0
28,7.256206155601777,57.50955855721051,71.66780251473146,40.0
29,2.7706264352736447,74.0119642336312,57.30667882926257,40.0
30,8.728821357657514,41.07713635592323,55.578366570784084,40.0
31,0.8998448843650612,55.998886960451294,35.458622021742094,40.0
32,3.965392756889111,57.499685148302916,36.9333529394338,40.0
33,3.1032656636480738,47.243825754838525,62.56188340248133,40.0
34,-0.37360863791122956,63.96978218996011,54.0425353012762,40.0
35,5.928665733820354,58.883672391490784,65.55733824965486,40.0
36,8.404495433404739,38.55497865746002,49.8742654457984,40.0
37,1.5200198380926604,55.74958707544744,48.83294253164492,40.0
38,15.851569329993842,59.97506205473512,57.90137213891191,40.0
39,11.481293650318854,38.86037342775261,48.43505138790622,40.0
40,-0.5068830716996224,64.93319286917722,42.79887911497555,40.0
41,-7.460201386639863,63.87663357817454,70.84342528082253,40.0
42,19.428718297215866,36.53317520714721,52.79569303779935,40.0
43,20.48740165913161,31.233041760522774,32.060637151359266,40.0
44,16.2459253584899,58.79105008825518,41.03165916709262,40.0
45,23.064188391901116,48.4454944009054,31.61393250601427,40.0
46,1.3374646760723339,57.893575209419595,46.24085156438599,40.0
47,18.47805096427814,42.15729340952208,66.56922090282453,40.0
48,11.391208098897813,36.8804117199764,48.174266818216374,40.0
