unit_id,PARLight,NitrogenPPM
0,50.8518536677168,54.748215807556356
1,50.2087929509627,40.679106157801954
2,34.16229005748894,58.16545223626577
3,50.20614273514493,36.111545013459775
4,39.933440611070466,41.79867490609726
5,45.524780346100975,47.953318819247656
6,49.2445010082751,66.3201755671644
7,40.73853948253061,44.418392739635834
8,40.02799017532183,42.49794332386422
9,60.31873944196278,55.25786438395514
10,48.39024415305226,35.067458995911906
11,60.58331902090007,45.192416790482305
12,43.61011041303459,52.722033198436485
13,31.714627834140277,39.602151345686785
14,64.85345918081,53.65603844157523
15,40.416774270572986,60.70462497107414
16,49.25790643285296,41.122073435163706
17,49.95544745868376,27.37927063032793
18,66.40380415335083,68.27049391431837
19,57.878954659929384,38.829868206180464
20,55.40599297966359,72.99411390808702
21,46.09603497804203,34.88856115069216
22,37.32784174756657,59.116397316400956
23,21.49848390228218,42.585255340371994
24,33.202104261532845,45.70509346120133
25,47.81825673681427,43.83250175831273
26,64.45758262260006,37.27155793129303
27,43.429098227054276,47.815168934432165
28,54.74791760112024,61.203132007285774
29,49.80641743106828,53.71408406613243
30,34.95414026451429,60.201980310632244
31,59.21947986823382,38.40975586477541
32,62.10481389558571,33.04606509483365
33,38.79596874356761,38.48804362387532
34,46.52694952004682,24.53595337820216
35,60.26270094313604,42.162472014856654
36,51.238337981785044,32.24070133118786
37,39.497779400776786,74.97552494143268
38,52.33356567436071,68.35459599247268
39,66.00649186923134,68.09441458748302
40,43.57271680095447,49.878874958093725
41,65.98082959783439,52.053799289724246
42,42.38694367079324,66.65826848443945
43,39.8820600224093,31.482473123130042
44,46.665550744893665,53.66981041724232
45,45.691335662414026,55.824588517762265
46,49.26108212097237,60.49179748665974
47,29.524074268524156,57.13448249537461
48,31.502588074686912,22.560170530484164
49,57.44238417072193,49.47545370766825
50,68.51634676511804,51.571415893178006
51,57.41832428823283,26.078550178317617
52,48.522907004926886,59.99524590660773
53,75.69519787906736,48.83700433699276
54,50.40180256257937,20.72127364459732
55,52.83247503215924,60.066085345147556
56,19.342731530567114,30.63294604793661
57,31.185933564249915,39.39733577445091
58,45.978602332249054,34.997550908090524
59,54.97219748090148,53.864098819241995
60,35.56430286371203,85.78767506649201
61,46.559593777386155,52.42667843647312
62,35.41755780568347,58.860616638717495
63,50.59037594549291,40.325246046229324
64,61.125546962487164,44.488397804064284
65,35.68264494535894,56.226849710935625
66,33.77676450922863,50.38366682741257
67,23.18002089018324,48.39341372625624
68,64.51439151498315,53.29178224951834
69,63.35247039319882,36.19752752959137
70,35.1278758061161,41.84806864217773
71,72.68319547503302,68.69222305125396
72,58.00355668393094,47.19152236807662
73,53.18919402920866,33.2937060293712
74,57.85440174091878,38.11021952119013
75,30.581773349004244,35.62282997207553
76,36.7365178436672,66.26208729592412
77,41.4972166645004,37.95691593673949
78,28.669432335492512,41.487654387368714
79,64.90922653919255,52.541717460783936
80,43.34587036635698,49.779267844032226
