unit_id,CropYield,NitrogenPPM,PotassiumPPM,do_iron_fertigation
0,22.40955310640612,47.464011028527466,52.784830535078136,80.0
1,22.652161306085844,41.72237161946326,30.00568356383984,80.0
2,24.055789963922457,46.758939891224394,53.62468002752853,80.0
3,23.610131327328375,57.91288283110501,50.443935062853,80.0
4,21.779544283255667,63.482905351881975,67.21649929535488,80.0
5,30.463378040294433,39.10671382190301,34.925871674711445,80.0
6,20.404176852376963,40.79544582211762,55.46965599836811,80.0
7,23.061216827152634,60.427773926732904,74.9397903236058,80.0
8,24.383942650994722,55.70669153534476,58.063952027172675,80.0
9,20.111230580249526,40.60806344531731,40.354959409310254,80.0
10,23.667942121847663,49.359944778456246,37.56627856745808,80.0
11,27.7856615393568,31.007822323990577,41.80444242203961,80.0
12,19.196009396825833,67.03205038683902,52.70950279957447,80.0
13,24.281667049583614,47.647035266962064,61.08819948999499,80.0
14,19.19930746561291,18.396396865489663,35.27514487782088,80.0
15,21.448202435482067,35.42146970664289,51.66416956998582,80.0
16,22.973726205538743,31.619437271380434,41.426339517385024,80.0
17,18.11316764583136,37.70147581817485,49.74201962958791,80.0
18,20.481012275247764,51.40129117537806,35.74121616886352,80.0
19,14.245822717760284,57.132581925920974,49.799305682388265,80.0
20,23.066324555461126,34.94458158557954,60.199852377201644,80.0
21,23.433775430000207,69.10867438650354,43.436591133468944,80.0
22,19.837113338240414,31.402777527239426,52.03452929075072,80.0
23,22.995034161502755,36.163917290061185,48.317709205365006,80.0
24,24.94000784461046,48.81335009879797,58.29669641853605,80.0
25,20.972029990147114,39.11688941761978,46.75443752114844,80.0
26,17.41107838399653,52.728366029470294,39.115646393460985,80.0
27,21.50135909084585,48.16231002871227,34.48932650075553,80.0
28,20.635615448247858,40.997124680741585,45.301369944024884,80.0
29,25.761888050167297,46.46855172329771,39.76586862231552,80.0
30,20.366963685297375,39.21270612026629,59.16135353152318,80.0
31,23.84299940261415,48.36463819185093,45.862706344345646,80.0
32,19.91183663627403,59.155983086311615,54.051960005480744,80.0
33,16.31628805246762,50.8695511499585,49.02397809961545,80.0
34,19.97636312977393,71.9638093233302,45.86987699865947,80.0
35,20.226857391890633,31.94637926113706,59.17759295941178,80.0
36,18.906409906755975,38.57057187635862,47.33408394216168,80.0
37,23.16368811728494,21.35643443200999,49.59019145689424,80.0
38,21.298244995104124,52.3003586916567,34.833028317651326,80.0
39,19.846323606092614,62.91374396873399,50.314270589512184,80.0
40,20.095980815566797,50.78976861092186,53.386845087225545,80.0
41,20.181975146680482,72.02736518748412,30.85824679692885,80.0
42,16.659088636899924,42.446257142156924,63.23544668670245,80.0
43,24.82132065042011,64.69240024151115,61.397416210738406,80.0
44,26.788250464968925,23.122182275574254,56.93423915065568,80.0
45,22.396672594762745,53.71306279778117,56.29101604146372,80.0
46,21.73771191321727,58.274700047298175,38.98763964343847,80.0
47,21.04983618076964,54.7050358954455,59.44832458624894,80.0
