unit_id,CropYield,PotassiumPPM,do_iron_fertigation
0,19.91760977492633,59.21685147026785,50.0
1,21.16552649811499,52.13427903637703,50.0
2,17.149031820697125,47.59257412307548,50.0
3,25.681501742904477,50.77376552765425,50.0
4,25.25115189764999,66.81337390369005,50.0
5,21.44227631554363,35.70738019368375,50.0
6,17.154877438344627,66.33352565885681,50.0
7,21.45609302030001,49.65533361247132,50.0
8,22.704114743542576,55.73689219797696,50.0
9,20.16813748011903,38.168552377569505,50.0
10,19.60346632702639,65.1554348956823,50.0
11,20.26145159341636,51.10853200023247,50.0
12,17.198483826609536,60.63448929512575,50.0
13,20.98678801447613,44.52546790054733,50.0
14,15.877723476359279,61.027875652572156,50.0
15,18.734860377931348,35.46967641957259,50.0
16,21.75370332448818,56.90225869838004,50.0
17,19.08438836549276,68.57707825079454,50.0
18,19.088464214325562,85.07981246153653,50.0
19,18.97035229212188,68.42777981252642,50.0
20,24.844716992915895,59.27033416934566,50.0
21,19.510653207261075,47.88761434583523,50.0
22,22.248393400689686,44.69784272177595,50.0
23,23.6803899007342,72.5423109404416,50.0
24,19.278365397425343,52.078798676001966,50.0
25,22.06090149860432,35.41704442099271,50.0
26,22.294470146295335,53.06784050199433,50.0
27,19.825690213053292,47.13501965045832,50.0
28,17.603099514363294,48.98667240827099,50.0
29,19.872352067254454,46.99607565728091,50.0
30,18.68329830297801,24.426346667898866,50.0
31,20.156273002127,64.73606161480919,50.0
32,22.575254697707937,29.861525348973245,50.0
33,14.290321822169378,68.47710557124081,50.0
34,19.94283739141647,48.44703369771487,50.0
35,21.355136133735094,53.83794723788455,50.0
36,20.853491613376264,64.09833837743743,50.0
37,17.20131091813039,44.73351299095017,50.0
38,20.006255504956957,42.82825294291635,50.0
39,24.962219180654557,59.77440471147231,50.0
40,19.263442330973966,39.42951873461388,50.0
41,22.042246738325275,45.8629145451247,50.0
42,17.729063293562795,55.09264560250611,50.0
43,21.89262273350077,56.26154495586195,50.0
44,19.46573072520943,75.62761371809144,50.0
45,23.502677904643097,44.16935281524212,50.0
46,25.26433319750049,67.1439313851482,50.0
47,19.01513389128827,36.04408162817738,50.0
48,21.508291780553105,21.950865794372255,50.0
49,19.825416894062254,45.753622654669755,50.0
50,23.512556020549845,61.204891262284846,50.0
51,21.811681205025202,38.02120764105694,50.0
52,23.367484308373246,38.055459856162706,50.0
53,16.900348206227072,41.11284371271835,50.0
54,19.463584072836802,53.636164212142816,50.0
55,26.403215818009826,38.82089833314912,50.0
56,22.328403288038814,47.25824896050534,50.0
57,25.356490353479412,43.767554481825826,50.0
58,14.773498330609764,48.96814228140932,50.0
59,19.452986981004777,59.13283266180317,50.0
60,28.00147701537449,47.69826902562972,50.0
61,19.22243858405803,70.68965228538369,50.0
62,23.35027615298396,64.04766232087333,50.0
63,17.447322411873646,42.30622092731903,50.0
