unit_id,HarvestBiomass,TankTurbidity,NitriteLevel,do_set_UVSterilizer
0,29.29715013363093,72.28894055322236,60.59586909086062,50.0
1,28.161074198571,74.10916029242972,48.285730639781356,50.0
2,32.30548779086618,84.83366049213703,73.0745164497233,50.0
3,28.220661052796068,77.13525997379426,44.5885660836108,50.0
4,26.059442416680547,91.90776164725085,67.4023697673422,50.0
5,27.012671333316494,75.01897565885139,51.894892040595664,50.0
6,30.231961582175856,62.79849002413914,42.15716642150596,50.0
7,25.18730184524214,72.00191807903221,54.577582360534166,50.0
8,26.468173401350416,67.10181819549943,42.61817605455213,50.0
9,22.089750621340627,68.49722319304547,62.71509528713572,50.0
10,27.962396569325882,70.12098022440293,63.251617273317194,50.0
11,24.816252574295333,81.462314324766,37.21541529258079,50.0
12,25.96755132773,45.33886429664057,62.24706656387339,50.0
13,28.596770204995497,80.74925999079184,37.08572454509536,50.0
14,25.389419642329962,70.37396566996384,37.268716544469335,50.0
15,26.00128490820893,79.66333341389017,52.1130788590804,50.0
16,24.80287165786053,73.7304601362622,47.63144818308715,50.0
17,24.35342419365942,66.33844466651722,57.80384283911623,50.0
18,25.192752928800974,67.76642804891328,46.43188302832531,50.0
19,27.08678603030368,73.6014733010166,40.45924880522923,50.0
20,21.90120312729491,69.99745077275782,50.54615520700458,50.0
21,25.55888701992862,80.94849955375824,54.38359756176798,50.0
22,23.829362910671723,75.55336416193094,43.25527873418673,50.0
23,21.956414249834584,61.42871397270292,58.77072838690926,50.0
24,19.968073394445426,85.27797631365739,60.594567395799004,50.0
25,26.17007395240807,85.94094688504462,59.62009854334952,50.0
26,26.395761020056888,55.766725822458426,63.95588610220702,50.0
27,21.703181748247687,70.98862165534631,61.26815186986895,50.0
28,22.481050374867174,52.67624837034428,65.4485384617212,50.0
29,27.30783859601853,78.28781060866551,28.296994882481577,50.0
30,25.608228000151325,73.9568262857458,64.96441340924828,50.0
31,25.91954854511746,74.67349930198674,24.341464906358894,50.0
32,21.512791423566448,61.023328864866514,45.724057653677555,50.0
33,23.736925369640435,63.626386407244006,48.21263430079268,50.0
34,20.552660506007605,48.47358715166976,55.851593038602935,50.0
35,21.894035832274483,64.9963795087923,58.82844349471362,50.0
36,29.00893306011255,71.12096567215642,67.15833495007396,50.0
37,29.07959543071358,81.62746989392777,56.28374103780153,50.0
38,22.71869720625756,71.92175152514905,55.881399341705894,50.0
39,26.364590608334055,82.61229991149996,55.00430598911247,50.0
40,30.754532412333454,79.70210558693785,36.39637898166809,50.0
41,27.333364901939824,64.35048249237413,36.302335686076944,50.0
42,23.93525709575514,75.192110765566,69.77344511781017,50.0
43,25.34247161338432,72.33941914829975,42.494690433977,50.0
44,30.48554023859208,85.0646376434464,58.14781221973883,50.0
45,22.62764062518625,61.395848545878806,54.602170377805926,50.0
46,27.778896154998765,80.3354346466769,40.522862211929755,50.0
47,20.632671064444835,61.506772428910324,63.66662047231305,50.0
48,27.373067785792394,84.08305332433468,36.6202088621352,50.0
49,25.336739947763405,68.8990205646405,60.445691577098,50.0
50,24.547291129373885,74.1711286394248,71.22627153390516,50.0
51,26.384450916826562,74.98674268638158,49.16218265367998,50.0
52,21.617384655574494,65.19101382526662,67.05052345941235,50.0
53,21.612648836209754,84.89328047340238,57.718423099781084,50.0
54,26.333485493840307,77.80667853251072,54.090081374456034,50.0
55,27.008693161877712,97.55439552085708,61.6040774945202,50.0
56,35.210374360756944,101.16196669361702,50.4654035323418,50.0
57,26.748806042634524,69.21236184586863,61.46332641496353,50.0
58,18.850262863646034,44.21957915019158,43.32809416975186,50.0
59,26.931417961042186,79.81291012814603,54.74262642389113,50.0
60,24.895477449305716,79.29419030896973,66.88487757147854,50.0
61,26.545179409554656,90.84822098864825,64.84965485717035,50.0
62,26.444711007890263,63.9653817469119,28.479277290317775,50.0
63,27.77151849423557,76.96212631374519,51.67564623491107,50.0
64,29.840401122577575,76.76053390720844,45.45415514625472,50.0
65,21.013781453367685,68.59255723566551,58.947776679098695,50.0
66,26.429560040842365,93.00461807657925,46.36227379793235,50.0
67,29.780595657973507,84.36263414903645,59.75690368077979,50.0
68,23.768849199597618,75.92996585160435,43.55404608646032,50.0
69,26.45693641168669,58.81573270875395,50.10649016099586,50.0
70,24.140001265842876,64.54545515738522,45.86377563332721,50.0
71,23.569866046643433,68.52249677798234,39.341909776892194,50.0
72,23.886229379903344,63.63323002253534,38.94987112645435,50.0
73,25.63389105357386,76.750137981829,47.17019560217405,50.0
74,29.860114276876068,87.45943760505652,45.09337758616674,50.0
75,28.629867813685347,90.5938646470365,61.37574836371577,50.0
76,23.688999339186893,73.00904613208078,51.06243812745776,50.0
77,24.723520621370604,70.42898744963426,63.18983292946749,50.0
78,29.3482244952152,77.29785421830204,34.2946964127906,50.0
79,28.107913271703737,87.60967264004717,65.02824192193081,50.0
80,28.273739533316004,56.97317693780532,41.391704222063055,50.0
81,28.129541216091912,76.59729881135394,50.919858357367765,50.0
