unit_id,FlowThroughRate,TankTurbidity,NitriteLevel,HarvestBiomass
0,48.69025985716353,71.91556919108082,41.47267802168993,27.990469462142784
1,42.562869950895625,63.005291711565874,45.002221624607124,21.835155949883358
2,64.66226977315814,62.464121375052386,40.84002482838687,27.634716223902235
3,49.27952001311823,66.8438011459594,50.52987256274973,28.03102815467664
4,57.955820307659536,64.74387396509914,48.70791506987268,21.80431852975904
5,64.02551354335448,66.57564504351556,34.720449745825135,22.816568662436524
6,56.3321236213953,65.6377425030433,36.252617311899854,24.5976648475975
7,85.6903518009378,78.99287127234658,42.49709388560951,23.293485822703577
8,61.86585454524207,70.66856112768528,55.9527972732309,18.676339144556827
9,58.04107219975883,75.44268082718202,55.1267605215462,27.35636740256201
10,52.03898251810268,74.03705652763459,65.06561433634428,18.022976897759513
11,42.807982617217405,98.28822844771558,59.628727983701225,31.186744903600825
12,37.08730893436928,73.02799666960064,28.866869118308813,27.040720698963565
13,47.61838740893209,79.61755937698483,31.522190008590577,23.49764950356616
14,60.39842196624929,78.07998984587621,45.65658466768091,23.408570273462416
15,59.373650080160935,79.85369920031904,47.19758563511918,31.663243362678394
16,42.73353648912428,108.69347042993634,36.772851257270545,20.61275841423105
17,51.41005914729107,81.68851929759802,35.51446152687255,19.425762016217675
18,42.11361859717122,86.21954291745851,34.98602803725115,27.22616804734897
19,46.30410272362044,85.98222718762207,63.809397306326446,30.870513930439408
20,52.65368298572166,80.18403147015853,15.998395038589143,20.34745560606195
21,37.36380086449544,86.35805944448634,28.16802854332254,23.141271074135243
22,52.40603270034932,73.4716992342687,53.3155074454081,29.146540854565686
23,56.260852495087484,73.18032809202563,41.775192394260856,25.01579146958425
24,56.06153997578013,72.3288583551107,54.65348366240858,25.146764906664377
25,35.90665295767247,78.79969308152675,47.95568243153571,23.808026927691458
26,51.0768524542858,67.49868078981842,61.161332741280184,20.326859438837108
27,65.58538451723982,86.00321257144047,38.95349761520868,24.983814987982402
28,49.19903165500074,78.84140012617453,59.384768221036154,30.571612326158117
29,35.684372431398835,95.85352895572684,69.5756136153833,28.542227601794448
30,58.69006907121236,59.73056724121071,54.799947506859056,27.231850944705553
31,54.59113819779003,105.01329662699325,59.108725250540566,31.56778389398776
32,44.41247751863782,59.988710120117226,51.82454418156828,23.31660353521102
33,57.035984581530876,72.77036955933043,34.54256596550271,21.300942200190466
34,70.948551535086,86.30864609288061,39.792198483845205,25.01601104738853
35,55.970965149719106,55.94077396380664,56.80364874202764,24.85707685714267
