unit_id,TankTurbidity,FlowThroughRate
0,70.59946542651664,44.622811643809975
1,74.73369696196195,52.46757338120164
2,64.02966892649927,53.39481223368161
3,70.39917453191023,26.937999625038966
4,72.13605869245315,75.32127473573324
5,78.49875466623277,59.657962980363884
6,84.08487879216587,16.097516277857416
7,70.55776691076788,27.803024082389378
8,67.54665458913048,64.99185787986328
9,69.05841343696144,53.8517891272656
10,50.77837148138268,80.92228698046253
11,73.13542708139188,39.400505184719854
12,76.42230352148175,63.89543336499097
13,81.28187597245459,48.35729535644439
14,77.97517297820858,51.21723411452644
15,90.41341854218733,41.57102678982494
16,67.19359343356375,61.32623124504984
17,70.9971707632203,48.186903511608705
18,74.87272378396628,21.693928820152127
19,79.65218735878439,38.95427144221202
20,80.29293108893482,44.72346631480037
21,70.01003168835771,51.74386420576528
22,81.78413401878886,53.028424395712996
23,87.62183345123412,53.67624211488785
24,78.91512842570691,47.91684946450865
25,53.805573186707335,43.03046433961006
26,93.00728932674217,32.26912389331574
27,72.97998714945255,59.995709239665615
28,82.23489773803433,78.00136326861205
29,74.43039402656707,52.25763395676028
30,68.5247937766837,31.74963190718837
31,74.7603111631824,40.2624938647812
32,72.76866368616719,41.029412397879966
33,81.60123515543347,52.63195135016329
34,61.374792006702876,42.275185472970676
35,74.66312855573663,59.046588906359844
36,76.74167930660576,43.09324801449621
37,83.96116633404459,24.28637393884593
38,49.96514916245526,27.969559423215053
39,84.40469792394236,31.17105201851085
40,75.16328517443725,34.39269406344168
41,63.41559396516804,70.073143517215
42,88.8898569541095,40.585674791296945
43,76.67693944932373,34.709494522346425
44,59.74919336589411,49.4952745367676
45,58.289502079721906,46.375003092314316
46,77.32990569479328,68.57037417201266
47,67.99345588817168,58.3315077333063
48,74.77675380079782,23.569912138725872
49,63.82346817110691,36.43459341972676
50,84.24103960196533,67.64917073746508
51,54.32115026476428,56.703018535837025
52,80.595503282644,63.233575628416375
53,60.67658184175412,54.688975130634375
54,75.10708850585948,53.63194013784449
55,80.99819715931909,41.70964998131622
56,61.60526266611832,56.0362141529154
57,73.60691702553855,66.54494577436155
58,91.46890778671835,49.09992728586621
59,81.25897688788714,58.222296899072276
60,71.82631924772876,41.73126926738865
61,52.14528560482405,45.716337295750705
62,79.29593401965467,41.810443707484964
63,88.02386977558787,43.05634647696688
64,80.82318228318807,54.696412998687656
65,51.22873187883921,54.42953642010827
66,59.895582449649154,12.310210870201935
67,77.8429034402915,40.448374523123846
68,74.4889869089966,35.811939583403756
69,82.3069448546625,59.20514802227661
70,75.60116153652814,43.76885203350495
71,50.38156111947248,41.60853542452381
72,73.30623378344222,52.32841183932025
73,48.070531399310504,55.08400093413356
74,79.54066926466312,50.97677308016703
75,79.98312015647387,52.7055651397533
76,71.1463537946812,53.156888935248524
77,68.05273513225877,34.097352810983544
78,89.11605349870648,45.713983369474285
79,68.667984871076,46.84786836370577
80,77.98788164428152,52.052766816115124
81,79.72157665254717,55.368116201263355
82,90.0091429224737,51.79296284993868
83,73.81179963832368,68.37826633154614
84,68.88832206112828,51.781040240649205
85,69.28969886000057,62.14089697033451
86,74.32700142269066,42.14949106901999
87,76.5466437780801,46.141936384811395
88,50.90918220201142,36.95239770057913
89,63.66671307752782,44.8942328666442
90,46.77474198954003,53.07732110646188
91,80.15675091047783,74.57916616150385
92,98.27965756598238,41.97811886295468
93,67.13427050621844,31.669940465947054
94,80.74669401463977,52.45036323956716
95,89.9480088618119,43.957273521852485
96,59.88617950547316,67.99085783877797
97,82.75424465065878,58.39806276403601
98,80.73408374657485,51.623737629153034
99,56.421824876581866,53.34969523517576
100,70.36298085686664,33.17796953122368
101,96.26760701098667,59.49801704195398
102,72.64768518969588,43.18804744759381
103,64.61011282380571,37.750323064698975
104,69.59184161202062,33.2672759174859
105,76.50435271726086,17.788335374792663
106,77.65096338743894,50.556151002108344
107,94.86337160118394,60.46449114695043
108,82.07712535950247,44.29095808505642
109,70.20430523538282,60.30334757788611
110,73.51267723276065,30.094378901185546
111,62.732715048817646,58.490818526713724
112,56.69082016122946,47.106186802545096
113,87.07892407287657,35.92100078037263
114,87.02928822061445,46.22981774081005
115,76.73593930430884,51.653311352532086
116,89.57060724530949,44.06688769786268
117,71.8780210038421,41.967894161392046
118,100.47680670941412,64.38836537034037
119,64.29214789442078,54.30567732067743
120,58.23900989466652,48.790943361064734
121,78.28153548761021,33.358993274024385
122,65.33730138822709,39.667934355907555
123,61.26539614466125,58.257791737208116
124,76.64995372229227,42.4967352573651
125,67.23255432153333,46.44788053432977
126,88.59792490343978,24.584721490580193
127,86.10130033803942,55.8079255546359
128,58.94553835852538,40.32665087365855
129,75.42105189189421,47.54747722512731
130,79.98461543576903,66.04255167021878
131,93.12944709945718,49.203093473774636
132,76.60141193326972,47.86013640805751
133,75.90735063277987,44.189985141100266
134,63.901772558847,54.401499504906134
135,82.12690544152312,62.158365896115235
136,78.11646751568196,35.149639181064444
137,83.87979553609973,56.44607182896122
138,90.39281902600234,52.380757169277224
139,88.46613197118889,65.41487318740974
140,86.37986479647793,44.880331346672094
141,78.74873960566532,50.346265918509104
142,69.24819310683792,46.84938148254763
143,75.85900525954318,26.46711124460796
144,77.61557562849039,57.794445432219206
145,78.59827401702341,58.379228378943886
146,91.24138701065813,42.76344823694117
147,63.24534662313884,56.35230816438384
148,74.93879910638469,46.58329857522321
