unit_id,NitriteLevel,FeedProteinPct,StockingDensity,HarvestBiomass
0,51.48297024482882,54.748215807556356,20.75693747811092,26.052808314208477
1,64.39555979789161,40.679106157801954,39.32831316724861,28.52345222467946
2,44.71357788933757,58.16545223626577,48.427126869633675,19.822755103990872
3,53.60397553853255,36.111545013459775,31.63257792439349,33.703013398623526
4,60.28009933802663,41.79867490609726,62.25863938055419,23.902991519856833
5,56.5571351420357,47.953318819247656,41.970294930526606,25.411675276886328
6,38.092348009669266,66.3201755671644,60.472228342546885,25.30051647279371
7,61.5007378389212,44.418392739635834,54.41888355705701,30.24255907930959
8,71.27159298967321,42.49794332386422,62.941282179115625,20.045321757460812
9,51.072393161087675,55.25786438395514,31.634556620680478,24.639849421430597
10,48.361788442209324,35.067458995911906,70.00265506208672,26.45849311176965
11,44.08114908656726,45.192416790482305,40.010779722631206,22.0620667842504
12,33.889142298438045,52.722033198436485,30.201984697974797,25.138163408125376
13,29.933703455927393,39.602151345686785,37.458398128320404,29.982230958323957
14,71.75433768093892,53.65603844157523,32.68010871972568,27.336274742931995
15,62.01172805823351,60.70462497107414,24.956981965057015,32.242444365744184
16,51.6722295772048,41.122073435163706,38.05367382819143,21.83740487833657
17,54.4573827434941,27.37927063032793,48.691884462322,31.31034778432652
18,45.665144792720476,68.27049391431837,27.620760715622936,26.059070791906528
19,48.87698432060024,38.829868206180464,64.98040506823088,23.924120392302473
20,52.44775848798523,72.99411390808702,40.83647281684456,23.02622588585795
21,43.381730126085,34.88856115069216,34.468325154515774,23.754165785968063
22,49.675778017380445,59.116397316400956,53.25877590915697,23.18404243684665
23,17.910110887124976,42.585255340371994,61.238921561703584,32.67863895013197
24,44.14698001412045,45.70509346120133,46.02885710315094,21.869706101541574
25,49.84306227941504,43.83250175831273,37.217113690314044,25.19992262308839
26,52.482835034637105,37.27155793129303,11.68618495277656,26.79428012790386
27,43.94769530143218,47.815168934432165,46.68136358364015,27.248755076734362
28,49.591967013449455,61.203132007285774,12.95116991869062,24.81933855335732
29,41.927157282912624,53.71408406613243,45.19846550960153,27.324442294494066
30,65.68004440415979,60.201980310632244,56.478111124694706,20.417839935322686
31,47.61961759526639,38.40975586477541,42.78002741408373,23.755192144401764
32,45.62959284726385,33.04606509483365,49.169258957921336,25.026634005800627
33,61.999121209346285,38.48804362387532,28.913161637074793,22.49171772075825
34,34.05309295305113,24.53595337820216,49.434415252861285,24.72240986870906
35,71.16037769517511,42.162472014856654,27.100130040680444,19.00542753522231
36,50.37333679267107,32.24070133118786,28.555090621844464,26.430930258409976
