unit_id,HarvestBiomass,TankTurbidity,NitriteLevel,WaterTempAqua,FlowThroughRate
0,25.944092144259407,65.2382107374582,59.495478294808734,50.8285130148602,71.75439755670749
1,23.122274911390107,65.49602679519307,36.40554956460441,70.02226286782567,53.85119450714564
2,26.28498859819754,65.23444905989321,51.10430784383505,35.636767145534485,52.83398896236736
3,27.987921554757552,71.7599290454949,22.54200811246157,71.67415103703958,40.85874935993634
4,23.289037195387557,68.16711801326655,37.04611945260415,34.514063164150414,43.75158198209286
5,29.893592112149552,68.22383871592939,58.479942835793935,51.70926404161067,21.984718253731792
6,24.260188803768006,77.28462326614749,53.259800233077236,48.395012753543604,61.42020771423003
7,23.115889654446303,73.28980525911601,60.0168413760613,48.49335763919872,41.69856121658833
8,27.794593019550664,66.04875169570454,41.283135905049164,50.836204890522126,63.378558628805436
9,25.224706570532256,85.43857690734326,26.018585355777933,45.243486181954985,45.82768298197396
10,26.01014944518018,75.23792376532816,52.28978285261578,54.1996151937411,52.07021193809187
11,30.057344348000466,63.23826800057867,52.39506308508571,41.040781950746855,70.97417338240426
12,25.98908433966217,91.87467755690099,41.54384470234781,73.18884444408616,33.684666635654416
13,26.437700680453247,57.645032855868195,39.26988737943819,53.956089234084594,46.46763772091838
14,24.182043911434462,78.89487434987912,65.24785008595484,57.78132919860146,49.53117815730125
15,23.46946832203648,60.24656800714674,50.98428473106317,69.19660650757923,37.918002081362694
16,27.87783036785381,78.59781526711566,38.35647976259248,42.62381897002186,37.81567598418132
17,24.248276153408554,66.45093832776571,49.90630214320065,55.14309807788105,46.49432849466091
18,23.454065019817495,73.06251085251859,63.54468540503727,49.190003604945254,40.20519007535033
19,20.77080065057357,68.00640738703287,45.203701536777444,49.10702590723738,30.46802595283965
20,29.90332123074898,86.7965654176949,75.16724152031011,38.50228360108536,23.615996012427164
21,28.515877628161444,82.98317512959433,37.3326460868638,53.22043896986727,57.75882593059648
22,23.75340339699444,62.953184224397724,48.49136896343639,66.07455410351827,42.09842415685411
23,27.501555132574637,77.6972911884906,38.681440274608185,44.23697219900971,32.571158550219444
24,33.43138760125473,107.83057556091717,34.096788943984436,61.608608824238665,33.63399585244866
25,23.466002411121305,77.69748709745153,31.553983140570537,61.80803582379703,57.43148048977973
26,21.57498022641553,66.73345664794009,49.44715774667564,49.01329747158518,65.33076242944087
27,23.776900779858185,82.7245150971886,49.66002529791996,46.91686636922392,57.20152033184078
28,23.576911865829235,70.37451096795836,56.446829109507846,57.1842978203736,75.90028854524411
29,27.391672931574806,71.52538084057575,53.876602084208095,45.554591890129245,53.557436328964386
30,28.636597329110074,94.07798954855375,68.6563954458555,52.17215186470793,54.231879455430196
31,27.95024939746302,79.78388120680515,49.08681317952878,51.237653364514586,33.08912777073086
32,25.408498306315707,91.074082273196,12.512927197382657,43.71319469472916,44.23312491085836
33,24.81224445118869,96.49711242335458,38.25249269883094,44.24290269273662,60.419083881036165
34,20.91768119689598,66.76813457293588,62.145811337867464,37.735594250075316,55.56959266781532
35,21.834672683637592,72.17231984852108,35.02084639368093,56.108212067635606,56.734022539048695
36,24.34197236691112,82.5154234571938,51.096933613424454,59.27093957627723,43.74542963098782
37,25.294641525992823,71.2218709469142,54.33736586320726,69.79511319486734,50.48498888687377
38,22.152157210501723,59.035332511499874,51.991040310958624,25.15102398559038,59.05815207755909
39,28.204798197129087,89.27932872625782,60.00175121248484,42.50255913602274,39.88706440568151
40,21.021757687609497,74.0955406811855,46.05391107045802,39.46399499410382,44.531918601009
41,24.10874244157151,86.6325176537603,54.06461751957216,39.2192480453539,75.95499712040281
42,20.686611776411326,60.12036852463279,39.79710851935935,30.12953623702721,53.2050930448353
43,31.138303738969523,77.45246333126755,32.270476304877484,51.61233708861626,36.512640445500054
44,28.336446760268444,66.769490051901,25.462843725445055,52.45938566712836,41.540438876552074
45,25.96228444669721,64.32348449245318,64.32927454055032,50.506986266275675,26.319686234920937
46,28.52073132539231,90.23193451513414,49.548493310004524,43.38992437021227,46.817623535900914
47,26.554139517633505,67.64513617109705,50.70129611585759,54.590833793063545,65.91620218135007
48,27.092143018485913,87.5041837821485,57.21560868069731,61.937450166397326,42.33500541680259
49,25.719594243255898,92.49755069799802,42.20643801563067,49.241355211241306,59.578009188379895
