unit_id,LineFlushRate,UVDose
0,33.10920219087859,42.852713981785215
1,54.34151370269971,48.73014234338112
2,45.68006564000751,59.5147983519556
3,44.46208387141119,30.087675268635518
4,63.17138208536699,71.1645084136103
5,40.34513960944518,66.17397102895754
6,48.44992091872996,14.075322223171291
7,63.84865244956817,33.7842407934308
8,60.87658212946493,64.4671764046642
9,48.32754716509692,50.0760466701302
10,27.709810411102957,79.52836470683432
11,37.281680366056605,44.08688451997825
12,50.59231609204823,58.76800431080686
13,41.77145270219064,46.709456589058696
14,40.83165331980943,46.88010245672226
15,25.32785766730008,40.24877972008254
16,46.69509099102095,66.82985594496459
17,62.91259346271338,54.033980228517635
18,17.032138161784133,23.149884878572884
19,40.87322459357248,37.58803826451123
20,30.0764864010013,46.4494650109783
21,52.88507479142504,52.454876756944635
22,23.779775000782134,45.75762789675348
23,39.27796153658249,54.83074394970603
24,50.71065499931985,42.17765002638843
25,36.208752449312314,45.32086617302778
26,32.79525865054872,35.33098201241562
27,35.03087991095731,61.569330600249785
28,45.30474970746781,83.49572779692845
29,39.29972414945553,55.54578484939715
30,21.206251071491568,34.271634038171534
31,58.54551912831626,42.458455787666864
32,42.639708322668035,58.76243360012422
33,33.36029313353203,49.99099133051685
34,43.85865837339899,44.46252813770338
35,39.40110757972947,61.389288249467704
36,35.63979477394091,44.678442747562556
37,46.767744271782185,19.641395734710436
38,58.299878052280015,29.25552640782637
39,35.886185725007344,36.509441845045565
40,53.44872358885335,30.713349889483897
41,12.19035553248395,65.74427585625904
42,32.5127720194765,39.596897434258885
43,52.818753814863555,34.87228721314998
44,33.964287232385544,50.628305188454426
45,17.480521666307727,50.53093362895818
46,48.08988909149657,64.10341640890518
47,25.61745721783276,61.621590557268995
48,39.673675346423785,21.621809707263868
49,22.648826359332524,39.0890601815203
50,44.516713749082804,67.35770973430485
51,51.15658416397735,58.46618837004241
52,33.28124061918062,60.97924605435149
53,3.2522779753553515,50.21012832826661
54,30.45121866527184,55.35752651326038
55,40.67003596587791,41.838615431282925
56,33.19339505649281,59.625444677345975
57,49.22640272243011,68.50766609428591
58,55.262731778611425,47.582411012284055
59,28.410486555364425,59.00083252178328
60,52.56547737573136,43.92115483755012
61,44.0601899005575,53.07324797975599
62,44.70694152942865,38.740305747915265
63,32.0575030988221,42.291680941719235
64,41.08406924506305,53.239834917375774
65,23.669114191467557,54.97085706845949
66,34.147941723499,11.331944716983871
67,42.68017991294447,39.88169728543952
68,29.683805820191104,38.455544502305244
69,59.14071133275237,71.37537578390445
70,28.658654749122764,42.4571817599196
71,46.12760874879076,36.04054000058908
72,51.64688049681553,58.96580833039881
73,51.96434415349454,56.15140999952793
