unit_id,ConversionEfficiency,FeedMoisture,ReactorPressure,do_FeedMoisture
0,18.541472272658687,0.9782178852846979,78.0144405453798,0.0
1,23.57234466759188,-2.402433674376639,63.802526075584765,0.0
2,19.35472454493175,-1.1084346871002015,61.06432843921954,0.0
3,14.53681733720746,2.6554653426153876,58.20744569926507,0.0
4,25.42179635619905,-3.6413454732888657,77.05142364995561,0.0
5,24.6127345066296,1.9408980731359295,65.31901532818495,0.0
6,21.324496346897376,2.394095896545987,77.1733866761124,0.0
7,16.671349589809765,2.4438372970365796,75.90304161471985,0.0
8,25.458348564726304,-2.8392420435770833,84.93371987145561,0.0
9,19.978798557218074,0.6966361549285532,74.68567054245223,0.0
10,20.452401263005793,-0.5176957928593865,68.54039761163708,0.0
11,26.72308693986017,-3.6100176345793153,97.52719132987849,0.0
12,20.743658818197947,-3.63368585416129,75.88451592064973,0.0
13,22.37654962294321,-3.644124340638393,97.41172887951639,0.0
14,22.610114034442397,0.5104956905160434,60.00702673940517,0.0
15,17.669596533886534,-1.0385259884893754,51.207475194040555,0.0
16,22.95649914266198,-0.4115578793778123,68.17806455080472,0.0
17,18.142347212663392,-2.7904509116989686,80.05659137316898,0.0
18,18.832781649131494,4.523038034197189,66.82134547279901,0.0
19,20.492984931802884,-2.427739505355821,62.49116480537134,0.0
20,22.083181112881054,-2.8552218082535026,79.83160906738658,0.0
21,20.37531290347989,-3.8750195596029764,67.30472074472293,0.0
22,16.02714126765635,-1.2655722588952139,83.92466198204201,0.0
23,20.554648416536565,1.8788339771370788,78.1697737517286,0.0
24,23.605369283108725,1.5080090829688273,72.53365331455379,0.0
25,25.654672869219937,-4.223021112976338,86.76538388527747,0.0
26,18.990939157522547,-1.0300733094809136,65.54000364837313,0.0
27,22.143263783362386,-1.9600772490868739,64.6635398090602,0.0
28,24.153272536355665,-3.44408906583954,94.09670830806728,0.0
29,17.399458533708042,-2.1486066654877782,82.47650533698447,0.0
30,24.13180903630892,-6.745016099940114,96.15849759737159,0.0
31,25.58495676254382,-0.9620252774067171,85.15539428206125,0.0
32,24.292386394279802,0.3036541969826039,83.59421111322901,0.0
33,21.460099660090588,9.782431034975096,75.8829097097156,0.0
34,16.84901233092041,0.5118592191901105,74.94540879083462,0.0
35,24.42214981592806,2.9116381034065406,88.42215641216941,0.0
36,26.920451136981704,-1.5342541504820844,65.67991117373404,0.0
37,21.332975918469565,1.2194434273665338,86.97398032784947,0.0
38,18.3226445044089,0.018028683332515963,73.64857901248087,0.0
39,26.440934302887666,-1.0276051633667125,104.12389042512352,0.0
40,23.63523030934292,-4.29504321750788,83.77943768756326,0.0
41,26.195260226142807,2.0367789619348513,54.226450235088436,0.0
42,21.499698483823956,-0.11305348214532177,82.8842714750355,0.0
43,22.2895551502126,1.5991060366446037,69.35751180963508,0.0
44,23.765974660313958,0.08588266030969746,69.54642964988432,0.0
45,27.987536368161248,-4.454226022327383,82.42425179519411,0.0
46,14.625051719875968,1.717989941009704,62.161637085263884,0.0
47,17.518935270306887,-0.05310919470368203,47.0820070778067,0.0
48,22.622092108278917,0.3614587377736236,86.30603535884617,0.0
49,19.831313462103733,-4.864939172571982,67.09773140216156,0.0
50,21.632548828233716,0.13963213354409537,58.52836052289292,0.0
51,15.32394857639471,-2.576957210179997,70.14209252450598,0.0
