unit_id,ConversionEfficiency,PressureDropBed,do_BedHeight
0,56.841169593546695,38.23543834010309,75.0
1,54.01936368272812,73.3875129707511,75.0
2,57.17990886289073,58.95920343751148,75.0
3,-10.117979940162837,27.41772422707185,75.0
4,54.18450584200477,50.50913850117825,75.0
5,-8.138731298383082,45.86686956749825,75.0
6,-13.83648731491427,47.24476053002159,75.0
7,-14.989040240337797,32.40520669233884,75.0
8,58.694433114956134,51.77251078061108,75.0
9,56.125473866191456,81.71073157492035,75.0
10,56.97330532622865,50.22602917922858,75.0
11,-8.04981681719135,45.66208978170853,75.0
12,-12.117760504351395,46.095223320345845,75.0
13,57.3393140018102,56.71732725758849,75.0
14,-13.908225290685655,33.1944955203669,75.0
15,-14.63525213849515,42.54485910481657,75.0
16,58.773868299411355,61.38237894281522,75.0
17,-13.856974743825827,32.57806315837675,75.0
18,54.35424833585806,98.94790854717833,75.0
19,-17.335883423022896,6.2349514156768535,75.0
20,60.805959913019564,53.49848206571182,75.0
21,-9.564793670160324,34.925525510095795,75.0
22,54.65175309262627,60.127481168244394,75.0
23,58.40085961784817,70.77223510988647,75.0
24,64.35431944868527,68.21904952969865,75.0
25,-14.632976680521704,57.70969787228495,75.0
26,52.50750440639932,46.291748086476865,75.0
27,54.6718072723559,91.42038322138467,75.0
28,54.480246785867635,53.135560578045386,75.0
29,58.285450685838825,61.4487404788946,75.0
30,-9.4687802497545,45.197258089627056,75.0
31,-10.132893463383242,32.16032618567504,75.0
32,56.310359410568296,67.17348809389505,75.0
33,-13.242898240533373,51.96326746850043,75.0
34,51.821349044155596,63.469351561457934,75.0
35,-16.248844375243372,25.499858251556756,75.0
36,55.24848881455952,54.991831331249486,75.0
37,-12.732822604826696,11.591629034561059,75.0
38,53.059173860517106,72.47771945842068,75.0
39,-9.842074747863746,41.32269962300492,75.0
40,51.92946151931321,71.90488431365955,75.0
41,-13.973017108887152,28.403342774770024,75.0
42,51.59900448425143,57.67520873596504,75.0
43,-6.959135971240794,36.46412078275889,75.0
44,-9.737991287465993,41.62578799035918,75.0
45,56.8607061616641,69.1662635621913,75.0
46,59.41503859824234,63.48319557794194,75.0
47,57.62888247361278,60.406300803984294,75.0
48,-11.004344201423097,38.350996138310045,75.0
