unit_id,ConversionEfficiency,do_RegenerationCycle
0,16.982175364302407,70.0
1,17.56098754579831,70.0
2,14.907854841669904,70.0
3,7.677125557611608,70.0
4,22.234859711233995,70.0
5,19.731544509434084,70.0
6,19.68470463636756,70.0
7,18.258168992267038,70.0
8,27.293498623134788,70.0
9,19.706979797547923,70.0
10,14.514047249493268,70.0
11,35.86263109996144,70.0
12,21.303422114833133,70.0
13,28.27548292145247,70.0
14,17.21205185451593,70.0
15,9.126866030074925,70.0
16,19.66156938838989,70.0
17,15.537513029697024,70.0
18,14.721640403047765,70.0
19,16.627039390622176,70.0
20,24.03571590795992,70.0
21,15.231215678406592,70.0
22,20.81872028795902,70.0
23,20.91061509387103,70.0
24,22.171031001551317,70.0
25,31.58712225536096,70.0
26,14.401493949652654,70.0
27,17.275936460907232,70.0
28,27.320455313634408,70.0
29,17.096431864236294,70.0
30,32.127868952373845,70.0
31,30.059267249439937,70.0
32,25.924320313899212,70.0
33,20.36808311224033,70.0
34,16.151085187128714,70.0
35,30.3901825663878,70.0
36,22.561125780439248,70.0
37,23.652450344611392,70.0
38,17.692550526319174,70.0
39,37.633460076895524,70.0
40,26.335871535395018,70.0
41,20.66464415840514,70.0
42,22.662675343467242,70.0
43,18.067841479369466,70.0
44,21.178410246134423,70.0
45,28.005580080242613,70.0
46,9.75659207234867,70.0
47,4.296624373799257,70.0
48,28.47993120812039,70.0
49,17.385966287954382,70.0
50,14.500837900243667,70.0
51,10.785023454389336,70.0
52,22.72135932330736,70.0
53,29.422595798306475,70.0
54,31.74647666013642,70.0
55,25.837674020433823,70.0
56,29.21581612305583,70.0
57,22.34749967914607,70.0
58,33.73739654643359,70.0
59,21.98247841316606,70.0
60,21.3317101922032,70.0
61,23.446943204659547,70.0
62,8.263008375164082,70.0
63,29.860289167759404,70.0
64,24.68303717392486,70.0
65,27.308813941475183,70.0
66,30.852608525281635,70.0
67,35.331370324898884,70.0
68,19.00369297540115,70.0
69,24.688124689363956,70.0
70,19.697741810555605,70.0
71,19.5907810453032,70.0
72,30.492739562826042,70.0
73,18.64218263891716,70.0
74,24.398046715203783,70.0
75,23.022901416558422,70.0
76,28.85519023433971,70.0
77,13.81638082520044,70.0
78,32.85058571420676,70.0
79,12.8653472155258,70.0
80,16.731031431652113,70.0
81,13.517591257963542,70.0
82,14.373788307213218,70.0
83,25.816560579500315,70.0
84,22.321662547373638,70.0
85,25.319551916345006,70.0
86,13.043839192364103,70.0
87,24.347024082185353,70.0
88,17.241863407320608,70.0
89,18.930495885937006,70.0
90,17.733378990530376,70.0
91,24.68650537124652,70.0
92,32.29330981853251,70.0
93,10.552337783802637,70.0
94,27.75111346312218,70.0
95,11.492457715648325,70.0
96,20.46198303608621,70.0
97,18.327180878622258,70.0
98,23.983945170499993,70.0
99,26.970356569842014,70.0
100,18.317383402088726,70.0
101,12.936204514487116,70.0
102,29.347599623704646,70.0
103,26.40424929446298,70.0
104,22.697402370560326,70.0
105,15.855838956089634,70.0
106,20.287770924867715,70.0
107,34.16217670180879,70.0
108,20.30047383776096,70.0
109,16.40911693334553,70.0
110,19.67188443063194,70.0
111,30.671645654081914,70.0
112,10.281062533058984,70.0
113,23.70388701575125,70.0
114,10.85198876446131,70.0
115,18.898252176936694,70.0
116,29.91841340211578,70.0
117,24.90529684369019,70.0
118,13.446830177167248,70.0
119,15.236712603885293,70.0
120,22.143795890917488,70.0
121,25.02310701446219,70.0
122,20.57826507793454,70.0
123,27.141894928235118,70.0
124,22.9629557851198,70.0
125,23.21961558236873,70.0
126,19.2490209090049,70.0
127,26.43842039305039,70.0
128,23.322468929426694,70.0
129,12.623265758142026,70.0
130,26.55749747677394,70.0
131,23.219971155167688,70.0
132,22.106797846005907,70.0
133,24.612944489023366,70.0
134,13.11849134097054,70.0
135,16.705212879254248,70.0
136,26.98667228603097,70.0
137,12.511897654497517,70.0
138,5.4169091419729,70.0
139,22.939980399293283,70.0
140,23.32184789553024,70.0
141,28.336285471500826,70.0
142,12.695015718482864,70.0
143,23.79458457611532,70.0
144,31.18309950981093,70.0
145,28.130999417962688,70.0
146,28.952576152342864,70.0
147,23.32690249107909,70.0
148,16.777244284272477,70.0
149,34.925862750925695,70.0
150,31.96711929293774,70.0
151,28.16077989358098,70.0
152,19.738540488871838,70.0
153,17.80975697906845,70.0
154,28.989535837946768,70.0
155,25.647166864333116,70.0
156,17.904567498020974,70.0
157,21.398643694420908,70.0
158,19.385708862793244,70.0
159,37.738213808641206,70.0
160,10.955320997777825,70.0
161,20.947617126874086,70.0
162,14.599890443431184,70.0
163,22.319439852352236,70.0
164,32.049723257588326,70.0
165,20.841627721841117,70.0
166,21.422618779376055,70.0
167,27.500879525216543,70.0
168,25.255740387135138,70.0
169,19.810364948918707,70.0
170,20.008015494338576,70.0
171,18.485573293907272,70.0
172,27.67756451477435,70.0
173,22.320333476994534,70.0
174,16.01776674390795,70.0
175,40.6552802392682,70.0
176,10.938484133071283,70.0
177,27.634187173506742,70.0
178,26.01077889948392,70.0
179,24.962419651135672,70.0
180,27.271543024931816,70.0
