unit_id,ConversionEfficiency,EffluentByproduct,PressureDropBed,RecycleGasPurity,do_RegenerationCycle,do_set_FeedMoisture
0,19.5062297188986,21.519591467966535,46.6772907239124,40.75598104358861,68.0,75.0
1,15.745313141182612,7.022043619925301,60.29802826872564,65.93901190908608,68.0,75.0
2,24.42542982788185,-8.101269632389435,27.655395873966,60.75865396596849,68.0,75.0
3,13.657714588391364,4.531624287043907,65.637363048054,59.823373029806646,68.0,75.0
4,13.152643720485603,23.432636380875653,50.38694235659038,35.659043357635156,68.0,75.0
5,21.111475616219185,-19.905411418657458,43.6150955237936,35.2287663410229,68.0,75.0
6,24.244993454061635,-10.262944532710868,53.573463408663365,53.92824070477309,68.0,75.0
7,26.181942122197444,11.182477450503708,36.452182483901694,62.89541842850812,68.0,75.0
8,26.618369313776636,2.1395826760137986,60.844091586243934,28.983630372431612,68.0,75.0
9,23.09690363760096,-16.615528924006682,48.142918983208716,43.858418593633345,68.0,75.0
10,18.65390767150494,22.50935893280248,59.765453794331506,34.91883760289686,68.0,75.0
11,34.0438086009399,16.974449880116694,64.71095432983856,55.70954398529113,68.0,75.0
12,20.253071429390136,1.740383633901069,37.26379078977142,76.45036190995124,68.0,75.0
13,19.390562930516122,17.339214985141524,59.109035153493465,32.3244342269638,68.0,75.0
14,20.920462670461195,30.615384792452183,32.98770774174751,17.8773065700468,68.0,75.0
15,18.711719593627144,14.439755852936493,27.44082984066765,80.98769243043981,68.0,75.0
16,37.415082003591195,40.190150307540506,54.623773642326604,29.864416582451955,68.0,75.0
17,24.663420730444575,9.615739085383305,44.0276619064708,60.400224945129274,68.0,75.0
18,31.23223403196554,-4.739276759152229,62.20484106278918,65.77541355562907,68.0,75.0
19,22.779555351460026,30.700309754043506,52.67156661677369,73.95275163189676,68.0,75.0
20,27.882348874400016,-0.043218497616868135,33.03094098408489,43.477215680628845,68.0,75.0
21,21.187100907120367,25.731032824035754,48.21610345429237,40.90364125319727,68.0,75.0
22,26.416048911030742,-14.792087444656499,42.63209445467019,58.5127640892928,68.0,75.0
23,21.046138105127792,9.738753602926785,72.1428417816353,51.649036153057835,68.0,75.0
24,19.834295496049535,29.325017457507602,46.289987172667416,34.78057535371481,68.0,75.0
25,25.348032251164447,7.291168385695434,78.3121412690882,59.59201494191738,68.0,75.0
26,15.868860601582847,12.41622452916864,50.874890605718015,51.12906746020834,68.0,75.0
27,29.159814515181026,15.132983712250171,65.07152533220525,38.47745249519452,68.0,75.0
28,26.005470579469193,6.609491751335401,54.421437220512495,75.16279131172301,68.0,75.0
29,33.61749317207465,7.641008616017509,64.10186082466457,55.63961628038024,68.0,75.0
30,16.482064944943893,-0.6650885824486803,44.03700280341596,49.825788719778586,68.0,75.0
31,35.04104433423683,49.49427829112086,68.68817899091978,74.56109280384288,68.0,75.0
32,11.914158838606182,11.530566230125178,70.22826912326249,51.50623759144427,68.0,75.0
33,26.75335356848612,-13.290744759136562,21.988569168296532,41.36325926904134,68.0,75.0
34,33.25803641091363,10.028282341524624,24.652531294778615,42.480891237337495,68.0,75.0
35,14.758461116295054,-17.81304561800105,48.87934214082022,41.952913424741226,68.0,75.0
36,32.58734151352989,19.831081253669016,47.76001783420519,76.24792069767702,68.0,75.0
37,25.705617042553698,-1.797164316535106,54.5800737122335,41.014500340787436,68.0,75.0
38,3.0371218712369927,29.257818176620507,39.44483582591005,34.38780187397555,68.0,75.0
39,15.897771532090605,8.487899412001752,38.18637555762367,61.945341715269855,68.0,75.0
40,23.050257066416872,19.93823568694559,31.439225162745327,39.17611115018926,68.0,75.0
41,21.601844382447116,23.32146858008505,37.461446651679346,42.203078884466876,68.0,75.0
42,25.9961338244548,31.3831155645885,38.00531561356717,37.539566331364036,68.0,75.0
43,16.86215777862066,27.747930997077628,40.37972835473706,50.23667898262277,68.0,75.0
44,25.616427885775646,-5.091447736522824,54.208698226274144,34.95031000552521,68.0,75.0
45,13.106166360303616,6.294068442856142,53.640513966582894,42.861567691299136,68.0,75.0
46,35.33279198786723,9.060065214655495,74.84278810537977,52.805255878675645,68.0,75.0
47,15.23066442631121,37.16153822939664,41.625263988064916,48.30984281692586,68.0,75.0
48,27.408764620865263,-0.34501996144214253,48.73980798657194,56.725359778595724,68.0,75.0
49,23.53045704437143,16.317833570726496,62.85033670230055,60.851962415104616,68.0,75.0
50,18.42456530196505,-3.1703467786241735,61.79007327792366,72.47309108933955,68.0,75.0
51,26.703330721916586,19.148004569975104,43.6010872810497,36.74855683048954,68.0,75.0
52,20.179862250070695,33.61834579432012,42.354140469362854,27.92905427792868,68.0,75.0
53,27.729129095141467,-4.292312633695667,35.950903794370134,77.25827941098645,68.0,75.0
54,22.758995705211074,8.93860267368165,39.189331886031596,39.466106805751885,68.0,75.0
55,13.127691911420055,18.739243478457954,22.202317247160913,50.75145025549638,68.0,75.0
56,25.37580383464662,6.717127676803226,54.2193614736517,37.002985440807684,68.0,75.0
57,16.886361897848573,18.459775368346186,71.07005860593354,55.36845778398684,68.0,75.0
58,18.717091765531297,18.72972224405644,44.30133809636087,26.31221170922453,68.0,75.0
59,17.245699013734992,38.021187470394125,52.836806959930755,60.319637068470556,68.0,75.0
60,18.274264490580773,25.459294363517017,44.879739223813715,33.56780744542207,68.0,75.0
61,26.669230590267244,-11.30918736640114,41.65031083029038,31.89397091819788,68.0,75.0
62,28.228123129220506,15.891664690743045,45.91314457807668,35.609183155788216,68.0,75.0
63,21.87741069663402,24.054629615955427,42.01908751384231,52.38646084806363,68.0,75.0
64,19.56949527430772,6.350542796959866,48.92496853917024,42.20167216598231,68.0,75.0
65,16.206676937659545,-7.053673669792939,41.45554290737838,37.388246594696156,68.0,75.0
66,23.55017590663581,10.497093950573621,18.11691741220953,39.30490788016858,68.0,75.0
67,14.76605473070071,25.325519559076266,38.80470717212422,46.974502410194475,68.0,75.0
68,10.292152172876992,3.3926294295711896,57.876327569860166,63.10987616041864,68.0,75.0
69,26.23569434233878,13.623013625030847,43.50007746496166,28.535872330983228,68.0,75.0
70,21.639074933975,18.22260165714054,64.61743285477036,50.359954840085045,68.0,75.0
71,16.392553126643822,19.997984905506005,53.341192641627856,46.087136704103315,68.0,75.0
72,10.092384404099054,5.606026398760557,45.7320180643045,47.966298420468526,68.0,75.0
73,22.416502921340907,21.860735549406122,31.0333719244986,55.503881793249995,68.0,75.0
74,19.17595446401246,28.46132099242842,44.67587681667067,51.760471385882035,68.0,75.0
75,16.262831346119015,23.162977613407513,53.69468953980779,64.30926029031346,68.0,75.0
76,35.04412502049136,-14.914637803303556,45.68694535228731,55.160382546641756,68.0,75.0
77,29.05389010964351,21.685245436591956,52.436800028766584,66.19477259845658,68.0,75.0
78,25.13561470745049,17.087007355507517,53.63495917969436,65.79842975712188,68.0,75.0
79,26.512563012191954,28.00601284234598,42.82988195071596,41.158640797617934,68.0,75.0
80,23.61439620050163,5.587342471426378,45.864506400534175,45.343732905279445,68.0,75.0
81,23.679953632740173,-13.48407751467876,56.04024036541894,31.58394238081956,68.0,75.0
82,27.28008672615241,9.699878709524745,43.02096613430297,32.839044027878884,68.0,75.0
83,16.02073217478787,5.934500398542013,57.64377892882621,37.1621088104657,68.0,75.0
84,20.953321155775527,-0.25462539059776645,63.352256488776604,38.931207229334156,68.0,75.0
85,9.261029755104152,49.838460903579175,69.67250902413802,41.08725134500145,68.0,75.0
86,26.486703960485723,32.61415739945334,75.82313835268259,48.066284939288046,68.0,75.0
87,10.012931032592055,6.8934778379464,48.33456149363667,37.79106736613415,68.0,75.0
88,17.804029835351553,-3.2093733570756005,42.204001611175066,57.75928004962646,68.0,75.0
89,18.119562815191063,-0.4566693543760252,50.24656506932413,53.19513916135998,68.0,75.0
90,22.661387222451808,-2.328345707182237,59.627901729714374,46.50061992078043,68.0,75.0
91,17.10087924943115,12.662342018374884,49.89574104598553,66.7194457756145,68.0,75.0
92,25.253993122051988,17.52295223802494,59.08754565267167,54.35725635285438,68.0,75.0
93,24.905123223958036,5.254648493833279,39.973683602737104,70.69602395118761,68.0,75.0
94,18.424923681674453,18.39991189856824,72.52326993038066,44.21722946186564,68.0,75.0
95,27.313698739366053,21.921741557393194,64.92056738186201,45.7576089802862,68.0,75.0
96,27.51420166511512,12.464574695373422,35.090839610734456,50.477547109074145,68.0,75.0
97,13.897148224712126,32.31589619080712,58.16156778790377,62.25303577150968,68.0,75.0
98,28.291876628075908,14.023061876825947,49.83412609129342,35.8817554185244,68.0,75.0
99,27.873126332376156,17.69715678681852,58.26352340372939,45.02979275943383,68.0,75.0
100,33.509486227176325,6.131751018161192,44.80802024056072,66.13135164216062,68.0,75.0
101,7.803640075684331,5.835589477390522,50.813199361179926,41.35093819187995,68.0,75.0
