unit_id,ConversionEfficiency,PressureDropBed,EffluentByproduct,RecycleGasPurity
0,-14.825003801789936,42.15901047004297,74.99904006306795,51.27436355915592
1,-6.917524928086265,45.34504438158506,37.69646055509919,49.103883739740006
2,14.433996326815016,37.584114760997025,22.873306339629874,54.395848952775886
3,1.0714489924123143,44.074552649623,21.896149373613227,37.746393505327404
4,7.679978276596673,46.844360486463145,23.985807103142193,48.76305602648724
5,-4.681452549945875,68.88625518316341,51.11514680717624,68.35783148221982
6,-15.043219508001155,38.33952576844108,47.78961748361275,39.92826984844857
7,-11.30952362056604,64.61616014465693,47.61503418423465,46.12602152092759
8,-3.0706118875947888,58.4244184851459,52.548288136152735,63.23517054853771
9,-9.013543627907731,35.78003964595507,11.432120861840552,47.23413074615327
10,-14.670796400561219,45.53252719589694,10.577393975572384,69.41048567118743
11,-21.540225702563824,33.46498462774896,49.949486826099026,57.319805814429344
12,-15.588350266156642,40.659777444626584,33.00076946308897,52.36484313912028
13,-7.683869743179422,59.84650883657997,33.918044891610265,46.559937388962226
14,-14.752940230629719,53.83323610304517,67.83576017398401,68.59646234436042
15,-17.230074360910198,45.28725004601454,75.83065529267623,55.9748633232386
16,-17.832339932868916,36.77716852996355,54.069074029901024,43.163848995881935
17,-4.896565972805762,41.72948794724448,42.196680915085935,44.70964530552776
18,-12.642140737564088,46.952682992137554,28.425125572595164,47.89025150883087
19,6.9513810188507135,82.44864656182531,48.322732693207726,51.852665437941056
20,-5.560218694348709,37.7257120291572,52.914072538576264,47.34494820332697
21,-9.6739850919936,49.05190062285497,41.80278952914256,49.895128232449785
22,-31.026841336321453,41.12132884034699,58.958377757686144,25.63006765625458
23,-19.117577873148594,43.57328600244722,48.2713153570965,50.863877288067826
24,13.318378080584864,57.61059717260569,19.468246339723358,61.46790868226231
25,-1.981653189917604,64.8503563960316,29.06170251882901,66.21005161600445
26,-29.437737778311035,39.891496773610086,61.83637611442014,44.825124605084206
27,-8.217346220927947,71.55216907929902,18.228359825967864,34.25486516564813
28,-7.241897275863062,50.08553543958886,62.727803231653084,70.46399255706405
29,8.679134453158698,51.47607640651505,16.155638817687084,55.65193956777213
30,-14.90430800264684,56.88254577927041,53.84049555093646,59.71886798737924
31,-19.643612650055,36.33427651694488,40.161847519418224,45.648000845727665
32,-6.663893846066233,60.48837635315784,50.72723566010471,27.7293155351736
33,-26.77488169596699,35.28712510182711,43.38518902252863,53.962426537858036
34,-6.600730140407409,53.39295106353013,22.512972733368464,44.409646510418135
35,17.303304821877482,52.35207818922345,23.219440366896695,74.56726818533747
36,-10.9711536481885,58.256380844564234,56.937719510645735,35.88901371714588
37,-24.175080227383845,43.092935663385525,63.101552028962146,35.927402487257126
38,-1.4224860354576534,40.69190735521119,63.392820259888865,50.705923271067164
39,-19.854782574080527,52.89486489534807,74.86583648442593,41.63277183297616
40,-11.256468938047238,29.497964273377793,43.373676772609215,38.95332600912822
41,-19.859701484830726,51.457735124591096,39.24763839803021,40.28596159999981
42,-7.4999465215754935,55.55085053405475,35.97636893198738,48.566351853020464
43,-5.096391735663338,42.75825673917895,41.77233224848163,31.116876133617396
