unit_id,ConversionEfficiency,EffluentByproduct,PressureDropBed,do_RegenerationCycle
0,26.7125526628529,-18.079629708186157,62.04651147200038,50.0
1,21.640312154317602,1.0456468322464918,47.245039416871684,50.0
2,7.363617723477109,8.020312589805291,61.790891706703235,50.0
3,26.14379938813242,-12.814774225852684,43.62078186545784,50.0
4,-0.1738548387339307,48.83209853801995,43.92994708684157,50.0
5,13.995599980976005,42.56463559145622,43.01271414771236,50.0
6,6.497574177756271,26.050788858930815,69.34362701080964,50.0
7,12.30413811631744,27.568180277141998,42.94030068437077,50.0
8,0.2430313705372118,20.78318388341082,48.774238505882906,50.0
9,9.155342777053336,11.199817533283342,53.15854617733092,50.0
10,9.41076907218706,7.2473464560738705,36.900376572537255,50.0
11,8.497174298881662,0.22720176755466426,50.32781141340348,50.0
12,19.78063964560446,10.204902324813428,54.14976040959274,50.0
13,25.459661781996854,-10.807406399498161,44.29871874287726,50.0
14,23.85580016377417,11.768681186914714,56.346902338305746,50.0
15,26.915125984570555,30.632749212210097,60.316378995153464,50.0
16,10.699199795927116,7.112008748129341,38.115089452149704,50.0
17,12.732168750138461,2.992604166045389,33.93249082405334,50.0
18,28.650080951834926,33.23084115939769,61.01192970696539,50.0
19,4.857481430126801,32.36703124290039,41.5730432692159,50.0
20,10.791057152295986,18.88770442174532,70.12371486554007,50.0
21,19.337894768018767,31.00709507855118,28.222063890660074,50.0
22,3.757571033244702,-4.514178430546904,64.44628677820127,50.0
23,22.820574630335976,22.609713191299683,41.927650791091814,50.0
24,7.652872879704446,49.826377442791966,42.046689627258694,50.0
25,26.88076825181161,20.63793552780631,44.16458938568674,50.0
26,14.357711624955709,15.772895786026428,31.3679655753529,50.0
27,24.0148741069576,2.93513551730136,46.42617931836325,50.0
28,13.616171623239204,23.14321559090893,59.46936561637036,50.0
29,13.024203395190739,28.64296043763938,49.876257279286804,50.0
30,2.6746303279808368,28.51703103601051,57.886143905612805,50.0
31,15.588779674082721,20.015478280359314,37.413258844043284,50.0
32,7.682259823956549,38.015426866639174,32.42689786316967,50.0
33,9.13147992454062,7.409286949176838,42.489167888867726,50.0
34,-9.11699080320826,2.874276229295436,29.418523918407466,50.0
35,6.748037238092704,10.660436923223486,43.778761873468966,50.0
36,12.78526309605046,-8.041995726740998,34.566104716893044,50.0
37,-1.7600601494647345,27.416336315574913,75.54054522817202,50.0
38,10.099056593665681,9.09695344291722,67.5103128509126,50.0
39,29.312040208304005,-2.592409969474449,73.2396990874919,50.0
40,22.39815874566912,0.9191660934730432,53.790995607565456,50.0
41,12.33456672548067,40.341395754748696,52.87219440262662,50.0
42,27.420962363859985,39.16434472665857,58.364076088207426,50.0
43,10.444154163495245,19.6874902616702,30.44946163742849,50.0
44,20.98602394107032,29.724378444545405,50.06523259982733,50.0
45,16.46980706184645,13.296209128627762,58.24016956539527,50.0
46,20.55062567815558,14.449897513925954,62.546949613884806,50.0
47,28.676886924613076,16.314040982399398,53.83638967892498,50.0
48,25.620313213443172,21.82124882921642,25.518315296621026,50.0
49,19.529434210527995,56.87210975093668,36.12429815314522,50.0
50,20.576076547061437,16.60124951464794,51.17700294937776,50.0
51,8.364647021640874,15.43574055136323,27.62729017182507,50.0
52,19.49793743281747,24.429787505539544,51.30400162850456,50.0
53,13.419965955795837,6.709871577064977,50.7622419695924,50.0
54,6.866883087868123,34.53357391353114,20.74026067097929,50.0
55,14.40544979803268,56.358741531178374,50.51703517412081,50.0
56,23.342406882875707,14.142470301592521,31.99974967479791,50.0
57,14.198066219106398,-3.146218498597573,46.21710496541634,50.0
58,29.16868653336159,-15.82505680336887,39.060479374275204,50.0
59,18.439924421093806,33.34771332510978,50.451994529698425,50.0
60,12.37139413253907,23.941254767482057,82.42099402026103,50.0
61,7.289298623731444,12.301275333922016,56.035341161977115,50.0
62,15.270923279535658,8.905310017966812,59.34060738478912,50.0
63,-4.274240429511272,6.077349371605589,43.01289074063165,50.0
64,23.46531141627348,1.091503952269628,52.10239719578895,50.0
65,9.229148326768602,38.586259205412,49.88615843015804,50.0
