unit_id,ConversionEfficiency,EffluentByproduct,PressureDropBed,RecycleGasPurity,do_RegenerationCycle
0,11.240630086546794,2.202497223909937,57.304522522921985,37.812025904095385,68.0
1,33.002930402696784,18.968167040494507,51.589703813573784,41.03670160647485,68.0
2,15.922197612169901,13.350512414466712,43.5767021276137,50.96402344221667,68.0
3,19.845307858993092,32.939709556132634,46.554943841176886,45.1174881138232,68.0
4,13.587002166888636,-0.0733079815551907,66.00376258580927,54.4224950711545,68.0
5,10.024369483848279,-0.003451137625166467,38.64651674922923,40.613273750486584,68.0
6,18.28833598129311,31.93768844450242,64.71900423238415,55.48355968071054,68.0
7,33.64712719066253,4.713609035355736,48.877829867638056,60.63980463593666,68.0
8,20.03752778745058,2.1606224722030403,62.785554507276174,64.93157678214232,68.0
9,13.674090686104767,-5.506099368021923,42.85651603537667,38.09731389391314,68.0
10,19.3615172126092,1.678809498690648,63.495872960874095,54.0049335574682,68.0
11,26.55328207466089,4.713163649928512,53.16858666968419,47.50029789735744,68.0
12,18.57699523360857,-8.10364501013067,62.50987134877774,40.521307020761235,68.0
13,22.587963835785718,6.762151592867462,45.65376646832857,69.46715389347438,68.0
14,22.155584992649015,5.7109954380059325,60.51128875763102,52.743766480005036,68.0
15,14.915380619107362,-4.818305060298979,36.47993788207547,39.63082610019486,68.0
16,15.268768108941327,24.02161974091039,56.54566080323656,53.00595046165654,68.0
17,25.201621506706335,30.414130186311194,61.3632406597487,32.02552813372776,68.0
18,21.580464032627606,28.821228702546446,80.5171957288892,51.277636437196676,68.0
19,17.660486643206962,16.161082105473223,62.69564963934666,32.859322393903426,68.0
20,24.901351168213484,13.26426251773971,59.394873245136765,40.887881036619135,68.0
21,18.761536388474312,14.025912232348091,45.192339251464674,25.00241408652048,68.0
22,21.60256179649409,12.947189719909371,44.18434259814977,28.77090888213287,68.0
23,21.816159636727512,13.40173875675098,72.3998143708094,20.779736415162663,68.0
24,31.29614940595085,18.794917590056762,56.06639764732424,70.72962730381688,68.0
25,26.108994895040272,3.507133189521366,40.4859820440749,50.33595009208148,68.0
26,22.031168558154192,29.169419176420774,44.65206668253246,51.231139140621394,68.0
27,29.09758385719917,22.365717046491085,40.252698617928615,33.335229393893364,68.0
28,11.990287147698917,16.729472838205407,45.433273151209875,44.12151014710373,68.0
29,29.021579278581058,3.5181426300070537,46.40255113533817,50.86625652139042,68.0
30,31.85308635226407,1.526907164461889,22.949222694062087,42.25702605311388,68.0
31,28.72175201579943,7.7069359635300625,63.01150526765168,66.37599688227469,68.0
32,26.54897905546605,-6.183990234123309,35.46590145621808,45.978994244182715,68.0
33,13.053523698086316,33.978247677795565,66.60960347548163,34.30257269150372,68.0
34,16.299562269143923,20.766903579340664,45.946786164225344,54.808379559953025,68.0
35,26.127813249390073,3.5028461454975632,50.000343362826776,54.46103279139961,68.0
36,30.62563441924795,5.439901581076606,65.9011342549725,47.14280346140599,68.0
37,21.29372404615008,18.9274155850971,35.81520688519396,71.89369733116882,68.0
38,21.95646616316352,25.99938266585576,39.51185148494107,41.466793171217844,68.0
39,27.199189249386137,-9.441814848834156,64.26461126097051,36.966208518746356,68.0
40,24.334585743391504,20.4778023524145,39.610695032844134,46.37651800791572,68.0
41,30.521220275233446,11.210184794676112,45.532878187898234,62.84586128073212,68.0
42,28.00195514829852,25.58861024924575,52.94827889733439,38.760966323818494,68.0
