unit_id,ConversionEfficiency,EffluentByproduct,ReactorPressure,do_RegenerationCycle
0,14.869085431960873,5.212686125442933,57.072764502378014,75.0
1,26.806962378670107,14.553889211955962,89.5690835895432,75.0
2,11.802860444540931,11.423942522936343,67.20420891155527,75.0
3,19.142086202581087,22.338309249938913,67.31256543408466,75.0
4,18.557548318023866,3.9446927292850216,50.75822607847725,75.0
5,10.093479205222533,3.983614345496722,56.38953850920595,75.0
6,14.26842892886206,21.780020627825383,76.27684560080759,75.0
7,28.118518467193457,6.611783546558396,87.11293239079001,75.0
8,21.605399587954725,5.189355082653071,75.24837102618696,75.0
9,11.679722976065326,0.9177449113431564,65.81695692294886,75.0
10,14.742378611967569,4.9209069452071175,70.3188592908564,75.0
11,21.01752516661159,6.611535394484962,83.38202698131774,75.0
12,17.929539586664255,-0.5295102019254223,68.540298350799,75.0
13,16.760240397601425,7.753154709800122,78.01154745125065,75.0
14,18.704966479576328,7.167489882470248,80.17475369958382,75.0
15,15.243296078067457,1.3009581310042195,63.6733621406166,75.0
16,16.329996581702996,17.36948372616839,63.028176052723445,75.0
17,18.122537813834146,20.931151047331788,78.49567939239213,75.0
18,16.418636573755872,20.043646019531735,76.88928178323663,75.0
19,15.895618700927423,12.989886655184462,62.17212594260709,75.0
20,24.578830906161166,11.375887311881147,74.13128848282926,75.0
21,17.019904335917467,11.800249997224245,67.16705859468516,75.0
22,20.03994080553457,11.199226228241518,75.43794667404835,75.0
23,22.30297832221393,11.452483921633295,63.73818685154688,75.0
24,23.81148902580143,14.457361109060551,101.29980722413106,75.0
25,20.726873884385324,5.939580406558392,83.5572263594916,75.0
26,21.689775431968805,20.23764470642177,66.10924395780994,75.0
27,20.43873423409014,16.446876784167554,83.59632889014364,75.0
28,14.51371239666568,13.306572676383041,58.52099761603046,75.0
29,21.76132316977545,5.945714454322112,83.89756026346598,75.0
30,21.611677814730477,4.83627265568159,88.25362383990837,75.0
31,25.00475655491736,8.27955316425332,83.23940431321284,75.0
32,22.485275637409764,0.5400495183155947,81.04405527022062,75.0
33,11.792464856002645,22.91694378191227,73.73012189271941,75.0
34,16.927009960698335,15.556077820720798,68.72060625204605,75.0
35,21.29420519262861,5.937191826244854,70.86702071896087,75.0
36,25.73741797220612,7.016446542073673,91.1691540969329,75.0
37,16.21817796696308,14.531184027784818,69.58226175309646,75.0
38,19.483530618617017,18.47141912994305,72.99014292511607,75.0
39,24.968997099338743,-1.275088300762281,77.08227215301767,75.0
40,18.095469592505346,15.39500144841827,83.44323307223864,75.0
41,24.2918561169593,10.231432161772021,87.69619970355895,75.0
42,20.232766601901325,18.24255212922852,91.5611692270148,75.0
43,16.66590581276243,1.2395048845189258,62.344894512973184,75.0
44,18.710213038558283,12.819217402325421,73.81340668037957,75.0
45,22.671832873595292,21.65007117378217,81.02311178916224,75.0
46,24.446345051790217,9.738042987089047,84.33068388707066,75.0
