unit_id,CapacityRetention,do_ChargeRate
0,10.51534076658465,10.0
1,26.98945224154793,10.0
2,12.63204316046876,10.0
3,17.1597845249724,10.0
4,15.351763982633779,10.0
5,10.909207575843379,10.0
6,15.790603708492403,10.0
7,27.029441306697642,10.0
8,18.74252098113602,10.0
9,12.130324101666607,10.0
10,14.70728261126206,10.0
11,21.20569752458957,10.0
12,17.150859852836685,10.0
13,17.378858959374934,10.0
14,17.08078070359946,10.0
15,13.656674169822379,10.0
16,16.377585197753287,10.0
17,19.427768998815534,10.0
18,16.704598215092666,10.0
19,16.459433378499053,10.0
20,21.99288556390858,10.0
21,17.02290994920593,10.0
22,16.85651407590545,10.0
23,23.012837771345403,10.0
24,22.433005579369564,10.0
25,21.57362696147761,10.0
26,19.479609661435322,10.0
27,20.98607669477491,10.0
28,12.782900702187812,10.0
29,22.54102374680123,10.0
30,23.789061654399223,10.0
31,22.59200316851352,10.0
32,22.394180325855682,10.0
33,11.1589202578234,10.0
34,13.743763649210699,10.0
35,22.385511472755216,10.0
36,22.941600721805596,10.0
37,16.57529096314756,10.0
38,19.620945737459056,10.0
39,23.27717733672138,10.0
40,19.295157241654465,10.0
41,23.123601971338083,10.0
42,20.071762905321727,10.0
43,15.104398367984956,10.0
44,19.80707929652203,10.0
45,22.21020960755709,10.0
46,24.120076755093123,10.0
47,16.043196966999357,10.0
48,21.43620940146126,10.0
49,19.54192965368277,10.0
50,23.028799584703677,10.0
51,26.37452998166068,10.0
52,17.969422402671835,10.0
53,16.87629158011361,10.0
54,16.346510907993515,10.0
55,19.054260751141832,10.0
56,12.213100712406632,10.0
57,14.954957865407522,10.0
58,11.952823103696057,10.0
59,20.25179671584302,10.0
60,21.37989010657064,10.0
61,21.46686723847041,10.0
62,27.100498487886497,10.0
63,20.273682067387472,10.0
64,18.003711249384263,10.0
65,16.424664420967925,10.0
66,14.924859512240703,10.0
67,21.69825518413316,10.0
68,12.480830944861587,10.0
69,5.995812370626898,10.0
70,20.935195271225435,10.0
71,14.202503222348989,10.0
72,10.670833117089334,10.0
73,14.426279701331005,10.0
74,21.793997276731815,10.0
75,24.662406542932196,10.0
76,14.658638438096498,10.0
77,14.821689071413152,10.0
78,12.709985130298652,10.0
79,22.252297593739762,10.0
80,11.770536874710537,10.0
81,21.721050064403826,10.0
82,20.433202050696078,10.0
83,18.60605218014943,10.0
84,21.389771089869694,10.0
85,17.715710748545487,10.0
86,26.53089775530268,10.0
87,25.957152522434868,10.0
88,13.558197086938845,10.0
89,19.981688602776693,10.0
90,14.39491759341167,10.0
91,24.034953908458913,10.0
92,19.252767005933215,10.0
93,19.671853488400405,10.0
94,23.992703463149596,10.0
95,13.971756573802859,10.0
96,17.32684273352648,10.0
97,17.91666432026646,10.0
98,20.423139420948825,10.0
99,17.37246171955708,10.0
100,24.958455687901807,10.0
101,16.696720783205528,10.0
102,14.896589497589492,10.0
103,8.91555509591932,10.0
104,22.67769448452513,10.0
105,15.929264419927566,10.0
106,29.41753066817863,10.0
107,14.595412528315165,10.0
108,13.33236268364653,10.0
109,17.24853742706915,10.0
110,19.73803693512385,10.0
111,20.80914858767617,10.0
112,13.949432241990468,10.0
113,14.320411240998297,10.0
114,18.88586406188667,10.0
115,23.063359769891512,10.0
116,17.47144011628341,10.0
117,18.575475423040064,10.0
118,19.958939388529718,10.0
119,18.823620228944463,10.0
120,23.90858581973284,10.0
121,12.520721486345657,10.0
122,18.13118490509779,10.0
123,20.199076973178936,10.0
124,26.754211618512524,10.0
125,18.830870654951532,10.0
126,15.180656002841403,10.0
127,15.30627395540651,10.0
128,19.45148402786269,10.0
129,17.09899496499686,10.0
130,20.492023423632357,10.0
131,25.70540064676998,10.0
132,10.830797534570618,10.0
133,16.403306507541327,10.0
134,13.54700774929073,10.0
135,18.361461418866487,10.0
136,14.145348759995375,10.0
137,12.330175882424124,10.0
138,22.75082532157978,10.0
139,18.61193400193572,10.0
140,17.603123939007855,10.0
141,23.822225527087788,10.0
142,10.831778039706787,10.0
143,22.91871771109878,10.0
144,21.32546951732298,10.0
145,21.36528886684446,10.0
146,18.795185932279825,10.0
147,13.596406976829499,10.0
148,17.30148334411929,10.0
149,14.046944423703868,10.0
150,18.344526039936323,10.0
151,16.661517502015503,10.0
152,21.224223565591153,10.0
153,24.64783899378554,10.0
154,25.78014263335068,10.0
155,15.398705255117385,10.0
156,21.921605897711544,10.0
157,10.763116585138164,10.0
158,20.083939489508765,10.0
159,20.729645064675097,10.0
160,13.595419741100477,10.0
161,23.74381163073472,10.0
162,12.116426057692609,10.0
163,22.603649438860167,10.0
164,17.67665034531221,10.0
165,20.547601026302537,10.0
166,26.383580330643472,10.0
167,21.66156959540849,10.0
168,18.944872883088394,10.0
169,17.178685194111125,10.0
170,17.120530965853185,10.0
171,11.736812242538598,10.0
172,17.099614300081416,10.0
173,19.185428785980132,10.0
174,14.286693313826813,10.0
175,8.107870742214633,10.0
176,20.684385824938406,10.0
177,11.844321449476494,10.0
178,17.8903869256995,10.0
179,29.76812264813041,10.0
180,22.952395420729424,10.0
181,17.706746154296948,10.0
182,15.313563303685042,10.0
183,24.67561428467927,10.0
184,10.865622464248442,10.0
185,23.420304873581845,10.0
186,19.10564177277079,10.0
187,23.231532333724733,10.0
188,21.6513893028303,10.0
189,16.14598644284695,10.0
190,23.358563710796286,10.0
191,21.36061194231213,10.0
192,20.889331959633736,10.0
193,16.53955150272904,10.0
194,16.58486305683161,10.0
195,20.321675401789488,10.0
196,21.532952251130403,10.0
197,19.17655292628551,10.0
198,16.839575412767836,10.0
199,17.56601896820826,10.0
200,22.68753388763203,10.0
201,19.8022336133619,10.0
202,27.45979731577453,10.0
203,16.315384200182585,10.0
204,19.992480494394503,10.0
205,17.667745706558648,10.0
206,12.942579813279869,10.0
207,12.334286510925761,10.0
208,17.937475957072657,10.0
209,23.00722500375074,10.0
