unit_id,MemoryUtilization,DiskIoWait,JobQueueDepth,PduLoad
0,50.899052169154885,35.30604255489243,74.2253930393392,47.64391034067124
1,49.42976080828468,65.24264396472148,58.249704719856865,51.29714370308912
2,28.967751135229705,48.51387098989598,52.70177773593207,54.10484524619156
3,46.12679207448774,50.587920303093355,35.677167297747104,23.99460890147317
4,77.55425332524455,57.436697433690696,51.851345112931455,71.82857525686177
5,33.96593155189317,37.585222041878076,72.41540648471444,62.61614036919228
6,48.98721288465213,49.17986403561825,26.249671163330362,11.61525195735153
7,47.256352982644394,31.5019108411148,48.017270258350244,39.79264403147779
8,46.278472711624815,71.2166467697631,55.04583121352168,71.75621867274936
9,56.21514026514849,55.157003066445476,65.03177458696042,51.65940327641327
10,46.11781622109137,61.492980534531895,56.8141491519867,75.0201448722485
11,57.20546282315023,46.65919232300864,59.28451502885179,48.470762320127854
12,47.657705282014575,64.7345685045002,56.60953309903674,67.30404548166736
13,44.0862802432094,54.41455917561631,46.539791709478955,45.08689093869166
14,59.04056003107664,45.27315628220089,35.45856970916687,46.30694521930361
15,66.82627041923965,39.42748548624871,29.64070044354946,37.211618676309755
16,50.67990638580995,26.17736161494682,62.65545241869427,65.02615025064682
17,39.83909888699891,39.66781731967739,48.112358774483724,47.56681975412351
18,76.22080880382153,51.73505158020861,42.72501747988413,27.630520507875655
19,49.86155762433068,46.58950221169712,60.90635143896767,33.39939720245981
20,59.11519923714456,61.25454396715617,68.4567166651669,48.45731675723523
21,54.0091641302704,50.0445296610893,42.279841061671156,52.91273664793406
22,39.038427732914975,53.31483972844144,33.48491582082997,50.33031972952942
23,58.257734735836294,46.04607749915587,59.47970247672468,60.86847071374142
24,50.350360337432896,54.232860352461614,64.76467440780687,43.734099476770254
25,54.69334988934954,51.271865177914805,47.61963621059525,46.00873274590931
26,59.873675315509615,46.70506550376075,48.130215817567404,29.282888564078682
27,53.82538428587058,73.46995154726879,52.794933217751705,56.21307569425655
28,28.69043847154957,27.63773007080053,49.21071579566987,79.65748383755874
29,46.769028585460696,53.537162265544225,58.466687638247585,49.41911416059422
30,43.67090025540055,50.443526030290855,51.2856125816116,28.090383072478495
31,28.044788836484216,52.845790047070565,54.48051829101521,46.49867236540231
32,49.425614404490894,36.78841999194168,64.7924943903149,48.829382909630354
33,56.435019377360184,44.099514794644705,46.65818366448947,51.834340828201604
34,50.397985511427734,40.377133151819976,45.36210345931135,38.2155871475936
35,63.05660919662619,44.88571686094866,48.28787144638174,64.27389364714574
36,30.602475130215538,55.796282399883225,44.320333322605435,45.674370929187546
37,49.51591985796478,54.55081176886686,52.41693393431215,23.771596974304334
38,37.42175566427446,33.05761282316422,53.868205173601446,32.36202883190779
39,33.75770431865707,40.24059277906009,54.690309987471366,36.02045735593051
40,37.897274609220155,58.37593946855942,68.35480844187303,34.19064220920739
41,31.96861027274483,49.50471089622699,29.5539212997414,66.74075146648728
42,36.083933542962576,43.47773941717475,51.28342401937067,37.147482524681266
