unit_id,JobThroughput,NicErrorCounter
0,-39.12417238371759,60.829841443038326
1,-41.20454437636619,60.61228317512528
2,-42.21366549815366,33.503893515472065
3,-42.015793603608024,51.18377129004849
4,-18.755392214433623,50.89130986998889
5,-20.570704237591467,42.140171488100215
6,-31.94222891805774,42.598754934973684
7,-25.042201794095774,56.16548797007223
8,-31.248297385786042,48.8134105229769
9,-52.29261428918549,64.72510571078074
10,-25.025124480888028,33.97797408222048
11,-42.33888200385424,55.1915776939221
12,-61.19902714654252,51.864948497902105
13,-26.70395156665063,36.389453938857685
14,-55.23457489393649,40.41304833687498
15,-32.010346204529746,49.87288314741145
16,-23.513791588787917,61.02375044013709
17,1.170958424842363,16.79695303276579
18,-50.48594852259404,62.11601857299979
19,-39.88117948439514,45.68554921911661
20,-51.65314687436027,47.06167395622292
21,-15.419200443518601,59.706384879918815
22,-39.77812290826827,36.24634523504505
23,-17.84129981207972,38.44536971013903
24,-35.339554226263594,46.8690139820377
25,-37.10868733556295,46.341053992408646
26,-31.333386311985784,52.13450244355151
27,-13.953285943350878,38.08778674100678
28,-44.40417739592571,35.71958523291576
29,-0.360149751919165,20.876280423990536
30,-17.21777304354166,57.01523124599978
31,-26.801397661481342,31.92322964061551
32,-41.48316225544745,43.67171665590262
33,-43.06652730175635,39.732076078014444
34,2.223803584883102,43.385002733659164
35,-23.73492995909126,25.97173848366222
36,-30.06315230006601,34.746349085499226
37,-28.27920647633263,48.46765250997274
38,-35.249029813362895,52.38941196155174
39,-33.18880241450926,59.541703078330734
40,-39.547684072905,45.49326671443255
41,-48.780987823283795,55.14441391935962
42,-24.256097149351625,26.17072336061118
43,-8.781731269552449,35.47739182610482
44,-15.288442431335381,55.92511022814806
45,-54.793283577111985,60.68980087582159
46,-16.173704599264823,43.878137143267054
47,-25.11730399359319,38.2013086021053
48,-8.191597202260795,33.542993103732194
49,-27.199710845512577,33.60584869703058
50,-57.33878979597483,50.942585937998174
51,-17.57462647858831,69.01701916462194
52,-39.209502629058086,38.45792898414367
53,-8.021215840632996,20.382682746744514
54,-31.49361696438812,55.88115182984
55,-42.68340361263328,55.98906781155179
56,-47.81309887581254,41.11013399476283
57,-23.550717997297866,39.061881842433515
58,-37.28608309293578,45.03622901772109
59,4.103064083660245,1.9145943205473603
60,-38.44132602918503,45.91660867407754
61,-49.06303634862177,58.17789139623021
62,-26.361901860242803,50.538960032850866
63,-42.30729586569145,56.20658999462625
64,-58.24904546730753,50.313905100255866
65,-20.138025790469545,41.59925041296532
66,-38.88415040495981,35.03973476036373
67,-21.6750811071664,48.4544932388074
68,-9.028524185440663,28.505071483798655
69,-45.13350846374853,27.76135888378138
70,-18.188638166664596,21.34086360816772
71,-44.84878986049708,57.5598752404019
72,-20.73912384574152,34.76324055408633
73,-41.721513396916286,39.05451917528685
74,-30.157256106385912,41.54482321930805
75,-45.11144647068069,54.10914960157643
76,-34.35443457471353,65.65995592033248
77,-47.31387015069766,49.92452757999382
78,-16.915617997129278,46.32688225802662
79,-56.95773808596674,49.31601780569924
80,-32.62276203034543,48.359720808927726
81,-23.075961888535105,58.04034592555607
82,-15.252639309082234,32.74340964712902
83,-44.637096338175986,56.65985696030494
84,-27.116032789463095,48.807816567229445
85,-32.953935568469014,70.6636226551295
86,-25.364837721754164,43.62093971842123
