unit_id,ReadmissionRate,Creatinine,Sodium,LengthOfStay,MedAdherence,BloodPressure,do_diuretic_titration
0,74.73132923827718,33.02753172400123,49.611152620928436,36.880698534382,52.20519162019734,49.58533567867478,90.0
1,43.41684091075403,49.24687453291117,43.28838635411972,19.003735834292385,60.58930130115603,46.87407547705533,90.0
2,79.25944700278676,26.791303184727585,51.18163712914798,32.11754336812826,27.219240832482118,55.49635577232549,90.0
3,60.90863269260565,37.529278618708865,54.57605262234468,28.71077499118951,50.71847693464482,32.339708407916866,90.0
4,48.85906599585083,27.895409987455523,41.39798129925565,26.621239878659544,49.89833419512145,43.5535952683719,90.0
5,31.907380428385085,60.4607107831192,49.115098201941734,43.96146084226485,60.719841229520576,74.51587656806974,90.0
6,31.70875559762726,37.16607462728955,23.70963826094383,42.72568725012679,41.95375309239017,28.611553276983965,90.0
7,50.264450167069064,56.90037032045544,79.40146299903628,50.58189139121988,23.802161116175235,49.0980769602145,90.0
8,58.11267175934325,63.22678701323532,37.70833132698056,64.62616722264633,34.43394135157043,62.06616681192202,90.0
9,37.06675865240807,64.05637211601716,40.735608019238,21.73777112335734,47.477719553373014,50.09396804420307,90.0
10,40.281008655354526,50.97969263366898,46.18285510123902,42.08350358390684,67.80184413080468,45.38269365202717,90.0
11,58.00310999564942,53.93601292227975,68.82681694696429,36.074959228730705,41.595134459166246,47.10017160570934,90.0
12,77.65673215070082,43.403800545165765,55.62598421889676,38.53208153506205,82.63945718216696,60.93013304301675,90.0
13,45.93249922887012,49.07750761030819,53.80345089311408,53.74430397387868,41.00186634296796,54.159831193786864,90.0
14,62.33378959413332,65.84961693536674,60.843200480535295,53.67163289307527,53.12888162940101,61.48884133039903,90.0
15,86.37145392499575,55.48243363824762,36.09034228207499,27.816102096509965,42.744400860788005,45.442297345914305,90.0
16,58.33725968193086,48.71255328661203,24.838634937224512,31.277752776374363,56.2006428979131,48.85129693567802,90.0
17,44.57883625398641,53.46628624550539,78.42784354447859,31.22169529347724,59.82992265915528,56.04385725249038,90.0
18,70.85956308612643,52.49420512664269,44.107719775692935,35.77220880018755,55.64330419367406,39.366821642006215,90.0
