unit_id,ReadmissionRate,Creatinine,Sodium,MedAdherence,LengthOfStay,do_diuretic_titration
0,33.30590622094619,39.81404099955083,48.51081220981195,47.64391034067124,39.61711371463957,50.0
1,67.04086199266082,43.79669427068456,52.5033828112224,51.29714370308912,41.49168651697189,50.0
2,39.36970040864396,34.042844402770726,45.0120110788142,54.10484524619156,35.28265256294963,50.0
3,34.89076890671162,46.65646001183351,49.71008067027203,23.99460890147317,38.48496407825385,50.0
4,56.93470313789846,79.59633345644723,51.939570257534555,71.82857525686177,32.482578435229556,50.0
5,43.51119601213334,46.306046432222544,55.80427125642491,62.61614036919228,43.27954097242099,50.0
6,44.87975513149564,30.489553227872026,43.22623036417096,11.61525195735153,38.86401174317275,50.0
7,61.82230803647796,75.46566259824635,42.414795955669106,39.79264403147779,40.89945686591186,50.0
8,36.54737913419761,62.91214593708226,59.33016540532268,71.75621867274936,36.71702480851075,50.0
9,46.483330519279576,52.216312939778845,66.1485060194341,51.65940327641327,37.28699193739408,50.0
10,40.295026456315895,64.5841692426041,28.55305735908229,75.0201448722485,19.005973888744784,50.0
11,33.1942921962937,35.704697265913495,44.33678877175175,48.470762320127854,44.30117998249571,50.0
12,51.92477477063406,62.52999653888013,44.74531118115388,67.30404548166736,42.9288501530192,50.0
13,67.33478401213681,31.739008462640214,37.73035288077102,45.08689093869166,45.65108717352173,50.0
14,51.20412770920997,52.580735098515774,54.576269933913196,46.30694521930361,38.86851219220597,50.0
15,55.188365428327124,52.456060996074925,44.74607723142394,37.211618676309755,47.70304413037323,50.0
16,34.194113053573105,50.57731954362498,62.062943159998845,65.02615025064682,30.272953727128346,50.0
17,50.420884428692716,55.84987838241925,46.57317885704241,47.56681975412351,38.24943866515826,50.0
18,34.13833242601631,35.20073525866401,63.840652948763854,27.630520507875655,44.83423618024721,50.0
19,34.159614925187576,56.99915574325972,73.01820174940045,33.39939720245981,49.49942818754327,50.0
20,41.37628743531269,30.663066092523867,66.59817480639002,48.45731675723523,45.62645026894474,50.0
21,35.52951765707823,47.97912936599407,50.95158669670348,52.91273664793406,32.70071276750445,50.0
22,87.7630836304086,71.44290762843272,51.939453969125374,50.33031972952942,41.738020482743245,50.0
23,41.6768793421881,21.76809073186412,48.66974633396404,60.86847071374142,51.45185524537219,50.0
24,57.34824401280516,59.06630238031982,60.00232550951399,43.734099476770254,53.81002424556233,50.0
25,54.686124071927324,65.41353013694575,40.37017262685113,46.00873274590931,26.084788723140736,50.0
26,51.39068200404512,45.223261288125165,34.4815496506525,29.282888564078682,55.197519651355314,50.0
27,67.146560896056,57.71440207359478,79.27320888604035,56.21307569425655,35.60506855998704,50.0
28,40.00713746022161,55.93555232114712,39.230913598162374,79.65748383755874,37.050583872132066,50.0
29,53.04974209825267,36.88164319351933,60.13310488653163,49.41911416059422,37.748961724273045,50.0
30,38.543376647111685,53.61892842517632,66.77636884077079,28.090383072478495,39.546586686165455,50.0
31,43.85267765830686,31.085060629284232,66.00772985372477,46.49867236540231,43.03391428315398,50.0
32,61.69433713295465,37.895261642439024,60.208470449923446,48.829382909630354,34.50722432957509,50.0
33,38.88919461100721,42.55611065230664,47.05102458269133,51.834340828201604,46.94315082992497,50.0
34,37.36519095395052,60.05911622254296,49.06862381570079,38.2155871475936,29.840153195171148,50.0
