,type,charge_rate,cooling_plate_temp,cycling_temp,capacity_retention,coulombic_efficiency
0,baseline,3.4591401976868257,25.55271450675324,47.3,60.0,97.13
1,baseline,2.5375161328340003,23.142605461572316,42.7,60.0,97.02
2,baseline,2.9125439775536788,24.0046673307367,44.6,60.0,97.08
3,baseline,2.8348161072232343,34.04981881568741,44.2,69.80050037021806,96.96
4,baseline,3.6047068212460185,29.7205307786989,48.0,60.0,97.27
5,baseline,3.515049231134367,29.136965085004825,47.6,60.0,96.86
6,baseline,3.838269351557268,22.567079722971457,49.2,60.0,96.81
7,baseline,2.630408248944124,30.93690196925524,43.2,68.24293588303826,97.22
8,baseline,3.1328827295279056,22.451037406428927,45.7,60.0,97.08
9,baseline,2.5446958291571056,25.691831626364717,42.7,60.0,96.79
10,baseline,2.827956962205405,34.842850259548925,44.1,72.79136768616706,97.02
11,baseline,3.258032932155044,29.599996397811395,46.3,60.0,97.02
12,baseline,2.5398039545257953,28.354246156619695,42.7,62.61257678760835,96.89
13,baseline,2.7982564760299726,30.269213764848118,44.0,62.60353387401831,97.26
14,baseline,3.474826656669285,32.64277880284715,47.4,60.0,97.2
15,baseline,3.317412220904825,31.639998673193674,46.6,60.0,96.73
16,baseline,2.8306609330610453,23.435721079461565,44.2,60.0,97.27
17,baseline,3.383898525813863,20.481503658560566,46.9,60.0,96.99
18,baseline,3.71414568501674,24.73179572088623,48.6,60.0,97.16
19,baseline,2.5097481395170913,24.016113139635543,42.5,60.0,96.78
20,baseline,3.708728877749212,23.164742653794896,48.5,60.0,97.03
21,baseline,3.5472090924823405,34.14364571502581,47.7,60.0,97.22
22,baseline,3.0103757747769877,33.14551439709003,45.1,65.98166805292702,96.83
23,baseline,2.7332192497176724,24.720168211977168,43.7,60.0,97.14
24,baseline,3.9358196083101715,29.8315799794232,49.7,60.0,96.89
25,low_charge,1.5472482684551263,32.911695533517474,38.2,88.60496575352984,97.39
26,low_charge,1.9535266663966002,34.56617566420427,39.8,84.70565150028855,97.36
27,low_charge,1.4169604046651383,27.936715176487056,37.7,78.86103267473356,97.27
28,low_charge,1.1515021441145938,34.94182070360145,36.6,96.0,97.38
29,low_charge,1.3491863295415452,25.72428929759805,37.4,75.67101311726609,97.27
30,low_charge,1.1196879653854412,20.952915592279357,36.5,69.25249787579516,97.39
31,low_charge,1.4340819454031606,26.332399501995262,37.7,75.61145339056542,97.47
32,low_charge,1.3418474134773204,31.881190465444462,37.4,89.35394052923661,97.22
33,low_charge,1.0687365754834932,29.41169062554635,36.3,87.2683418875783,97.4
34,low_charge,2.056857754322385,21.644736955259887,40.2,60.0,97.24
35,low_charge,1.8660282178851428,20.706745631371017,39.5,60.0,97.37
36,low_charge,2.292560350466166,21.36364118260691,41.2,60.0,97.44
37,low_charge,1.9277796285463689,27.64289440514697,39.7,71.98408837763169,97.26
38,low_charge,2.244106996379492,34.96306409742665,41.0,80.45838487761856,97.33
39,low_charge,1.8280609469098406,23.28981138735925,39.3,64.00586581711073,97.34
40,low_charge,1.5678015658125304,25.99100757710596,38.3,73.92314336594367,97.4
41,low_charge,2.459673645969056,33.467343254037154,41.8,76.0079122412704,97.23
42,low_charge,1.8043421371820512,28.768789853353105,39.2,75.27769021317998,97.3
43,low_charge,2.094597680040727,23.941124127844027,40.4,62.186628127782726,97.27
44,low_charge,2.2106924099115703,28.42052201244726,40.8,68.0610756931026,97.33
45,low_charge,1.9055890470503365,23.699412615409752,39.6,63.65875280473326,97.28
46,low_charge,2.2712415495211897,23.973202497470787,41.1,60.0,97.48
47,low_charge,1.1450745652501961,26.882777788810984,36.6,81.47569858897594,97.46
48,low_charge,1.1391187650702217,33.718213846108156,36.6,95.4502968410627,97.22
49,low_charge,1.5048918176689403,25.934478515909966,38.0,75.29414470361128,97.45
50,better_cooling,3.7106924099115703,35.0,51.8,60.27760636589595,97.48
51,better_cooling,3.4055890470503365,35.0,50.6,64.61355576307356,97.25
52,better_cooling,3.7712415495211897,35.0,52.1,60.0,97.26
53,better_cooling,2.645074565250196,35.0,47.6,75.12596210634597,97.22
54,better_cooling,2.6391187650702217,35.0,47.6,75.17116476190051,97.5
55,better_cooling,3.0048918176689403,35.0,49.0,69.4570288513102,97.44
56,better_cooling,3.9358196083101715,35.0,52.7,60.0,97.33
57,better_cooling,2.7332192497176724,35.0,47.9,74.91634653595426,97.5
58,better_cooling,3.0103757747769877,35.0,49.0,69.95590002515641,97.42
59,better_cooling,3.5472090924823405,35.0,51.2,61.10145726331303,97.29
60,better_cooling,3.708728877749212,35.0,51.8,60.306485563700136,97.37
61,better_cooling,2.5097481395170913,35.0,47.0,77.43816830999218,97.42
62,better_cooling,3.71414568501674,35.0,51.9,60.0,97.38
63,better_cooling,3.383898525813863,35.0,50.5,64.24722287863108,97.46
64,better_cooling,2.8306609330610453,35.0,48.3,71.85495145996329,97.49
65,better_cooling,3.317412220904825,35.0,50.3,64.3990396169088,97.26
66,better_cooling,3.474826656669285,35.0,50.9,63.06767036286078,97.4
67,better_cooling,2.7982564760299726,35.0,48.2,72.49656064955226,97.24
68,better_cooling,2.5398039545257953,35.0,47.2,77.68351531037194,97.27
69,better_cooling,3.258032932155044,35.0,50.0,66.31854432474123,97.39
70,better_cooling,2.827956962205405,35.0,48.3,72.41909539759067,97.38
71,better_cooling,2.5446958291571056,35.0,47.2,76.87512799370734,97.48
72,better_cooling,3.1328827295279056,35.0,49.5,67.41527745592849,97.41
73,better_cooling,2.630408248944124,35.0,47.5,75.02124817106983,97.32
74,better_cooling,3.838269351557268,35.0,52.4,60.0,97.29
