unit_id,ConversionEfficiency,EffluentByproduct,do_RegenerationCycle
0,16.95921781283799,6.654611425973126,40.0
1,23.021584836673238,22.778063227100354,40.0
2,22.401240096163274,14.90780719647822,40.0
3,15.913676838478448,9.2452785759688,40.0
4,27.88139650995441,15.80872412495906,40.0
5,19.206692831412823,0.09899711498867703,40.0
6,22.957864526048308,9.287403416977186,40.0
7,19.635608984032146,13.126467461389186,40.0
8,18.327851171018956,16.392731942390604,40.0
9,18.96272182760065,25.56445267835347,40.0
10,12.868436526938368,18.595782921938785,40.0
11,19.049647665168603,0.3096496927427985,40.0
12,20.749053719120585,-2.5099417926014684,40.0
13,15.979987370810179,-2.8442986297714867,40.0
14,11.814682692861656,9.019919238439066,40.0
15,24.596805255685673,15.945516686670558,40.0
16,23.202841700566257,12.425442683768924,40.0
17,29.24006583590133,9.363674805024848,40.0
18,21.34807011783676,-12.450151833618776,40.0
19,3.0920024732355214,21.79316732814808,40.0
20,18.743678859018953,9.245053147273861,40.0
21,24.357791818644483,2.983459031376479,40.0
22,19.233781765745345,4.160801773474202,40.0
23,27.848052733494008,3.895612222721926,40.0
24,23.23459592531404,14.567048380219767,40.0
25,22.066931622552804,16.73418751404688,40.0
26,24.68829792634337,17.79305242802885,40.0
27,19.302589166656396,7.697877763571145,40.0
28,18.111276040144745,9.518786957549013,40.0
29,23.915930651758167,7.4451385944037725,40.0
30,22.530785707823835,10.029780160521836,40.0
31,28.199517902200732,10.532136793537884,40.0
32,23.768179292995523,7.835404136854894,40.0
33,16.37841289456231,18.732648378977714,40.0
34,24.137683071292056,10.416428935747133,40.0
35,19.186916855828056,-2.097666274864711,40.0
36,26.128331215910183,3.336445330561096,40.0
37,16.801666908874555,11.179700759887808,40.0
38,16.10727229262261,17.306952802609054,40.0
39,17.754697131130506,18.98800533996433,40.0
40,20.350783682366178,13.02068844501042,40.0
41,12.635581620874758,20.774171512704662,40.0
42,24.122430300080378,23.233771680302354,40.0
43,18.131826371554542,16.153270776152013,40.0
44,25.590239572266306,7.072557024870176,40.0
45,15.954078287068988,18.702233105768546,40.0
46,19.08864013815254,7.432210899818445,40.0
47,19.841779840196413,7.33120671159367,40.0
48,23.737645080548308,3.934346672931439,40.0
49,28.037398914742546,-4.918193121550736,40.0
50,21.344576097642182,3.9047057793756554,40.0
51,10.740845206544416,11.270908057370868,40.0
52,18.923114249013697,16.12807925488946,40.0
53,8.682504167422913,17.59811513201084,40.0
54,16.670793798809655,10.412448615362967,40.0
55,33.3874752125425,19.404786139002546,40.0
56,15.456062625128943,6.079874227006597,40.0
57,20.30689514441276,18.092226586474936,40.0
58,21.39217311045373,10.510594892103937,40.0
59,10.48804710522404,4.959994708106261,40.0
60,19.814278248390167,16.077590896111133,40.0
61,20.75521741597587,14.251856960540248,40.0
62,20.56349598669449,9.322731920464419,40.0
63,14.161313254691315,7.032375782645742,40.0
64,13.472941468278119,12.861792204709776,40.0
65,27.203542841402182,-11.320203131180058,40.0
66,26.69789294209072,5.101405626029791,40.0
67,16.95283337280381,13.666381481509188,40.0
68,19.477990657202966,6.864422264757075,40.0
69,18.14174377704735,2.330642014291006,40.0
70,15.350615281045082,17.889030684229716,40.0
71,22.0072591454784,19.43337579922482,40.0
72,10.714722241332938,6.066157541272874,40.0
73,18.019765041542286,5.352467564324362,40.0
74,18.057313459550915,19.006957262746383,40.0
75,25.18969911414147,14.424651932904403,40.0
76,22.773233044562822,10.933922115197388,40.0
77,18.074096025975,8.855815473835019,40.0
