unit_id,ConversionEfficiency,EffluentByproduct,ReactorPressure,do_set_PressureDropBed
0,16.284344101600865,18.627709175020623,66.9780351205337,95.0
1,20.172191550341864,12.968264014255018,82.67307531021827,95.0
2,-14.85412253244807,39.96659936219194,61.76902221123335,95.0
3,20.71898789685706,10.640711601780776,94.31114588790608,95.0
4,29.986366305596135,8.634687472586169,96.28347332227722,95.0
5,22.42106453678857,16.616893723383228,95.80227303855176,95.0
6,16.77111456584832,15.488176686685403,73.57732439233178,95.0
7,15.898417705860812,4.082113533303638,72.03663856867969,95.0
8,5.787914480206537,29.834951637419042,90.23822136745206,95.0
9,16.00150234237868,6.88112849079187,71.67387811060799,95.0
10,22.868571248177986,11.097374736862305,75.81162870962437,95.0
11,20.05445784645267,7.241193604438985,86.51765051865277,95.0
12,16.851048095029626,-0.14618315286241845,77.56756093815598,95.0
13,25.36493321922656,16.07311347224089,81.35582111031837,95.0
14,12.079750664507085,5.85930505718461,69.57464395370508,95.0
15,17.908090312010227,17.043011774912298,92.32549768388519,95.0
16,-12.089058415548518,32.3575583360067,54.01413375873822,95.0
17,15.774858940842822,20.064965943025488,75.85561731634822,95.0
18,20.54785246329468,11.610858962863237,66.58604251227688,95.0
19,16.074965745185306,10.187477633083914,74.4716120801585,95.0
20,16.416735124716677,15.351090610485677,78.13861172889399,95.0
21,10.489617906056404,15.647922281219161,66.01700586109536,95.0
22,24.787090368263062,5.3171460885452015,95.82286634130494,95.0
23,17.744033478643917,16.735068896164822,69.9577663831204,95.0
24,19.512338489151833,8.883190079348015,80.89383955208864,95.0
25,18.956784916098222,14.07986618058825,85.97225792012478,95.0
26,25.700623269530478,3.0037673566636514,85.58080557602923,95.0
27,16.374342786128466,-8.54696087687864,83.1712479706945,95.0
28,11.400196512043339,10.485488332405785,59.865189387762165,95.0
29,10.43544865805599,14.036839093019118,69.8371848661875,95.0
30,20.635652240557853,14.799912610425181,95.65743488315529,95.0
31,21.04180529702159,-1.8408095112260092,71.58011631475485,95.0
32,17.818915811707,27.295682338513707,70.29276061602525,95.0
33,7.393904028893282,10.39093829653709,67.73768955062977,95.0
34,10.015045409662783,11.059843981891468,71.15897015030922,95.0
35,28.60022932166412,22.412615283076,96.97827746409784,95.0
36,16.621741785703776,26.896264631967156,59.98567243352386,95.0
37,16.9803967766143,14.022196342562687,70.33237488824177,95.0
38,15.826439094248338,13.599571217701067,73.62703401280362,95.0
39,12.215708045627554,14.310499622473444,64.86215871990436,95.0
40,6.270149512564215,28.23353346937515,68.41509220539655,95.0
41,20.659047819771438,10.886133084960745,98.3808137589324,95.0
42,22.934015659440664,10.3303384346458,81.5565247278241,95.0
43,13.381504673060618,5.237066136002694,88.63812527182331,95.0
44,26.458004718213726,22.0602987523054,73.64057543607188,95.0
45,20.101220252684953,9.50513519063509,71.06676104390674,95.0
46,20.26495971208493,18.96848100676767,71.29515773086104,95.0
47,14.543170626732184,5.332710759531809,79.85727219937337,95.0
48,22.590327577463718,9.260539150498886,81.63852721202066,95.0
49,23.51928801339536,19.14250502425456,73.2141134279159,95.0
50,2.7167034137905945,23.962306397103877,63.16318544628678,95.0
51,7.772587679549595,17.623623518990033,91.85357934111997,95.0
52,31.34822241024324,15.40913831040233,102.24636387474027,95.0
53,11.116359912656499,25.87197936238726,69.72444608384535,95.0
54,7.3987799262486025,32.99345669559883,69.18447227969973,95.0
55,17.17765068946644,6.627350890525714,69.13799077813322,95.0
56,21.219656485482417,8.997635140719503,75.43447548667152,95.0
57,17.280305938668043,10.798693233308553,74.34583471945592,95.0
58,12.53768885789417,22.236301007223325,73.34479613812799,95.0
59,10.968891177815811,4.938363861471702,69.59431552812069,95.0
60,17.830436884269847,9.614436125667652,82.37201550506353,95.0
61,23.181923761434014,9.423516715792076,75.99372328538858,95.0
62,8.45668794884944,22.059063787642764,50.37805847488931,95.0
63,21.904414548081967,24.486629535619237,82.98379881985733,95.0
64,-1.2302397336637076,47.52704113347873,81.75662786339228,95.0
65,20.560823252293574,7.105722277300572,72.51942561084968,95.0
66,8.358659317764856,36.58099317511817,81.88575013437693,95.0
67,13.638029090893625,0.31842693827527846,59.164633125195174,95.0
68,7.913346150540823,27.640474479395277,91.2123723317827,95.0
69,20.90788991839118,23.757054288566682,69.25637489507044,95.0
70,23.93995267980233,9.05422867940233,70.87350304926363,95.0
71,25.602106335644734,-1.3443089653233216,90.01828160831938,95.0
72,2.768635377980669,9.460703719287904,54.15102955740839,95.0
73,20.37768434575098,12.752339455728995,79.22370400196922,95.0
