unit_id,WaterClarityScore,ResidualChlorine,MetalColorimetry,FilterHeadloss,do_LineFlushRate
0,23.358496792513108,69.04676931854192,14.788136235479401,61.06091042416757,25.0
1,23.362482842080635,67.92053067696096,21.698266466014804,68.56506623694457,25.0
2,14.788363709358233,62.646857348941566,14.858438538606364,41.825996056891725,25.0
3,23.677850423936686,72.758794155448,17.429629008090163,62.153129095819494,25.0
4,12.46470377537243,78.65457011741438,30.289046417880314,51.252445027729046,25.0
5,17.97982889496716,91.58591258344478,9.509344923210783,43.563813252512915,25.0
6,15.103178983409782,67.8797321488198,22.879156020664244,55.4988460510386,25.0
7,19.0997724501285,69.89415471769746,11.771277953439725,59.81224335897243,25.0
8,10.224517150951224,70.88224436707821,27.294261938841956,27.663222142233067,25.0
9,12.569595624825896,57.90006018746184,4.0815888815205,54.12810915175113,25.0
10,18.202484852754257,84.55230238377723,3.785093131568864,82.34301278867284,25.0
11,11.900132781509773,55.58299718011824,18.212487532820656,66.95747500221528,25.0
12,18.850091682709756,76.92144890686711,13.067387506901074,54.71281403340732,25.0
13,22.984382886036652,78.39188961201019,9.445674219315924,58.20794505842431,25.0
14,21.94520880216103,81.28326796250353,17.516395972901243,54.18548864740445,25.0
15,22.02202911294983,87.69158571160608,21.556125315931247,53.927038640324476,25.0
16,15.58742024014781,64.69018874476322,-3.4394984876915355,38.05663436059295,25.0
17,19.01732072845163,77.87912504325001,17.943270042782853,41.45465270399292,25.0
18,24.755045045126256,94.42654775283108,1.5991992211400188,37.88259211617143,25.0
19,14.689250837784044,69.3982570559301,24.976112254786422,54.28277842411754,25.0
20,15.740159454082033,67.46523655369579,3.9929027402590025,42.1950845727267,25.0
21,23.54677132832701,70.02364269543709,0.9926695672332233,42.59199967311353,25.0
22,9.043227140647222,44.8909598105784,16.39012709872416,46.55301139549903,25.0
23,23.338476301119137,108.91352035601905,7.57080476167485,55.673047038104436,25.0
24,12.581184736703264,81.01175410232864,19.168191179274164,59.30149827129103,25.0
25,25.92854751964485,90.15318285502549,14.120610619417983,48.350370678199035,25.0
26,10.925392662036163,75.58857045636671,-2.185745291491509,70.01928738255596,25.0
27,21.7938418002026,73.76275873479929,1.4320954301904791,57.52451078442665,25.0
28,10.006426166602061,74.67174764512538,14.840468985118065,48.18480083035281,25.0
29,16.851869816328247,80.65889651921307,5.736103997967334,37.943828923066334,25.0
30,12.92347002258567,57.460480204268784,10.019383187164967,29.662357548318425,25.0
31,24.082632990386507,64.77900958319773,8.247813779083831,32.31632255170597,25.0
32,15.26194769156201,81.8532743351793,18.348650504194964,55.62886338776425,25.0
33,11.326055426813646,64.42053845987682,19.001717279199383,35.63774819809121,25.0
34,5.181789668244113,41.15524372302593,14.654049850156314,64.28274624506444,25.0
35,12.259348698910115,51.53621177384932,14.502613490181854,60.30207251902676,25.0
36,13.785350952768038,63.7649681347477,4.922158845133363,43.076048009863165,25.0
37,10.561678097235307,66.07828737064884,14.637548479530533,54.764649243763536,25.0
38,15.873920934568753,68.46185381019869,2.864274800591918,46.761584607323755,25.0
39,25.42658471384521,76.74813367365536,17.340437876458342,53.444101447093466,25.0
40,20.20441330869039,73.12359704327143,15.603535409751323,67.07148085687697,25.0
41,14.91894747738152,74.09381152649233,28.82679535308202,61.53356600377377,25.0
