unit_id,WaterClarityScore,MetalColorimetry,ResidualChlorine,do_MaskingAdditive
0,-16.93279307722224,36.19321239505146,57.072764502378014,60.0
1,31.55506939597635,15.761893348652539,89.5690835895432,60.0
2,13.97593031851727,16.985261906590924,67.20420891155527,60.0
3,17.94625499621543,29.833491760305993,67.31256543408466,60.0
4,-4.676205452174026,27.852511407996786,50.75822607847725,60.0
5,12.430106038927931,9.365670090439727,56.38953850920595,60.0
6,18.720496662406767,25.702260028126148,76.27684560080759,60.0
7,28.210021768539146,10.402896360925121,87.11293239079001,60.0
8,2.117325556680992,25.46986051404328,75.24837102618696,60.0
9,13.292680958749477,6.39314424336489,65.81695692294886,60.0
10,18.390051799124272,8.388026920641355,70.3188592908564,60.0
11,26.297565378715642,7.705320103789816,83.38202698131774,60.0
12,18.08945669599355,3.121416026382443,68.540298350799,60.0
13,20.523593189473928,11.719782359168555,78.01154745125065,60.0
14,12.657442625096884,16.524343160293025,80.17475369958382,60.0
15,11.75889883232753,8.614886124082986,63.6733621406166,60.0
16,19.839589299615824,20.566285701550882,63.028176052723445,60.0
17,23.829484146715075,23.836476376752252,78.49567939239213,60.0
18,20.276010876925085,24.026058167239174,76.88928178323663,60.0
19,20.285870639293464,15.481630422070957,62.17212594260709,60.0
20,7.512875879369609,30.29727625747058,74.13128848282926,60.0
21,19.649141235009203,15.370634523043117,67.16705859468516,60.0
22,0.3180317054321997,33.00233088447191,75.43794667404835,60.0
23,27.57873233003727,12.358798394236551,63.73818685154688,60.0
24,22.191964459058525,21.00813391622051,101.29980722413106,60.0
25,23.177544224003075,10.25861170147805,83.5572263594916,60.0
26,12.60806332112139,32.90648142343134,66.10924395780994,60.0
27,23.229109582656616,21.31447057132479,83.59632889014364,60.0
28,5.006008173128729,26.065403398762484,58.52099761603046,60.0
29,27.35578858204296,7.136997693339065,83.89756026346598,60.0
30,28.189310371143446,6.187406997343823,88.25362383990837,60.0
31,13.620217962476474,21.640950589947508,83.23940431321284,60.0
32,24.644522924551975,3.74068301422445,81.04405527022062,60.0
33,14.68963562340382,26.545968825957043,73.73012189271941,60.0
34,-1.4089213104561553,36.04084567035607,68.72060625204605,60.0
35,26.95227288759354,7.124120356411735,70.86702071896087,60.0
