unit_id,WaterClarityScore,ResidualChlorine,FilterHeadloss,WaterTemp
0,-7.089710888084195,71.74197405534547,63.99913231275883,47.64391034067124
1,19.63638366595286,77.14543216292998,42.18232442026823,51.29714370308912
2,12.645482485869232,58.584874010854094,85.16339444711046,54.10484524619156
3,-0.5976500081461955,66.67330013504656,82.60294625785998,23.99460890147317
4,15.699187912315958,78.58521095891913,56.44853255108084,71.82857525686177
5,-12.571001636635497,80.92703964959397,31.415584813850195,62.61614036919228
6,19.74372948913084,78.46344042880659,55.14393063772026,11.61525195735153
7,18.710518442158666,55.38515614481661,38.019842714369545,39.79264403147779
8,8.558253898809228,68.16133857568354,47.4664330880548,71.75621867274936
9,19.69221356903108,65.67770915802919,38.596247370797734,51.65940327641327
10,9.302161968114694,61.05741424797745,55.20617629531243,75.0201448722485
11,-9.185360837914883,71.87164416000702,67.55828526926481,48.470762320127854
12,14.963390254597467,75.96785672632099,35.26440516015491,67.30404548166736
13,20.32187591505975,85.49475227717782,48.66056400685733,45.08689093869166
14,21.37984686851403,79.45594473292985,67.51811109747109,46.30694521930361
15,25.145519866192096,90.82699276442811,33.81633028417371,37.211618676309755
16,14.41023989074854,63.25433173461052,39.478531619216824,65.02615025064682
17,16.838723298641057,62.82600462882701,57.50925578573893,47.56681975412351
18,17.725603345740765,72.41818150624125,38.1890976409314,27.630520507875655
19,15.489774177701374,93.59887728243409,44.75017905095639,33.39939720245981
20,18.71858998371978,81.99088169196772,53.27631171678103,48.45731675723523
21,-2.169400562820474,71.30478464026899,48.72686889052333,52.91273664793406
22,23.27410458090866,85.77091328234258,34.6796273578007,50.33031972952942
23,16.09456761250708,83.66809271801763,51.95578528096785,60.86847071374142
24,16.226600132184934,90.27480697768816,38.26300789233003,43.734099476770254
25,12.67114902058327,52.429383638088055,27.366669034485017,46.00873274590931
26,23.10090350285859,94.82737199632261,54.17038421429133,29.282888564078682
27,17.056706999407854,78.4705632827578,42.07605490970698,56.21307569425655
28,19.532622750176557,75.93073138711532,44.789870436445916,79.65748383755874
29,17.26415076145837,72.63455109797447,69.11314063331993,49.41911416059422
30,15.325490232301519,68.7388413225719,72.65488844126313,28.090383072478495
31,13.906688058179606,72.79428430334683,71.99281534823244,46.49867236540231
32,20.439138376649908,58.87761852037377,45.76029984179634,48.829382909630354
