unit_id,CapacityRetention,ImpedanceSpectrum
0,6.665376855901863,20.1443610987746
1,12.259496639633305,25.01134319171741
2,10.7164473914219,6.532916377344011
3,5.103954948415414,14.799613649117358
4,14.019779739008158,28.292080525667924
5,14.003443268451539,12.60777925890315
6,3.3880866526390974,17.69044971469804
7,5.843507114233828,28.552196634039028
8,13.09123083094471,11.874653983100012
9,10.96993140289054,23.396730601145023
10,7.494144155159768,-0.18867273323939315
11,-20.67182572200441,45.058461240486594
12,4.272439138045746,16.3227575257021
13,10.691954941519475,5.669940052139722
14,-0.509734225148466,13.78280843323489
15,-1.620818244458449,25.783075414828936
16,3.2206204504184246,31.051691795226066
17,14.501878799021638,4.492147698081248
18,8.694377892458714,23.12563341949943
19,11.03109865238466,17.250621302967044
20,11.614671639200159,10.076814623001006
21,7.522376578395237,22.02848332876102
22,0.21687219446434192,4.090554127022898
23,-3.778434476321684,32.58798744200164
24,19.703403168879102,8.215446005351351
25,7.998828551095419,9.396604267548023
26,-9.531642031938093,25.647522804160516
27,9.322876365720308,13.587146149413623
28,14.811236754199573,0.7725529796379753
29,10.483459738004964,7.62444050971102
30,4.623102414255688,27.293466044204674
31,4.461622691724546,4.899724849622194
32,9.52657606093576,10.831287807185916
33,-16.12394651407217,29.28430172023131
34,12.6399186521815,22.89356307065869
35,13.913397466911308,10.40124987395526
36,8.691421909159509,7.176298179239074
37,-13.789028771490424,37.19831066640825
38,12.553751865137833,14.113343507724428
39,-4.098434129788427,30.187006841230314
40,7.569934647667164,9.204127081918065
41,3.361276782042977,15.343283309799519
42,8.25579845882477,7.433829705452512
43,9.298384935052528,17.25281915393176
44,7.363373861663089,34.10500289343523
45,12.721021967291271,23.07220814318422
46,0.2583018439056226,36.216965819451985
47,5.842239541517391,6.308197015367734
48,0.054233574913995386,20.52026452346278
49,11.175876877096954,10.748991762673704
50,9.448630593018159,11.100453555658778
51,-3.0803593343587328,50.34704391550649
52,10.842503980578737,1.3305956979337932
53,1.8079901626476689,5.691736395371212
54,-5.0061859596009635,37.125396873663966
