unit_id,ReadmissionRate,Creatinine,Sodium,LengthOfStay,BloodPressure,do_diuretic_titration
0,33.07242282081746,39.81404099955083,48.51081220981195,41.16175801195596,67.63184544865757,25.0
1,55.04086199266082,43.79669427068456,52.5033828112224,41.00290184533783,45.11591428370178,25.0
2,51.369700408643965,34.042844402770726,45.0120110788142,26.398656492326598,86.41643839431369,25.0
3,33.8013343379509,46.65646001183351,49.71008067027203,29.186115749011037,83.48401613762975,25.0
4,44.93470313789846,79.59633345644723,51.939570257534555,39.22521543143981,52.055621647174604,25.0
5,55.51119601213334,46.306046432222544,55.80427125642491,48.69957942918235,23.792725311513916,25.0
6,56.87975513149564,30.489553227872026,43.22623036417096,36.52462017033215,54.43840405153095,25.0
7,49.822308036477956,75.46566259824635,42.414795955669106,37.67522693005308,46.44641840431063,25.0
8,48.54737913419761,62.91214593708226,59.33016540532268,42.665208992072635,50.29433721846854,25.0
9,34.483330519279576,52.216312939778845,66.1485060194341,29.4916278082083,46.026127073970144,25.0
10,28.295026456315895,64.5841692426041,28.55305735908229,20.774668140780395,49.37143577169989,25.0
11,45.1942921962937,35.704697265913495,44.33678877175175,48.71167199351661,68.63429406114875,25.0
12,39.92477477063406,62.52999653888013,44.74531118115388,45.43689413036007,41.91941334800975,25.0
13,55.33478401213681,31.739008462640214,37.73035288077102,45.10281306419282,47.449203938486974,25.0
14,39.20412770920996,52.580735098515774,54.576269933913196,38.17450889502309,67.4654563329396,25.0
15,43.188365428327124,52.456060996074925,44.74607723142394,48.287544229332724,30.340794166181304,25.0
16,28.731542416300076,50.57731954362498,62.062943159998845,34.24166320321753,34.698293817832166,25.0
17,38.420884428692716,55.84987838241925,46.57317885704241,27.884960115935755,58.815454223261675,25.0
18,37.17440761302807,35.20073525866401,63.840652948763854,45.135098835110604,42.444086279086626,25.0
19,40.925617888952836,56.99915574325972,73.01820174940045,49.63515900648334,40.45973987469991,25.0
20,35.899385802052635,30.663066092523867,66.59817480639002,50.903859590132775,51.32610647214694,25.0
21,29.97374711017116,47.97912936599407,50.95158669670348,38.2585681237125,45.016337264356714,25.0
22,75.7630836304086,71.44290762843272,51.939453969125374,46.47823963454539,35.697154826725026,25.0
23,44.55394712044294,21.76809073186412,48.66974633396404,56.376961364134324,54.29968245593163,25.0
24,45.34824401280516,59.06630238031982,60.00232550951399,48.39022594527149,43.88430606792999,25.0
25,42.686124071927324,65.41353013694575,40.37017262685113,24.180620465079485,29.48266180091249,25.0
26,40.78716390644206,45.223261288125165,34.4815496506525,53.11248965882277,49.6860632603538,25.0
27,55.146560896055995,57.71440207359478,79.27320888604035,38.741492255765145,34.367482231880174,25.0
28,40.285368686895886,55.93555232114712,39.230913598162374,42.1149559617373,37.15334740987229,25.0
29,65.04974209825266,36.88164319351933,60.13310488653163,34.37604415496145,65.5161581215007,25.0
30,50.54337664711169,53.61892842517632,66.77636884077079,29.673874110766235,73.8781719071195,25.0
31,31.85267765830686,31.085060629284232,66.00772985372477,45.56889736994282,74.13179461087626,25.0
32,49.69433713295465,37.895261642439024,60.208470449923446,35.189963216680006,35.31519498597378,25.0
33,39.826889190481744,42.55611065230664,47.05102458269133,47.32240591328858,19.403688634834637,25.0
34,25.365190953950513,60.05911622254296,49.06862381570079,21.72225670628096,42.901566693883,25.0
35,47.67147444612285,43.73225085371376,42.795821036333564,47.45642223788919,24.584748838541326,25.0
36,41.44995025165145,31.39639275848717,43.428938280225154,49.350385996980144,39.655450682641955,25.0
37,42.94046342993867,20.93774485363507,58.100907639467216,56.278412621066245,39.679625787073135,25.0
38,22.891033427820314,54.465980824644376,55.08483793834344,22.256687790076512,58.346927109601886,25.0
39,58.92711305524828,43.317029004182956,45.90860210003844,53.125830052566414,40.720559010960834,25.0
40,51.829101839673555,58.32754583756835,53.39407971327381,47.372998562394635,57.5242541858837,25.0
41,23.968493852117145,67.09728902161824,35.86516286966404,27.08079696402197,38.208638584866726,25.0
42,55.67961285738675,41.03969305162578,60.766227623887076,41.53913507544226,67.23993499353465,25.0
43,38.23507961157051,59.59747647103249,72.18597153020346,38.82512077659497,58.55091721144612,25.0
44,29.68775976788208,46.02303029870441,64.68404926755298,22.93054793943415,69.19443416941488,25.0
45,32.8212700706562,45.1514050607956,53.45490367885416,28.970816702514725,47.9725826759811,25.0
46,39.27257085757802,55.387662825444366,54.96728597615892,38.34678436857557,39.88823784997856,25.0
47,27.108794630574387,44.68083715061521,53.03680105751247,37.26716548211759,57.782592364940975,25.0
48,37.857002297608716,17.38322888417591,57.14850687773621,52.88707405533244,53.22452504024577,25.0
49,24.491961667136046,43.99688996796002,46.718064884723084,26.347769979046564,61.481112118233426,25.0
50,38.00715738325056,21.651537732459428,49.8974424604685,38.72992543185706,42.131836764072915,25.0
51,43.19003544689284,46.88243111418993,46.24498738009209,21.81422306215078,37.564827203959474,25.0
52,41.28548305303798,70.29441735240465,46.53057235788916,36.318805254059455,57.310899166924955,25.0
53,43.59600135598715,48.21471394129506,63.019383773954004,30.727498070971883,36.96961831551213,25.0
