unit_id,ReadmissionRate,Creatinine,Sodium,BloodPressure,LengthOfStay,Hemoglobin,HbA1c,FollowupDays
0,28.683295046281046,85.80488854498897,61.308285239903434,48.46217517025215,36.960740168375025,52.861147690990876,52.38399452581361,50.564875437425265
1,39.33493811308141,43.40283841859683,61.6140754628843,68.13627085206795,30.46323254681866,50.36115611685003,65.284736677598,42.63370700470127
2,30.267243254784702,31.54238875832904,56.26651750921496,53.84886701611923,31.389565275924863,46.333121343841746,51.696142615901955,35.55257053340848
3,29.591750360643275,56.05942738719564,56.6732133568781,38.81192189124373,32.33408248396616,57.94657370721215,55.19263335913504,41.28478790049344
4,65.65365545555008,49.124042527779444,54.37646437914093,51.77412580997557,35.993535234191064,29.149235098303123,47.55724115008608,67.21578146806557
5,31.976684812811563,65.92807957395237,30.116649058058684,22.37004458394522,26.059220417721424,34.04823548941696,55.52727153841944,41.35813518327389
6,34.85868086051637,58.944651987751975,56.545273594590896,25.61558995789023,35.440736604704526,41.34395462700786,50.04215084802487,60.04921529569946
7,76.99502733375395,58.42481127652555,62.62529235456607,43.93526206584428,46.170874184398045,49.06750884285571,48.13218206737998,47.9894659151328
8,55.84045528960792,48.91667105684979,64.95471849517173,54.17813263659023,41.36336569730142,66.77540015014755,38.25472773577378,66.12458308440242
9,32.74571779363426,35.435309724696694,47.9817505261266,33.02207229116551,33.555062153990264,54.2546327416813,48.658131050724734,34.49018869472225
10,54.43777182237868,64.88620441698006,66.80273399339507,85.91066309493405,36.48431123188614,46.43193296653818,73.24404927889282,53.28444753389793
11,49.88164145707292,49.56637588865382,58.22853314507272,50.55431788860949,57.35957906459401,73.6917241490477,36.25221904611987,39.72007869601121
12,37.105753715965314,53.91041637466744,43.14477483536198,37.07661137020801,39.160979688172546,39.08636076240593,43.52207426818385,43.545678346186165
13,51.8149513240083,40.448575440406124,62.50146274735869,73.6060912615601,58.64077883533349,44.85972219133635,50.50704379015367,63.76664557092495
14,41.44451190470807,42.75672515792844,36.86380006190822,47.518459313651675,31.541317675720347,51.86242076987698,50.185595259081474,45.596689069853845
15,55.72416655501813,32.90948559585514,35.29839888556478,44.234367122548996,23.587381427019295,60.2002480868467,44.5218368251773,47.65070717888004
16,72.11581027376307,42.63280315516178,34.989761438178704,55.27658427785519,35.07721819244847,66.11218199240847,41.98604334686625,44.90405078796938
17,46.75590755442903,26.16029484070582,68.44635903647908,70.42883192603944,39.879648086421724,52.567918083626196,48.44315551965829,64.2574146876616
18,27.3273139253595,56.88265784481703,42.03958349332405,83.50001404440899,32.84560534744047,54.714488186390845,43.77836669898367,54.38626154008002
19,37.294241171399214,73.02187687890074,43.373362302260965,64.39735088197655,34.44078759575594,56.342548669724394,30.084646499753262,53.16941350250725
20,45.45682348545044,55.82032198185012,60.85665661776402,51.78054700282694,47.296874909314,50.04423109646533,55.151712010868266,45.35240538801055
