unit_id,ReadmissionRate,MedAdherence,LengthOfStay,Sodium,Creatinine,BloodPressure,do_diuretic_titration,do_adherence_program
0,47.00478908218066,67.99233488690628,38.92122757545425,33.53082974462209,51.91003159635494,47.83192395070044,25.0,75.0
1,48.22819943305783,75.54635464132436,34.722664886542056,45.938155212102885,63.72679560248942,57.64839147999787,25.0,75.0
2,43.39501614237366,74.52073777448354,33.25710210236095,47.793994652013836,53.79649542401978,48.57130347793924,25.0,75.0
3,34.354892739119244,74.01176287513864,33.54476698139942,63.401081257581126,41.290866936796924,47.452734593758606,25.0,75.0
4,41.549634406628506,73.72673346105853,35.92370368205849,41.85052263976411,51.372650308056876,53.50482886956762,25.0,75.0
5,54.788489939971456,75.62847138269782,34.77279880617713,49.03754035182136,50.66135553079145,66.06423433286565,25.0,75.0
6,47.989801549751704,73.82980540367141,40.57450594789109,44.565809278976424,48.4954291517723,58.61661898881803,25.0,75.0
7,70.45509695595216,78.70253460749691,36.18002953962852,55.41243336327328,35.21108714209426,67.58671747599361,25.0,75.0
8,30.735341830783295,75.70650993644449,32.73524992295287,55.581982429660435,51.052043432257825,37.85910119816487,25.0,75.0
9,35.071671113087795,75.94057238907098,43.34054663834441,55.3208619533344,67.02824301064668,50.72965221659286,25.0,75.0
10,51.1828079211593,73.93447079857457,45.13428671900013,58.70626385426479,54.061843378973926,53.156623655604385,25.0,75.0
11,45.77728953970065,74.12981179503394,33.88043328936386,40.01170551011807,51.2542500714835,57.9265848699644,25.0,75.0
12,37.42167045293269,79.39867549183096,56.15862139239541,32.377572375700765,39.85765182753195,39.90632003158389,25.0,75.0
13,25.07468692188247,77.41552301325042,31.673353665763358,45.352704348237225,49.74185657715953,58.8232917346908,25.0,75.0
14,36.60003143370369,73.9679288583825,44.387773159915284,65.90550917866125,41.9581725703936,52.33106523692451,25.0,75.0
15,25.674369766587024,72.38884649992987,28.329095917268248,65.89229220022533,45.48406601351099,36.557791927273385,25.0,75.0
16,42.81735019715903,74.14810468656357,44.42951537822436,42.190201051642106,57.052559074964456,52.52322203670125,25.0,75.0
17,51.16052067190082,73.21110367249804,29.407060361389544,47.089841831445845,40.853931544568674,70.32988070181327,25.0,75.0
18,33.4062584152763,78.7322125456783,29.403774598378806,43.457887854755214,80.65241186541421,41.859251171357016,25.0,75.0
19,42.67894506487717,73.2986819937775,29.434767279065007,37.8011214534306,22.4577239013601,35.86096192519312,25.0,75.0
20,40.78570309697866,73.26351166400806,59.269182923962596,54.50421070856702,56.533734164357156,61.448002088257994,25.0,75.0
21,42.715253562339385,77.1220935574186,48.30762177649872,61.811201866534574,34.566969910141225,64.36302611201565,25.0,75.0
22,35.25837031724945,72.99002570203045,33.126321559537736,66.40779586385003,55.8130210259585,54.5442236878235,25.0,75.0
23,34.81450875105553,81.0954586858778,36.805934260126556,55.757798834941944,59.19447324997696,51.136787438793164,25.0,75.0
24,62.15857179514033,78.50541633164163,62.51307491442779,56.573103853959054,55.92932189132378,37.282586301560315,25.0,75.0
25,44.877870341429045,79.17154740679987,33.07595930288872,61.80856868073501,51.98040077470829,42.51898092640775,25.0,75.0
26,36.731298629310466,71.24859918643344,38.764873125847366,63.23667328259841,57.65092394027534,70.63456211292993,25.0,75.0
27,54.000130502924115,82.87413190329508,40.29655335302945,42.99721516965989,67.96652978201861,65.98774421504964,25.0,75.0
28,32.44135418077972,75.61634849701727,30.76013499481158,39.57184435650004,52.072990374479666,47.843534914355274,25.0,75.0
29,61.50006335778478,76.68409571407282,37.9853064038507,75.64820029313205,53.80396436049571,64.60182938543484,25.0,75.0
30,58.387620555788104,73.67085169312065,60.43445373250504,54.40668747913484,49.14603115631521,51.9217526342091,25.0,75.0
31,50.230469305221796,71.32712332306801,49.19578709851733,47.34588941401455,41.30786688606252,49.96350281306863,25.0,75.0
32,36.30404491126638,79.69695813461455,44.93476924745023,50.501174900720116,59.87985563464267,43.13235405067237,25.0,75.0
33,49.019419920780834,76.20049725818963,61.824992901818355,31.849679942550672,51.14355250071969,54.81252430737286,25.0,75.0
34,45.49242016527239,73.32500230953133,33.71263305812517,55.54577439120093,61.88063130444078,41.239044705199866,25.0,75.0
35,29.437161147016788,77.11915067672012,41.269550479270436,38.18526789053375,26.604094329778025,34.74977547627634,25.0,75.0
36,52.084187456695616,72.96511153966236,57.19830409354371,52.98447912929748,56.23543066338306,52.28091646618954,25.0,75.0
37,43.2627794853625,71.22865600378005,40.95182018117159,51.97241217266778,30.98500618933197,72.83760646036228,25.0,75.0
38,33.668779536519274,74.40042355029809,23.41850541919714,53.51235646614329,64.25431843207649,52.09665070414493,25.0,75.0
39,60.71952077440018,74.6513751996074,55.12955609494673,44.01906810219795,38.000756513819354,49.271363590265075,25.0,75.0
40,40.84085063395923,76.70109636414642,32.166900132043246,50.19704960080017,60.232863040007075,59.236688246181075,25.0,75.0
41,57.204396997465295,73.21992030879815,51.37284751994545,34.51670258345904,42.61304592873151,56.93214314258044,25.0,75.0
42,40.73726805047104,72.1056427702363,32.57725659419485,41.410709729335544,60.902891001187086,46.92387354316238,25.0,75.0
43,67.86268084053383,72.26984868011719,44.41220331414448,30.093138913140457,48.460724788574886,62.49774955949991,25.0,75.0
44,35.532349652088705,76.35450006562118,29.320994112735086,37.14824235111986,41.56275936582759,33.34637226532813,25.0,75.0
45,34.89799982006979,76.2687529422526,31.300190142016902,47.207951361943536,57.217711563992395,16.941363388029206,25.0,75.0
46,48.912365935417526,74.79965254460282,48.96583443441435,34.78959359102101,56.59339049688988,36.035717551806144,25.0,75.0
