unit_id,ReactorPressure,ConversionEfficiency,EffluentByproduct,FeedFlowRate
0,75.77010565116048,24.97177057269582,9.25032204080182,63.75459013946075
1,75.58485925877996,29.026062344142417,9.499738453925351,38.25792725581821
2,59.53158469420069,21.226870901258643,10.049707245137554,42.14713900983517
3,62.748779170292174,25.71224428881479,10.45902210978484,64.58316916382127
4,73.92827832042384,29.815156553262877,9.749624814797555,33.13268998962937
5,84.87127616803181,25.442822372216565,10.660087007935287,57.262003393834334
6,72.48708800146541,24.062774402454654,8.649548908339312,20.45854970198051
7,71.37131607693449,16.4441743302838,9.145399446165785,33.937802962286156
8,77.18048629953167,22.961976120147032,9.399164968511995,40.63362661479054
9,62.75452802355944,25.9299482982957,9.102880575623137,23.8765595651052
10,53.1878914370254,26.10048571131719,9.69281170714558,34.29414935208605
11,83.96532034055102,22.41483743344877,9.874918456271235,61.32801222018783
12,80.5126728818895,26.28705254253021,8.955352121265298,50.829693969934254
13,81.13421305350752,29.07595917512598,9.566383484637063,35.87158643971533
14,72.90889287263273,30.052362019557947,9.49073331606111,39.3319777535636
15,85.01444861307453,30.07295360893592,9.627811654484931,33.20495411416312
16,68.1875570754065,21.276619802808813,9.822346081696502,32.9688825832486
17,61.999226285513416,20.248888682904784,9.688703848530329,29.617633483293
18,80.33363708987262,22.770310277787797,9.13629251889487,47.21376713391705
19,86.19237829609781,32.884061491432455,10.127548031938353,25.538614039517256
20,86.96934894854753,26.26561814793973,9.619661499380955,33.491651295270096
21,72.86328122982738,25.414508949881622,10.44110574661762,53.34725266436485
22,82.17344039409781,30.66011790904466,8.9010637229613,27.829769338736085
23,93.25773084982238,24.182827653489582,9.157035431408778,48.36550367771814
24,84.69780699403695,31.563159989371623,9.32366277546771,39.95112885133825
25,56.40040817982039,20.434058105530873,9.378407201552287,29.645400279563283
26,90.84572489067321,28.796847616345374,9.978569677219653,27.017015379367937
27,73.42705188887903,29.60515059056701,10.487940986098655,50.50521487150469
28,78.13889214571091,21.89383763557229,9.5229755777614,16.281016201178183
29,68.84985803641972,26.004743793040067,10.094144506486453,26.296407064768076
30,63.85984287629206,24.303404611271265,9.728172903135441,37.095223502922074
31,81.10918897084164,21.864742778365436,9.29820316816187,37.37759648587027
32,69.27757920270763,17.34248759939848,11.13540512543595,30.86592625617545
33,83.59671348595307,27.660354376083657,9.350305004541072,70.85181833228314
34,54.60412104205488,23.912079821610977,10.390104198160945,75.42574869028915
35,82.82815431896796,24.64762006117546,9.599010605124931,36.951999029009386
36,85.15984167854059,27.21333219992412,9.856360984756833,44.99563237360854
37,93.65283987216807,30.897523093478533,9.98062885259118,61.89212699963122
38,53.49751011794108,22.24805499879788,10.83503483203327,58.04069844925563
39,89.71879616430768,25.236194431993095,10.209650966034225,69.49677634097684
40,83.04572476983776,28.98627930890255,9.291874664431896,27.044165066662444
41,60.329866393670684,25.302793413037975,8.901542442379634,22.379432800131053
42,77.81503747329461,25.77342189541087,9.139214445809275,55.83988422590992
43,72.89952742296869,23.522003739149795,9.344133614543507,47.31246827570705
44,55.66821554731245,24.725175828237496,9.98143783272312,57.38496453252005
45,63.11842599528926,21.443037777475297,9.540787993989518,38.74099647654796
46,72.8559023141569,34.42335871965326,10.40391540834712,54.78166386244359
