unit_id,JobThroughput,CpuClock,PduLoad,MemoryUtilization,DiskIoWait,JobQueueDepth,GpuTemp,CoolingSetpoint,FanSpeed,RackInletTemp
0,35.43718807152405,53.57311027042501,53.45625754261238,55.03840566801145,63.55426260067698,47.51098197979238,64.30689169631847,76.92329297245034,45.833395853415894,50.55073719052969
1,32.733455321028536,49.401413264361395,56.792569693916604,38.753474613499094,44.76517744053248,36.42441929876467,38.17066210369495,34.20699582816818,60.48864917248054,51.9286237480314
2,34.71039572938545,55.0937180375594,28.319646665342837,64.02327619047367,50.450937208731574,50.97799808903102,45.41277758045281,65.93825583712474,42.846368604538085,40.050716278599126
3,27.752333845672492,34.79376403869678,52.53635468216438,59.555928473053946,40.43741886091596,51.08080137348351,64.84745199438453,68.8795881621297,53.434976520985906,45.74668728107902
4,38.9711843824125,47.03670899605727,45.10687730178521,40.395784280703204,50.05320827841844,61.72385148576787,47.98186948735902,62.97746968294494,37.89283935193461,52.95628936305187
5,4.412581402968751,69.24185809142686,60.18394782672859,50.45396702184687,59.38637857208113,54.36864697374022,48.69110137746847,51.574528374206956,66.9627337430924,72.30533093838638
6,6.3185595858675585,36.281591437211645,42.03545817040222,46.04948739149191,59.602224733184926,54.17585132511773,57.73475493473522,55.696147680482376,45.451955024812335,73.84875821262085
7,14.191393819727969,49.05395219176308,26.054190473369243,27.952075779114836,36.680233552605,41.463195099729305,35.10232874331247,69.78213206383641,63.59840333285085,61.24399044878987
8,9.198884579313585,58.834949195690825,42.859865120301144,60.022802917288885,42.30179800283595,51.41140214303991,36.31335796665345,53.74271884150269,70.89087969566786,66.3835508546354
9,36.617631184443354,49.733109399167965,46.489286146376394,51.26233066314441,40.226966536756684,21.90415249559091,50.626977365211104,46.74372345143469,71.03617118273903,56.12089896056696
10,11.482785475451248,45.03330987854599,74.44444174448444,62.98441669527824,43.08942751543905,59.05795710153948,13.523357088720747,51.38749624174816,59.39056654720978,51.94565303377469
11,18.219944984009857,46.11234092735082,48.933649719588836,11.942975672929363,35.57651460909689,49.343525611933444,26.56589434688327,56.38983763151554,63.48846134843833,40.47827146112482
12,23.23158834565363,56.80472539624251,84.73344336518242,63.880572109166984,44.6143823816664,33.06723566158056,60.36109075211702,52.75403462322775,51.74194593457173,41.758365688190096
13,2.0492333419085647,48.00704925952764,46.93839382584122,43.6770862617635,75.99298465929051,54.28016781401256,33.900458661075874,47.40188811357944,59.116642333627794,73.61094521084682
14,15.702835972637281,62.051445338992565,54.269534198483264,26.83860738541436,40.79018746333754,50.65681502177598,45.336893669478975,51.692286842490695,71.99159209516812,63.81259007195116
15,35.18083268591822,47.7951240726201,35.444788394445986,61.641434931730764,66.42027543596622,65.42435248280326,23.512724415467943,50.897954336777936,69.66662847727531,29.17649851854349
16,25.96123658179166,49.03689653350764,50.949657283250055,40.10366170245054,49.871513049305726,44.244104324737826,69.2483418782008,67.68901429440628,61.354623827425065,46.0715232800044
17,15.255688407735555,52.377504246268835,65.41685227494509,51.22513465208689,58.463681144045914,65.39190377912367,45.0496964198375,44.318174883515184,62.2273913573548,54.67054258630463
18,24.096604054733188,41.490282351526254,52.25709672129058,66.85545383543116,37.927608584600684,65.18859947656394,44.86734150826872,46.54090153629309,61.88083274715037,44.65303031684281
19,26.3421135660986,44.645858089634956,65.9883361829463,53.342068811952544,26.09716520976167,55.83012184700793,53.88155049394557,49.91529670934418,56.43027826789882,41.62495248462282
20,26.489180122215373,48.25428070511443,19.61857666703117,74.82668339836488,74.2880187070972,46.79803928185706,55.760794908879944,49.44400613648585,65.13667842578498,33.46909480770948
