unit_id,CpuClock,PduLoad,MemoryUtilization,DiskIoWait,JobQueueDepth,GpuTemp,CoolingSetpoint,FanSpeed
0,61.02949828654916,44.622811643809975,49.985835978751744,38.327141251753694,77.85810617523794,36.818381796574585,72.94218599643519,51.9225131228738
1,45.080468844460995,52.46757338120164,47.50113117119018,64.07221428660897,61.18329458329041,43.30918748154346,53.31708148924378,51.45754974381701
2,72.87456954372402,53.39481223368161,31.004141066769805,49.223904002405924,53.9548216831353,59.19201895455205,53.49235359915071,46.139364670878386
3,71.30632989865124,26.937999625038966,46.48206192043654,47.64452957952756,36.558237177516865,68.7809218917738,69.66470467331078,56.570095287354995
4,54.30686311572748,75.32127473573324,78.2343512029711,53.943997954819224,47.45843420902522,34.42489079245632,53.03956599875879,82.13303166689867
5,32.25326034937801,59.657962980363884,42.303153338007704,40.54339943070647,64.79254698237816,47.7943799002419,70.30250645504451,56.65715407385683
6,57.402130503236094,16.097516277857416,42.748940057446546,44.69759971511237,25.544144577141054,40.37326416491367,45.45508940192905,45.28377225457374
7,44.02011311937169,27.803024082389378,41.85811161922236,43.491530790203214,56.443845948291326,57.41390598739637,46.18392451946813,86.46840970789896
8,49.392444210315524,64.99185787986328,46.21480422634054,77.98100756264918,57.87373534393542,52.86655309837915,56.83457397537064,72.8423130118047
9,44.64398129612921,53.8517891272656,49.903869598813905,52.96461721559315,72.46165429013284,32.351500255586295,39.36874093046916,62.281009289273534
10,50.93394473525629,80.92228698046253,52.433176022409235,55.59083842631786,50.97940862837416,48.88892015028609,54.54655084035277,68.99819459051926
11,60.812766030156105,39.400505184719854,60.94400496736998,55.72944945841664,60.36052382073572,76.47264749377165,70.70582390459057,52.669674498788446
12,43.184807313409436,63.89543336499097,42.18944113145989,68.14318062117658,63.26454128689157,40.45176789945932,60.95060182821136,71.55081966313232
13,48.24415253991505,48.35729535644439,45.59809870436614,51.14415475786358,45.3284316411086,56.07360248335305,50.74369097064688,43.57547292015154
14,63.3344380127555,51.21723411452644,55.814007189313415,40.36286738697805,35.405914944635384,52.22564157656736,53.72609416708579,58.743800037806004
15,38.31826669396,41.57102678982494,65.81420401617783,35.06807737273352,26.165164325557054,32.830625015953586,50.76333996219312,58.95592552005296
16,40.86190558642344,61.32623124504984,53.22908481150979,29.877280620543804,57.87521461730961,42.843418548759175,51.690985278916536,63.936192510533495
17,54.900316093517986,48.186903511608705,39.557801003112885,39.04773356219219,49.418557212006476,49.9317874300429,45.654888013797624,68.26428296076618
18,42.33328616414199,21.693928820152127,75.83585815394852,57.67164326793214,46.980006118039356,31.35569200287198,59.712230894098155,47.83105595157084
19,41.597294088463656,38.95427144221202,58.95534188936717,41.034627971944914,56.61591226271119,36.7553504953798,44.06081557694114,60.65972240114552
20,50.805147437348786,44.72346631480037,62.11466088559716,64.98839440959104,66.5065114205328,32.961380971740624,53.72314842659792,43.74835919037509
21,48.53193491664549,51.74386420576528,55.691241395383216,51.213402103258076,38.56930943550454,36.23603357566799,67.9570259785209,57.82298751650908
22,41.64087921736002,53.028424395712996,34.75771568162075,50.61673506225787,34.5024432897543,23.08800026438148,49.360057151890594,75.09328646543239
23,52.82087480566606,53.67624211488785,56.446931020742106,53.23830609800944,61.82359965168846,29.152051797501244,59.24328095952465,40.34947031187829
24,41.18990461502252,47.91684946450865,53.130919813298604,50.05011036472322,70.38597258340681,47.5065697561293,50.13768134989047,62.01188626543353
25,33.56417956976138,43.03046433961006,55.951609561302796,54.250133584214055,49.73562897702273,53.927336701923636,47.27913330258346,74.74711211076563
26,50.13479380543863,32.26912389331574,64.30059543679484,43.71883017452369,43.64589486362988,60.243610165330445,44.74072961461325,56.06263607215778
27,40.30476266838636,59.995709239665615,59.516937746433676,69.68731800185972,45.0863605399249,49.39869526481778,63.406883724104894,63.21778308261768
28,45.747797765560016,78.00136326861205,29.456678236676698,29.29385063974722,41.57419276909624,69.35132898861326,40.65832118004123,67.45177232891436
29,61.287682047947655,52.25763395676028,48.71029728165311,50.698642469378164,54.86970512642834,52.195805605481326,46.16017255431108,50.134779321084416
30,64.36560946846522,31.74963190718837,46.35343804579987,46.784277195580984,52.50889604746798,54.71599972250832,49.689373356343715,64.09543771511389
31,66.19833452019945,40.2624938647812,28.766230614493214,59.08196854769167,56.61949755365903,53.79784181059798,52.86761252537231,48.89954771341437
32,40.64691409143451,41.029412397879966,56.74035173239009,44.58839050369207,54.34738953449234,66.56796244667899,46.96186244154497,54.42506453802741
33,28.12118982917382,52.63195135016329,56.08827862756513,43.30190427268302,48.217091849651524,36.33053074523756,78.18186789811674,53.43712037434115
34,43.91823967424985,42.275185472970676,51.56692327805151,36.3175348264429,45.203584835869215,59.44774166433594,80.48368904992697,69.10480781452937
35,30.657494879216458,59.046588906359844,66.29577312137165,50.11302160173456,48.107476711857295,64.13251833980726,53.163222444557746,55.68878139589911
36,40.34184465087688,43.09324801449621,35.92016872754168,58.37740531457456,43.85139476163285,51.11487808183827,58.04551661561409,43.85614258428627
37,39.31937937019621,24.28637393884593,52.654473771963495,54.036034804325254,57.077929923566025,34.970407637482595,69.8454289001264,32.27379298177753
38,55.52751917583374,27.969559423215053,36.9645239568074,37.45008223185695,54.360813280377336,43.63713311681517,68.09457864879276,62.45389225599915
39,38.35893665858318,31.17105201851085,38.23226248804611,45.08999811647975,58.0640436518177,53.50444234270654,72.01702475532896,56.2441749804093
40,55.67338300323246,34.39269406344168,40.33181198604704,58.17388761432513,67.23999268014498,44.652945058336144,45.733627972483205,66.12109305542705
