unit_id,SoilMoisture,LeafGreenness,NightTemperature,PruningIntensity
0,70.59946542651664,51.42217945288248,68.84935006878857,47.64391034067124
1,74.73369696196195,45.06237564864379,50.85341002332706,51.29714370308912
2,64.02966892649927,39.17597265621018,56.43127436571996,54.10484524619156
3,70.39917453191023,59.316475693972514,48.492977233882264,23.99460890147317
4,72.13605869245315,56.53247118830947,50.7142259323872,71.82857525686177
5,78.49875466623277,47.24445208047726,53.059598623270276,62.61614036919228
6,84.08487879216587,32.06822843658186,48.999325310034266,11.61525195735153
7,70.55776691076788,-14.103576930875093,47.53381593117431,39.79264403147779
8,67.54665458913048,39.62715038262896,34.29144251480192,71.75621867274936
9,69.05841343696144,35.357024168020416,58.629435509023835,51.65940327641327
10,50.77837148138268,51.467912105228635,63.0491303763906,75.0201448722485
11,73.13542708139188,36.42565815986479,56.47602887573674,48.470762320127854
12,76.42230352148175,46.70897626514489,65.72347672745202,67.30404548166736
13,81.28187597245459,40.42477945782565,66.80609586487824,45.08689093869166
14,77.97517297820858,64.64390008676448,76.90903016870183,46.30694521930361
15,90.41341854218733,53.36739321683955,37.68368716696916,37.211618676309755
16,67.19359343356375,28.099071777956194,46.44395818565808,65.02615025064682
17,70.9971707632203,10.188333862714497,44.21425586949627,47.56681975412351
18,74.87272378396628,34.09330583270511,63.85647053805918,27.630520507875655
19,79.65218735878439,68.74782134212407,54.360058225042316,33.39939720245981
20,80.29293108893482,41.04534605311115,52.02111350799772,48.45731675723523
21,70.01003168835771,48.6290146822879,62.94008784756491,52.91273664793406
22,81.78413401878886,31.555150566042528,46.94610620782897,50.33031972952942
23,87.62183345123412,33.89861078556076,45.727597787789634,60.86847071374142
24,78.91512842570691,58.28369599524461,63.45360200654846,43.734099476770254
25,53.805573186707335,8.273927125577545,27.514013801336226,46.00873274590931
26,93.00728932674217,39.77501278154493,58.12895052309791,29.282888564078682
27,72.97998714945255,51.933482881867434,57.27689383285595,56.21307569425655
28,82.23489773803433,13.010015056264507,34.178748301813926,79.65748383755874
29,74.43039402656707,52.32619354601658,54.41276784636878,49.41911416059422
30,68.5247937766837,47.061771536887534,77.10177824559379,28.090383072478495
31,74.7603111631824,21.232574437302453,74.46659646703267,46.49867236540231
32,72.76866368616719,-10.43812334099525,46.447009874891656,48.829382909630354
33,81.60123515543347,57.512388086277284,43.94862805992371,51.834340828201604
34,61.374792006702876,52.61271477940829,48.26299004138114,38.2155871475936
35,74.66312855573663,42.82794053276999,44.667790666666505,64.27389364714574
36,76.74167930660576,44.420626899743674,41.97014852346247,45.674370929187546
37,83.96116633404459,58.72815612983429,45.591764660400194,23.771596974304334
38,49.96514916245526,44.994057077753354,34.37172092220984,32.36202883190779
39,84.40469792394236,45.12311433148575,35.09614178867386,36.02045735593051
40,75.16328517443725,60.940738145213544,35.49863588483833,34.19064220920739
41,63.41559396516804,38.13946335408237,32.01972871308221,66.74075146648728
42,88.8898569541095,48.742851197504805,41.69268361871849,37.147482524681266
43,76.67693944932373,37.33606417594038,35.236544653232315,39.21534221725859
44,59.74919336589411,59.90478180730247,30.96469790479334,45.61177761490021
45,58.289502079721906,18.444417291198295,43.38217436291816,45.19450548875332
46,77.32990569479328,96.88957851052336,52.54802084679352,60.388064090741864
47,67.99345588817168,34.4295352558228,62.62944939409221,61.98177905069672
48,74.77675380079782,42.44152144338929,40.44390530121339,32.4106814137661
49,63.82346817110691,35.93822874585461,58.25893832498158,32.496668941709345
50,84.24103960196533,39.60930977176808,69.69470462934643,58.94281498266916
51,54.32115026476428,35.84472060899893,53.437162965076595,59.94779810824193
52,80.595503282644,22.953340637438618,56.86592296960075,59.444627034433445
53,60.67658184175412,60.87468690476755,53.88111526706457,43.16363382807297
54,75.10708850585948,13.18664040815635,41.82735137072413,59.448757617715685
55,80.99819715931909,54.272180683667145,41.63809022500134,40.50037681072652
56,61.60526266611832,9.116358054347138,39.56445026851764,58.23979841709084
57,73.60691702553855,59.42256715118552,64.76375566165308,65.74955027547489
58,91.46890778671835,32.47173850378524,74.68293998578059,48.18273965814298
59,81.25897688788714,65.76159173801811,65.81589048972197,54.84208840318781
60,71.82631924772876,48.5114821655427,59.804592774394784,47.02344803451493
61,52.14528560482405,12.462580940771971,45.570713972291145,52.10260799689027
62,79.29593401965467,53.44594582026839,45.21147116535801,36.18415516842808
63,88.02386977558787,47.20104147362826,57.55183967375143,39.662486658107696
64,80.82318228318807,59.90843181681659,58.97628764215106,55.977090192072254
65,51.22873187883921,60.276202878526085,62.98052738266147,53.98675312859604
66,59.895582449649154,41.19713714429112,44.762287602023804,14.121463674070744
67,77.8429034402915,32.75272063931504,59.78818087912419,46.68028337452422
68,74.4889869089966,18.742435544702545,21.423150795472413,37.274514629381805
69,82.3069448546625,11.57305990739357,67.16391948990275,68.1882958802483
70,75.60116153652814,56.56097810189127,53.1615116943031,42.030232666775404
71,50.38156111947248,45.27411594383723,17.687332997902697,35.84859842614068
72,73.30623378344222,11.652711153541006,55.72135463374035,55.15197497184344
73,48.070531399310504,22.371103735061844,57.19083220524131,59.70865172891673
74,79.54066926466312,34.3389217583426,51.30931100187147,52.24156956160202
