unit_id,DiskIoWait,PduLoad,MemoryUtilization,JobQueueDepth,JobThroughput
0,50.70770884818206,50.24237740270617,57.46018141854422,65.49781959034625,25.86429742271978
1,60.73201240530248,42.07113572261514,55.04861009656399,53.40358455888435,35.05111686783273
2,29.7373189201248,54.43721402340592,68.70620097294078,41.087591222909566,27.448922451382238
3,57.638395678844475,52.946306526581864,50.20025489881408,53.81381663042107,11.93792921873808
4,53.03283848318898,61.85752115424729,55.93136002289522,52.6902976811332,26.326839836308864
5,40.76888438830629,58.88317022774624,48.477300833366535,31.637848388649658,22.877309048091156
6,59.09931427147327,47.99466226014359,55.23225364582893,56.52153112582573,26.697984876166256
7,42.14014990187431,84.10241352319538,24.71008086187963,62.555169007800245,4.753716074643413
8,68.90563173144064,54.639891210174895,19.448619080324406,43.0936180825706,23.253916383750123
9,43.11330319087523,56.14201840299513,67.87621690113174,42.210840757135976,23.78781540524343
10,56.581912809725715,55.704390448614944,40.890460880083666,48.01617074580489,21.33450227822751
11,62.34303055900487,44.669022084399366,55.40126525619359,63.02709816404144,-1.8205696795527642
12,36.454892077672966,37.555254474084926,45.871466950435305,30.748679050159314,5.983103330253542
13,53.507743202204246,53.48166276591091,38.25627425567282,27.939471909785905,16.978827769699013
14,35.96210217078709,64.50628411092733,41.289896323742234,50.912918516444336,0.012233846362377454
15,20.882918186961845,65.90807205303528,50.86148828936283,66.60990454556851,8.0243151265185
16,57.423343298318315,48.31121042914196,43.13805391708695,59.040504924019444,7.777907895264002
17,40.81825141579996,52.80393963911538,54.19694094211875,60.329957349053295,19.217491271019988
18,63.29830161357916,38.82167253106783,45.03251466491912,35.68706838753402,4.520966722343976
19,47.62332899039445,53.07261411583718,37.668487718204425,54.049654126717556,23.32269778052027
20,35.88356345680076,49.49377267191513,43.37017744525422,49.17915308973959,15.111675965890722
21,43.14889988812835,45.69507320271102,69.88373373147041,54.0146031511579,9.610370736696687
22,44.475464042165,46.15125941213483,36.29235772017973,50.77707696233818,30.112795947245235
23,71.40736778457672,56.416243547766484,53.64242262610355,52.387774687997805,17.310309774826553
24,46.33571900373783,57.9057311046063,47.680970567387924,21.726365402549053,35.96509842543352
25,75.73852690752815,34.85081094758979,37.70416890128477,43.16027760849373,24.38116258144551
26,49.75723064311029,53.294578855049444,39.69893629590275,47.25893994854307,23.64404558581788
27,64.31363738985269,65.21982132742788,35.10253381272906,60.25570806019305,13.407135533087542
28,50.7921192522725,47.47605003740575,52.47888134944974,42.490163695080675,18.561673364701285
29,61.181584752624104,36.12132834264475,68.00820789006505,58.931041694008655,4.147096395664177
30,48.3606979376842,55.212157043006705,40.3832147090828,49.8643049221071,27.90466139179465
31,74.40286342129458,60.89759346559346,51.872010383691624,54.395369754291636,3.1336952728252543
32,68.45237110355343,46.24992547781828,57.03936297283138,39.33284176817029,43.27602230447319
33,25.271983624194508,50.11700271916665,39.53764701770232,33.18036164742993,23.06129072812272
