unit_id,HarvestBiomass,do_CarbonFiltration
0,18.92832561826497,48.0
1,20.724501133446218,48.0
2,23.633948359295527,48.0
3,17.58787931790858,48.0
4,26.44161140815259,48.0
5,15.868670306211865,48.0
6,20.374337034881567,48.0
7,12.17547640960836,48.0
8,17.373026965637024,48.0
9,18.71363400974641,48.0
10,13.130299734335157,48.0
11,20.860930929795728,48.0
12,18.542704577693588,48.0
13,14.87071596820699,48.0
14,15.246828544267812,48.0
15,22.362492064147048,48.0
16,23.864161404012613,48.0
17,27.469971399007022,48.0
18,17.650838450237796,48.0
19,19.35062451294719,48.0
20,16.253674208626485,48.0
21,24.957717705429957,48.0
22,17.828986527306817,48.0
23,23.827374029974166,48.0
24,23.908103054651654,48.0
25,23.462452007647794,48.0
26,24.38312683910723,48.0
27,18.36176733703496,48.0
28,21.004439664771233,48.0
29,24.153162684437156,48.0
30,24.454418991428167,48.0
31,23.807810533575946,48.0
32,24.53350228987959,48.0
33,18.157194237845218,48.0
34,23.220231682816642,48.0
35,19.956710569933414,48.0
36,25.03833672896615,48.0
37,18.376538908190636,48.0
38,17.37383851767762,48.0
39,23.930143737687242,48.0
40,15.311586185782046,48.0
41,13.19631990650554,48.0
42,21.571964874982715,48.0
43,16.759676332359756,48.0
44,24.80336474447934,48.0
45,17.95998820478584,48.0
46,15.50995495028762,48.0
47,17.378785640412207,48.0
48,24.09452878197232,48.0
49,28.432675392732374,48.0
50,24.503753935640937,48.0
51,12.814702223619157,48.0
52,19.64122653253661,48.0
53,13.830799735076805,48.0
54,14.60512140770639,48.0
55,29.00291077288435,48.0
56,22.549605126058406,48.0
57,17.39467998936997,48.0
58,19.554085888266407,48.0
59,13.110800567964668,48.0
60,14.052378439473253,48.0
61,21.25786696874988,48.0
62,16.951484873962812,48.0
63,16.252727829158278,48.0
64,20.564326755079804,48.0
65,22.30929176532871,48.0
66,25.128583631014774,48.0
67,17.496248626045116,48.0
68,18.67002721065144,48.0
69,16.041369788916374,48.0
70,11.971120458594276,48.0
71,20.31308703997817,48.0
72,16.69453905928045,48.0
