unit_id,CapacityRetention,CoulombicEfficiency,do_FormationCurrent
0,40.68704644286958,10.339664333418263,2.0
1,33.30252775616164,9.76459606769933,2.0
2,41.53660913622886,9.846727267268802,2.0
3,26.308764828018237,10.62905734863721,2.0
4,35.55790715425053,11.13435708253217,2.0
5,42.234236028223734,9.501433633792919,2.0
6,44.3318680556792,9.161201069310213,2.0
7,44.383617428262404,11.170547913462961,2.0
8,35.09477040553483,9.353127832894126,2.0
9,52.93953691566389,9.17896443874075,2.0
10,36.5225833594931,10.570856432484044,2.0
11,45.99484599000808,11.726380058505349,2.0
12,39.70289101351482,10.41936795139928,2.0
13,38.66169311069206,10.887232124312007,2.0
14,25.747187230857424,12.162215336823373,2.0
15,39.53367019975122,11.333407420407683,2.0
16,53.604546813265245,11.792638736582425,2.0
17,45.52358604289328,10.024940949182067,2.0
18,42.77435224710465,10.194212877263242,2.0
19,32.32082122775979,10.424830692422166,2.0
20,59.607664444695835,10.022862788821435,2.0
21,31.845231674883763,10.907312095579233,2.0
22,49.69308152389516,8.875721654305565,2.0
23,19.516346191663747,10.287320331593277,2.0
24,44.42332199294564,10.606136701356325,2.0
25,56.04540411365604,10.251411464828749,2.0
26,33.89969052946414,10.501089405226296,2.0
27,33.865585877078885,10.210245763936536,2.0
28,45.60266016888865,9.898158012471216,2.0
29,54.07042716220108,10.618066911952221,2.0
30,33.34143449269298,9.826796629646372,2.0
31,42.6769961889847,12.117789733419096,2.0
32,48.00867770511252,10.507122903152322,2.0
33,72.97976332374873,10.965668858651194,2.0
34,37.35488715922083,9.598389441782016,2.0
35,48.792412195003784,9.122862760458652,2.0
36,52.74270145478484,10.779210876599956,2.0
37,59.92041432703956,9.28010128460759,2.0
38,47.97413734689185,11.044931462428133,2.0
39,42.23877024228715,11.290100361116604,2.0
40,47.59081767531821,12.213701815134026,2.0
41,47.35185950835183,10.627808381417346,2.0
42,36.08663139877015,11.175310941210013,2.0
43,42.162979743058905,11.136194913576322,2.0
44,43.773381635944794,10.390213090542835,2.0
45,51.02874134958538,10.17312866182632,2.0
46,40.534066483837464,9.744035978847696,2.0
47,37.42403375788592,11.718089318508651,2.0
48,45.21355049583901,10.390345957879719,2.0
49,55.613734865840556,10.61966615207693,2.0
