unit_id,CapacityRetention,CoulombicEfficiency,FormationCurrent,do_FormationCurrent
0,12.513208610554997,30.73108062551734,21.21196500068651,20.0
1,25.98333683977592,30.6280026765506,23.645334809040094,20.0
2,24.49861741936093,33.19924112479467,21.155094972058414,20.0
3,20.54970616948281,31.13985343079596,22.1201435001592,20.0
4,24.083220891748706,40.48805338707233,26.178048024163495,20.0
5,18.297193777273787,41.65888396245044,18.84675935934386,20.0
6,33.83379912010979,31.84415221613784,24.03401593539639,20.0
7,38.11657252557896,29.590910712111288,20.255731970499518,20.0
8,26.85185866898273,34.96789687741626,25.415831219199113,20.0
9,22.028537400833848,21.918038305319662,17.80835159986494,20.0
10,48.12698327673947,33.014463356963276,17.28935399189593,20.0
11,23.592159421014447,22.11763993018084,22.715657342253234,20.0
12,12.94460569607119,35.32729272578956,20.439267315683306,20.0
13,29.65863486144352,27.765007925147145,19.46936107551619,20.0
14,16.824338681378624,35.323046046552186,21.99215936823044,20.0
15,16.28916361495735,28.211753776961753,23.72738545588694,20.0
16,24.31321223998614,30.626554245360285,14.892034621183463,20.0
17,22.68166305883431,39.78140119689385,21.820808139393638,20.0
18,20.903675674768934,34.981715682180536,16.500122447777514,20.0
19,37.021987596798006,31.334326046198917,24.792305095477158,20.0
20,24.4098267922904,31.281117356039307,17.471832905051468,20.0
21,27.164945571985612,32.67052867354197,16.387772091647815,20.0
22,40.318511308903226,12.683964899062175,22.322848766361396,20.0
23,44.378676902537904,34.63966527068457,18.56059629169721,20.0
24,17.980689487421685,36.106456120783804,22.586752547453365,20.0
25,22.89530567069542,38.67905223749137,20.624751184058685,20.0
26,-8.330941443388408,39.22644308405809,14.912765855485478,20.0
27,50.79770190426718,14.22690988754808,17.077586491808553,20.0
28,-12.212021795473817,38.50565736712317,20.911400647549474,20.0
29,26.033808380017057,34.50137031588781,17.948820380090527,20.0
30,35.55878756350639,27.93627303812482,19.705129115710175,20.0
31,29.25992633118002,35.851201179548845,18.738817816035784,20.0
32,19.363672889837535,40.76602192963028,21.979870738827337,20.0
33,1.5823614211069668,36.68302098013656,22.427955127554426,20.0
34,14.281334540368926,34.76800785291442,20.996049658511545,20.0
35,2.9242853222815377,36.05893573557814,20.90302752324192,20.0
36,15.228702784087663,27.1783987651153,17.918421967853366,20.0
37,20.83887531927151,38.78010250941285,20.797648119801355,20.0
38,16.11504140547888,37.883065615284714,16.724536240227724,20.0
39,24.238144301175875,24.772945447330365,22.331975934174356,20.0
40,24.945798861673712,24.331231935522244,21.74350087773412,20.0
41,17.63332224429203,31.558916451406734,26.14669765058024,20.0
42,32.51034468534485,17.41362002728701,17.755077550526874,20.0
43,6.2305755481759695,42.15941351656221,18.85727691912339,20.0
44,46.77384349226455,30.072770334229936,18.169578542073808,20.0
45,23.233579239351872,22.30748008212863,22.85253353859212,20.0
46,20.364502703236383,26.015189158972085,22.632342180332373,20.0
47,17.277728804513227,25.68697501052953,17.934747401694658,20.0
48,28.004664256091612,33.03951592423598,23.901376209956673,20.0
49,32.59871015371987,30.186925422381986,14.924184070502175,20.0
50,45.2210961281785,25.7272221309426,19.612822821421396,20.0
